title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Tetris DS    ,DS,Nintendo  ,Nintendo  ,8.5  ,N/A  ,2.11m,0.63m,0.05m,1.35m,0.08m,20th Mar 06  
Tetris Worlds    ,PS2,THQ  ,Blue Planet Software  ,N/A  ,N/A  ,2.08m,1.11m,0.71m,N/A,0.27m,20th Mar 02  
TouchMaster    ,DS,Midway Games  ,Midway Studios San Diego  ,6.9  ,N/A  ,2.00m,0.48m,1.27m,N/A,0.24m,25th Jun 07  
Alleyway    ,GB,Nintendo  ,Nintendo R&D1 / Intelligent Systems  ,N/A  ,N/A  ,1.94m,0.96m,0.38m,0.55m,0.05m,01st Aug 89  
Tetris DX    ,GBC,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,1.93m,1.06m,0.60m,0.20m,0.07m,31st Oct 98  
Professor Layton and the Mask of Miracle    ,3DS,Nintendo  ,Level 5  ,8.4  ,N/A  ,1.84m,0.32m,1.05m,0.36m,0.11m,28th Oct 12  
Yoshi    ,NES,Nintendo  ,Game Freak  ,N/A  ,N/A  ,1.75m,0.70m,0.13m,0.91m,0.01m,01st Jun 92  
Game Party 3    ,Wii,Warner Bros. Interactive  ,FarSight Studios  ,N/A  ,N/A  ,1.72m,1.43m,0.16m,N/A,0.13m,06th Oct 09  
Tetris Worlds    ,GBA,THQ  ,3d6 Games  ,N/A  ,N/A  ,1.71m,1.25m,0.39m,N/A,0.06m,05th Sep 01  
Super Puyo Puyo    ,SNES,Banpresto  ,Compile  ,N/A  ,N/A  ,1.70m,N/A,N/A,1.69m,0.01m,10th Dec 93  
Personal Trainer: Math    ,DS,Nintendo  ,Jupiter Corporation  ,N/A  ,N/A  ,1.69m,0.48m,1.12m,N/A,0.08m,12th Jan 09  
Yoshi's Cookie    ,GB,Nintendo  ,Jupiter Multimedia  ,N/A  ,N/A  ,1.68m,0.59m,0.24m,0.82m,0.03m,01st Jan 93  
Ms. Pac-Man    ,2600,Atari  ,General Entertainment  ,N/A  ,N/A  ,1.65m,1.54m,0.10m,N/A,0.02m,01st Jan 82  
Dig Dug    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,1.64m,1.52m,0.10m,N/A,0.02m,01st Jan 83  
Super Monkey Ball 2    ,GC,Sega  ,Amusement Vision  ,N/A  ,N/A  ,1.52m,1.11m,0.31m,0.06m,0.04m,25th Aug 02  
Puzzle & Dragons    ,3DS,GungHo Online Entertainment  ,GungHo Online Entertainment  ,N/A  ,N/A  ,1.52m,N/A,N/A,1.52m,N/A,12th Dec 13  
Super Scribblenauts    ,DS,Warner Bros. Interactive  ,5TH Cell  ,7.9  ,N/A  ,1.47m,1.06m,0.30m,N/A,0.11m,12th Oct 10  
Super Monkey Ball    ,GC,Sega  ,Amusement Vision  ,9.0  ,N/A  ,1.46m,0.95m,0.37m,0.10m,0.04m,17th Nov 01  
Captain Toad: Treasure Tracker    ,WiiU,Nintendo  ,Nintendo EAD Tokyo  ,7.7  ,N/A  ,1.41m,0.64m,0.46m,0.20m,0.11m,05th Dec 14  
Gardening Mama    ,DS,Majesco  ,Taito Corporation  ,6.6  ,N/A  ,1.36m,0.79m,0.42m,0.01m,0.13m,31st Mar 09  
Gyromite    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,1.32m,0.73m,0.16m,0.40m,0.03m,18th Oct 85  
Devil Dice    ,PS,THQ  ,Shift  ,N/A  ,N/A  ,1.26m,0.05m,0.03m,1.10m,0.08m,30th Jun 98  
Tetris 2    ,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,1.24m,0.56m,0.22m,0.43m,0.03m,01st Jan 93  
