title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Super Nazo Puyo: Ruruu no Ruu    ,SNES,Banpresto  ,Compile  ,N/A  ,N/A  ,0.27m,N/A,N/A,0.27m,0.00m,26th May 95  
Super Collapse! 3    ,DS,Mumbo Jumbo  ,Mac Play  ,N/A  ,N/A  ,0.27m,0.25m,N/A,N/A,0.02m,30th Oct 07  
Are You Smarter than a 5th Grader? Game Time    ,Wii,THQ  ,THQ  ,N/A  ,N/A  ,0.27m,0.25m,N/A,N/A,0.02m,26th Oct 09  
Angry Birds Trilogy    ,X360,Activision  ,Rovio Mobile  ,N/A  ,N/A  ,0.26m,0.18m,0.05m,N/A,0.03m,25th Sep 12  
TouchMaster 3(Others sales)    ,DS,Warner Bros. Interactive  ,Midway  ,N/A  ,N/A  ,0.26m,N/A,0.24m,N/A,0.02m,23rd Oct 09  
Polarium    ,DS,Nintendo  ,Mitchell  ,7.6  ,N/A  ,0.26m,0.13m,0.01m,0.11m,0.01m,18th Apr 05  
Tetris Effect    ,PS4,Sony Interactive Entertainment  , Monstars Inc.   ,N/A  ,N/A  ,0.25m,0.19m,0.01m,0.01m,0.05m,09th Nov 18  
Scrabble    ,DS,Electronic Arts  ,Stainless Games  ,N/A  ,N/A  ,0.25m,0.20m,0.02m,N/A,0.03m,17th Mar 09  
Bomberman Tournament    ,GBA,Activision  ,Hudson Soft  ,8.8  ,N/A  ,0.25m,0.10m,0.04m,0.10m,0.01m,26th Jun 01  
Lumines: Electronic Symphony     ,PSV,Ubisoft  ,Q Entertainment  ,N/A  ,N/A  ,0.24m,0.09m,0.10m,0.01m,0.05m,14th Feb 12  
Ms. Pac-Man: Maze Madness / Pac-Man World    ,GBA,Namco  ,Full-Fat  ,N/A  ,N/A  ,0.24m,0.17m,0.06m,N/A,0.00m,01st Oct 05  
Cradle of Rome    ,DS,D3 Publisher  ,cerasus.media GmbH  ,N/A  ,N/A  ,0.24m,0.05m,0.16m,N/A,0.03m,26th Nov 08  
Scrabble (Others sales)    ,DS,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,0.24m,N/A,0.24m,N/A,N/A,17th Mar 09  
Are You Smarter than a 5th Grader? Game Time    ,DS,THQ  ,THQ  ,N/A  ,N/A  ,0.24m,0.22m,N/A,N/A,0.02m,26th Oct 09  
Angry Birds    ,PC,Unknown  ,Rovio Mobile  ,N/A  ,N/A  ,0.23m,N/A,0.19m,N/A,0.05m,04th Jan 11  
Jewels of the Tropical Lost Island    ,DS,City Interactive  ,TBA  ,N/A  ,N/A  ,0.23m,0.11m,0.10m,N/A,0.02m,05th Oct 10  
Meteos    ,DS,Nintendo  ,Q Entertainment  ,8.8  ,N/A  ,0.23m,0.15m,0.01m,0.06m,0.01m,28th Jun 05  
Angry Birds: Star Wars    ,PS4,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.23m,0.11m,0.09m,N/A,0.04m,15th Nov 13  
Me & My Katamari    ,PSP,Namco  ,Namco  ,7.2  ,N/A  ,0.23m,0.13m,0.01m,0.08m,N/A,21st Mar 06  
Tetris 2 (weekly jp sales)    ,GB,Nintendo  ,Nintendo  ,N/A  ,N/A  ,0.23m,N/A,N/A,0.23m,0.00m,01st Jan 93  
Neopets Puzzle Adventure    ,Wii,Capcom  ,Infinite Interactive  ,N/A  ,N/A  ,0.23m,0.19m,0.02m,N/A,0.02m,18th Dec 08  
Tetris Attack    ,GB,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,0.23m,N/A,N/A,0.23m,N/A,01st Aug 96  
Bust-A-Move 4    ,PS,Natsume  ,Taito Corporation  ,7.8  ,N/A  ,0.22m,0.12m,0.08m,N/A,0.01m,31st Oct 98  
Tetris Worlds    ,GC,THQ  ,Radical Entertainment  ,4.6  ,N/A  ,0.22m,0.17m,0.04m,N/A,0.01m,23rd Jun 02  
Ms. Pac-Man: Maze Madness    ,N64,Namco  ,Mass Media  ,N/A  ,N/A  ,0.22m,0.18m,0.04m,N/A,0.00m,12th Nov 00  
Kirby's Star Stacker    ,GB,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,0.22m,N/A,N/A,0.22m,N/A,24th Jan 97  
Hidden Mysteries: Buckingham Palace    ,DS,GameMill  ,Gunnar Games  ,N/A  ,N/A  ,0.22m,0.13m,0.07m,N/A,0.02m,16th Mar 10  
Jewel Quest: Expeditions    ,DS,Activision  ,"iWin, Inc.  ",N/A  ,N/A  ,0.22m,0.03m,0.17m,N/A,0.01m,18th Sep 07  
Nintendo Presents: Crossword Collection    ,DS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,0.21m,N/A,0.19m,N/A,0.02m,18th Dec 09  
Breakaway IV    ,2600,Sears   ,Atari  ,N/A  ,N/A  ,0.21m,0.20m,0.01m,N/A,0.00m,01st Jan 78  
Sloane to MacHale no Nazo no Monogatari    ,DS,Level 5  ,Level 5  ,N/A  ,N/A  ,0.20m,N/A,N/A,0.20m,N/A,21st May 09  
Magical Tetris Challenge    ,N64,Capcom  ,Capcom  ,N/A  ,N/A  ,0.20m,0.13m,0.02m,0.05m,0.00m,01st Jan 98  
Bust-A-Move 2 Arcade Edition    ,PS,Acclaim Entertainment  ,Taito Corporation  ,6.9  ,N/A  ,0.20m,0.11m,0.07m,N/A,0.01m,29th Mar 96  
Tetris Worlds (Online Edition)    ,XB,THQ  ,Radical Entertainment  ,N/A  ,N/A  ,0.20m,0.15m,0.04m,N/A,0.01m,13th Jun 03  
Puzzle Challenge: Crosswords and More!    ,PSP,Crave Entertainment  ,Supersonic Software  ,6.4  ,N/A  ,0.20m,0.18m,N/A,N/A,0.01m,09th Jun 06  
Mahjongg Mysteries: Ancient Egypt    ,DS,Destineer  ,LvivMedia  ,N/A  ,N/A  ,0.20m,0.07m,0.11m,N/A,0.02m,24th Jun 10  
I SPY castle    ,DS,Scholastic Inc.  ,Scholastic Media  ,N/A  ,N/A  ,0.19m,0.17m,N/A,N/A,0.02m,25th Oct 11  
Captain Toad: Treasure Tracker    ,3DS,Nintendo  ,Nintendo EPD  ,8.5  ,N/A  ,0.19m,0.06m,0.04m,0.08m,0.01m,13th Jul 18  
Mystery Tales of Time Travel    ,DS,O-Games  ,Most Wanted Entertainment  ,N/A  ,N/A  ,0.19m,0.01m,0.15m,N/A,0.02m,10th Dec 10  
Puyo Puyo Sun 64    ,N64,Compile  ,Compile  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.16m,0.03m,31st Oct 97  
Squeeballs Party    ,Wii,Aksys Games  ,Eiconic Games  ,N/A  ,N/A  ,0.19m,0.17m,0.00m,N/A,0.01m,12th Oct 09  
Sudoku Gridmaster (JP sales)    ,DS,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,26th Jun 06  
Mahjong: Journey Quest for Tikal    ,DS,Mumbo Jumbo  ,Cerasus Media  ,N/A  ,N/A  ,0.18m,0.15m,0.02m,N/A,0.01m,20th Jul 10  
Bendy and the Ink Machine    ,PS4,Rooster Teeth Games  ,TheMeatly Games  ,N/A  ,N/A  ,0.18m,0.15m,N/A,N/A,0.03m,20th Nov 18  
Jewel Master: Cradle of Athena    ,DS,Storm City Games  ,TBD  ,N/A  ,N/A  ,0.18m,0.17m,N/A,N/A,0.01m,26th Oct 10  
Squeeballs Party    ,DS,Aksys Games  ,Eiconic Games  ,N/A  ,N/A  ,0.18m,0.17m,0.00m,N/A,0.01m,12th Oct 09  
The Adventures of Cookie & Cream    ,PS2,Agetec  ,From Software  ,N/A  ,N/A  ,0.18m,0.09m,0.07m,N/A,0.02m,30th Apr 01  
Pictionary    ,DS,THQ  ,ImaginEngine  ,N/A  ,N/A  ,0.17m,0.09m,0.06m,N/A,0.02m,21st Nov 10  
Jewel Match    ,DS,Atari  ,PlayV  ,N/A  ,N/A  ,0.17m,0.05m,0.11m,N/A,0.02m,28th Jun 11  
WordJong Party    ,Wii,Destineer  ,Magellan Interactive  ,N/A  ,N/A  ,0.17m,0.16m,N/A,N/A,0.01m,18th Dec 08  
Bendy and the Ink Machine    ,NS,Rooster Teeth Games  ,TheMeatly Games  ,N/A  ,N/A  ,0.17m,0.15m,N/A,N/A,0.02m,20th Nov 18  
Professor Heinz Wolff's Gravity    ,Wii,Deep Silver  ,EM Studios  ,N/A  ,N/A  ,0.17m,0.04m,0.12m,N/A,0.02m,06th Apr 09  
Luxor 3    ,Wii,Mumbo Jumbo  ,MumboJumbo  ,N/A  ,N/A  ,0.17m,0.16m,N/A,N/A,0.01m,14th Nov 08  
Sudoku Gridmaster    ,DS,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,0.17m,0.13m,0.02m,N/A,0.01m,26th Jun 06  
Angry Birds Trilogy    ,PS3,Activision  ,Rovio Mobile  ,N/A  ,N/A  ,0.17m,0.12m,0.02m,N/A,0.03m,25th Sep 12  
Zoo Keeper    ,DS,Ignition Entertainment  ,"Buddiez, Inc.  ",7.2  ,N/A  ,0.17m,0.10m,0.01m,0.05m,0.01m,18th Jan 05  
Hamster Heroes    ,Wii,Unknown  ,Data Design Interactive  ,N/A  ,N/A  ,0.16m,0.16m,N/A,N/A,N/A,31st Dec 20  
Puzzle Quest: Galactrix    ,DS,D3 Publisher  ,Infinite Interactive  ,N/A  ,N/A  ,0.16m,0.15m,0.00m,N/A,0.01m,24th Feb 09  
Angry Birds: Star Wars    ,XOne,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.16m,0.11m,0.04m,N/A,0.02m,22nd Nov 13  
Marble Saga: Kororinpa    ,Wii,Konami  ,Hudson Soft  ,7.4  ,N/A  ,0.16m,0.09m,0.05m,0.00m,0.01m,17th Mar 09  
Around The World in 80 Days    ,DS,PlayV  ,PlayV  ,N/A  ,N/A  ,0.16m,N/A,0.14m,N/A,0.02m,05th Mar 10  
Take A Break's: Puzzle Master    ,DS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.16m,N/A,0.15m,N/A,0.01m,13th Nov 09  
Mr. Driller 2    ,GBA,Namco  ,Namco  ,N/A  ,N/A  ,0.16m,0.00m,0.00m,0.15m,0.00m,10th Apr 05  
Bendy and the Ink Machine    ,XOne,Rooster Teeth Games  ,TheMeatly Games  ,N/A  ,N/A  ,0.16m,0.14m,N/A,N/A,0.02m,20th Nov 18  
Bomberman Land Touch! 2    ,DS,Hudson Entertainment  ,Hudson Soft  ,N/A  ,N/A  ,0.16m,0.13m,0.00m,0.01m,0.01m,29th Jan 08  
Bust-A-Move Bash!    ,Wii,Majesco  ,Happy Happening  ,N/A  ,N/A  ,0.15m,0.13m,0.01m,N/A,0.01m,17th Apr 07  
WordJong    ,DS,Destineer  ,Magellan Interactive  ,7.5  ,N/A  ,0.15m,0.13m,0.01m,N/A,0.01m,16th Nov 07  
Bomberman    ,PSP,Konami  ,Hudson Soft  ,7.3  ,N/A  ,0.15m,0.14m,0.00m,N/A,0.01m,12th Sep 06  
KLAX    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,0.15m,0.14m,0.01m,N/A,0.00m,01st Jan 90  
Saturn Bomberman    ,SAT,Sega  ,Hudson Soft  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,0.00m,01st Jan 97  
Bomberman    ,DS,Ubisoft  ,Hudson Soft  ,N/A  ,N/A  ,0.15m,0.10m,0.01m,0.03m,0.01m,21st Jun 05  
Cake Mania: In The Mix!    ,Wii,Majesco  ,Gorilla Systems  ,N/A  ,N/A  ,0.15m,0.14m,0.00m,N/A,0.01m,24th Nov 08  
Countdown: The Game    ,DS,Mindscape  ,Mindscape  ,N/A  ,N/A  ,0.15m,N/A,0.14m,N/A,0.01m,06th Nov 09  
Tetris Attack    ,SNES,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,0.00m,04th Aug 96  
Bejeweled 3    ,PS3,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,0.15m,0.13m,N/A,N/A,0.02m,15th Nov 11  
Brain Boost: Gamma Wave    ,DS,Majesco  ,Interchannel  ,N/A  ,N/A  ,0.15m,0.14m,N/A,N/A,0.01m,17th Nov 06  
The Quest Trio    ,DS,Activision  ,Mistic Software  ,N/A  ,N/A  ,0.15m,0.13m,0.00m,N/A,0.01m,26th Aug 08  
Brain Boost: Beta Wave    ,DS,Majesco  ,Interchannel  ,N/A  ,N/A  ,0.15m,0.14m,0.00m,N/A,0.01m,17th Nov 06  
Jewel Quest Solitaire    ,DS,GSP  ,Avanquest Software  ,N/A  ,N/A  ,0.15m,N/A,0.13m,N/A,0.01m,11th Feb 11  
Rubik's World    ,Wii,Game Factory  ,Two Tribes  ,N/A  ,N/A  ,0.15m,0.12m,0.01m,N/A,0.01m,04th Nov 08  
Pipe Dreams 3D    ,PS,Take-Two Interactive  ,Sick Puppies  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,N/A,0.01m,23rd Oct 01  
SafeCracker: The Ultimate Puzzle Adventure    ,DS,DreamCatcher Interactive  ,JoWood Productions  ,N/A  ,N/A  ,0.14m,0.07m,0.06m,N/A,0.01m,07th Dec 09  
Balloon Pop    ,DS,UFO Interactive  ,Tommo  ,N/A  ,N/A  ,0.14m,0.13m,N/A,N/A,0.01m,23rd Oct 09  
Diner Dash: Flo on the Go    ,DS,Zoo Games  ,Zoo Games  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,N/A,0.01m,20th Oct 09  
Mojo!    ,PS2,Crave Entertainment  ,Crave Entertainment  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,26th Aug 03  
Pipe Mania    ,PS2,Empire Interactive  ,Razorworks Studios  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,26th Sep 08  
Bejeweled 3    ,X360,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,0.14m,0.13m,N/A,N/A,0.01m,15th Nov 11  
Mr. Driller: Drill Spirits    ,DS,Namco  ,Namco  ,N/A  ,N/A  ,0.14m,0.08m,0.00m,0.05m,0.01m,30th Nov 04  
Super Puzzle Fighter II Turbo    ,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,N/A,0.01m,30th Nov 96  
Puyo Puyo!! 20th Anniversary    ,DS,Sega  ,Sega  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,14th Jul 11  
Bust-A-Move Deluxe    ,PSP,Majesco  ,Dreams  ,7.1  ,N/A  ,0.14m,0.13m,0.00m,N/A,0.01m,04th Apr 06  
Touch My Katamari     ,PSV,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,0.14m,0.07m,0.04m,N/A,0.03m,21st Feb 12  
Magnetica    ,DS,Nintendo  ,Mitchell  ,N/A  ,N/A  ,0.14m,0.08m,0.01m,0.03m,0.01m,05th Jun 06  
Cruise Ship Vacation Games    ,Wii,GameMill  ,Frozen Codebase  ,N/A  ,N/A  ,0.13m,0.12m,0.00m,N/A,0.01m,08th Sep 09  
Learn Math    ,DS,DreamCatcher Interactive  ,DreamCatcher Interactive  ,N/A  ,N/A  ,0.13m,0.12m,N/A,N/A,0.01m,22nd Dec 09  
Kororinpa: Marble Mania    ,Wii,Konami  ,Hudson Soft  ,N/A  ,N/A  ,0.13m,0.08m,0.02m,0.03m,0.01m,20th Mar 07  
Puzzle Kingdoms    ,DS,Zoo Digital Publishing  ,Infinite Interactive  ,N/A  ,N/A  ,0.13m,0.12m,0.00m,N/A,0.01m,04th May 09  
I Spy: Universe    ,DS,Scholastic Inc.  ,Big Blue Bubble Inc.  ,N/A  ,N/A  ,0.13m,0.12m,N/A,N/A,0.01m,18th Jun 10  
Gotouchi Tetsudou: Gotouchi Kyara to Nihon Zenkoku no Tabi    ,3DS,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,27th Nov 14  
Zenses: Ocean    ,DS,Game Factory  ,Shin'en  ,N/A  ,N/A  ,0.13m,0.11m,0.01m,N/A,0.01m,28th Oct 08  
Puyo Puyo!! 20th Anniversary    ,3DS,Sega  ,Sonic Team  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,15th Dec 11  
Margot's Word Brain    ,Wii,Zoo Digital Publishing  ,Slam Games  ,N/A  ,N/A  ,0.13m,0.12m,0.00m,N/A,0.01m,23rd Sep 08  
Nintendo Puzzle Collection    ,GC,Unknown  ,Intelligent Systems  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,0.00m,N/A  
Puzzle de Harvest Moon    ,DS,Natsume  ,Platinum Egg  ,N/A  ,N/A  ,0.13m,0.12m,N/A,N/A,0.01m,06th Nov 07  
Space Bust-A-Move    ,DS,Square Enix  ,Lancarse  ,N/A  ,N/A  ,0.13m,0.10m,0.02m,N/A,0.01m,28th Jul 09  
7 Wonders of the Ancient World    ,DS,Mumbo Jumbo  ,Hot Lava Games  ,N/A  ,N/A  ,0.13m,0.10m,0.01m,N/A,0.01m,17th Sep 07  
Snood    ,GBA,"Destination Software, Inc  ",Rebellion Developments  ,N/A  ,N/A  ,0.13m,0.09m,0.03m,N/A,0.00m,28th Sep 01  
Classic NES Series: Dr. Mario    ,GBA,Nintendo  ,Nintendo EAD  ,6.1  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,25th Oct 04  
Diner Dash: Sizzle & Serve     ,PSP,Eidos Interactive  ,Game Lab / Play First  ,5.9  ,N/A  ,0.12m,0.11m,0.00m,N/A,0.01m,22nd May 07  
Puzzle Quest 2    ,DS,D3 Publisher  ,Infinite Interactive  ,N/A  ,N/A  ,0.12m,0.11m,0.00m,N/A,0.01m,22nd Jun 10  
Are You Smarter than a 5th Grader? Game Time    ,X360,THQ  ,THQ  ,4.0  ,N/A  ,0.12m,0.12m,N/A,N/A,0.01m,26th Oct 09  
Zenses: Rainforest    ,DS,Game Factory  ,Shin'en  ,N/A  ,N/A  ,0.12m,0.10m,0.01m,N/A,0.01m,28th Oct 08  
Go! Sudoku    ,PSP,Ubisoft  ,Sumo Digital  ,6.8  ,N/A  ,0.12m,0.11m,0.00m,N/A,0.01m,21st Mar 06  
Puzzle Quest: Challenge of the Warlords    ,PS2,D3 Publisher  ,Infinite Interactive  ,N/A  ,N/A  ,0.12m,0.06m,0.05m,N/A,0.02m,13th Nov 07  
Bomberman Party Edition    ,PS,Vatical Entertainment  ,Metro  ,7.9  ,N/A  ,0.12m,0.07m,0.05m,N/A,0.01m,19th Sep 00  
Break 'Em All    ,DS,D3 Publisher  ,Warashi  ,N/A  ,N/A  ,0.12m,0.11m,N/A,N/A,0.01m,20th Jun 06  
"Snipperclips Plus: Cut It Out, Together!    ",NS,Nintendo  ,SFB Games  ,8.2  ,8.5  ,0.12m,N/A,0.02m,0.10m,0.00m,03rd Mar 17  
Solitaire & Mahjong    ,Wii,Crave Entertainment  ,Crave Entertainment  ,N/A  ,N/A  ,0.12m,0.11m,N/A,N/A,0.01m,17th Feb 09  
"Sumikko Gurashi: Koko, Dokonan Desu?    ",3DS,Nippon Columbia  ,Nippon Columbia  ,N/A  ,N/A  ,0.12m,N/A,N/A,0.12m,N/A,20th Jul 17  
Picross 3D Round 2    ,3DS,Nintendo  ,HAL Laboratory  ,8.6  ,N/A  ,0.12m,N/A,0.00m,0.12m,0.00m,01st Sep 16  
Puzzle Kingdoms    ,Wii,Zoo Digital Publishing  ,Infinite Interactive  ,N/A  ,N/A  ,0.12m,0.11m,0.00m,N/A,0.01m,12th May 09  
Rubik's World    ,DS,Game Factory  ,Two Tribes  ,N/A  ,N/A  ,0.12m,0.10m,0.01m,N/A,0.01m,28th Oct 08  
Peggle: Dual Shot    ,DS,PopCap Games  ,Q Entertainment  ,N/A  ,N/A  ,0.12m,0.11m,N/A,N/A,0.01m,27th Feb 09  
USA Today Crossword Challenge    ,DS,Destineer  ,Destineer  ,N/A  ,N/A  ,0.12m,0.11m,N/A,N/A,0.01m,30th May 08  
Ultimate Puzzle Games: Sudoku Edition    ,DS,Telegames  ,"Telegames, Inc.  ",N/A  ,N/A  ,0.12m,0.11m,N/A,N/A,0.01m,24th Jul 07  
Hanagumi Taisen Columns    ,SAT,Sega  ,Sega  ,N/A  ,N/A  ,0.12m,N/A,N/A,0.12m,N/A,28th Mar 97  
Puyo Puyo Tetris    ,3DS,Sega  ,Sonic Team  ,N/A  ,N/A  ,0.11m,N/A,N/A,0.11m,N/A,06th Feb 14  
Merv Griffin's Crosswords    ,Wii,THQ  ,Pipeworks Software Inc.  ,N/A  ,N/A  ,0.11m,0.11m,N/A,N/A,0.01m,17th Nov 08  
Animal Genius    ,DS,Scholastic Inc.  ,Big Blue Bubble Inc.  ,N/A  ,N/A  ,0.11m,0.10m,0.00m,N/A,0.01m,25th Sep 07  
Classic NES Series: Bomberman    ,GBA,Nintendo  ,Hudson Soft  ,5.4  ,N/A  ,0.11m,N/A,N/A,0.11m,N/A,02nd Jun 04  
Mechanic Master    ,DS,Midway Games  ,Most Wanted Entertainment  ,N/A  ,N/A  ,0.11m,0.10m,0.00m,N/A,0.01m,21st Oct 08  
Fabulous Finds    ,DS,ValuSoft  ,Webfoot Technologies  ,N/A  ,N/A  ,0.11m,0.10m,N/A,N/A,0.01m,21st Sep 09  
Puzzler World 2    ,DS,UFO Interactive  ,Ubisoft  ,N/A  ,N/A  ,0.11m,0.02m,0.07m,N/A,0.02m,16th Aug 11  
Cake Mania    ,DS,Majesco  ,Digital Embryo  ,N/A  ,N/A  ,0.11m,0.09m,0.01m,N/A,0.01m,09th Apr 07  
Yard Sale Hidden Treasures: Sunnyville    ,DS,Konami  ,The Method  ,N/A  ,N/A  ,0.11m,0.10m,N/A,N/A,0.01m,25th May 10  
Go! Sudoku (JP sales)    ,PSP,Ubisoft  ,Sumo Digital  ,N/A  ,N/A  ,0.11m,N/A,N/A,0.11m,N/A,21st Mar 06  
Breakout    ,PS,Hasbro Interactive  ,Supersonic Software  ,4.9  ,N/A  ,0.11m,0.06m,0.04m,N/A,0.01m,22nd Sep 00  
Silly Bandz: Play The Craze    ,DS,Zoo Games  ,Artefacts Studio  ,N/A  ,N/A  ,0.11m,0.10m,0.00m,N/A,0.01m,23rd Nov 10  
Bust-A-Move DS    ,DS,Majesco  ,Happy Happening  ,N/A  ,N/A  ,0.11m,0.08m,0.02m,N/A,0.01m,06th Dec 05  
Kotoba no Puzzle: Mojipittan Daijiten    ,PSP,Namco  ,Namco  ,N/A  ,N/A  ,0.11m,N/A,N/A,0.11m,N/A,16th Dec 04  
Aqua Aqua    ,PS2,3DO  ,Zed Two Limited  ,N/A  ,N/A  ,0.11m,0.05m,0.04m,N/A,0.01m,09th Jan 01  
Sudokuro    ,DS,Crave Entertainment  ,FrontLine Studios  ,N/A  ,N/A  ,0.11m,0.10m,N/A,N/A,0.01m,16th May 07  
Tetris Evolution    ,X360,THQ  ,THQ  ,N/A  ,N/A  ,0.11m,0.08m,0.02m,N/A,0.01m,19th Mar 07  
Gem Quest: 4 Elements    ,DS,Storm City Games  ,Mastertronic  ,N/A  ,N/A  ,0.11m,0.05m,0.05m,N/A,0.01m,19th Apr 11  
Puzzle Chronicles    ,PSP,Konami  ,Infinite Interactive  ,6.5  ,N/A  ,0.10m,0.08m,0.00m,N/A,0.02m,02nd Feb 10  
Exit DS    ,DS,Taito  ,Taito Corporation  ,N/A  ,N/A  ,0.10m,0.09m,0.00m,0.01m,0.01m,05th Nov 08  
Bejeweled 3    ,PC,PopCap Games  ,PopCap Games  ,8.1  ,N/A  ,0.10m,0.04m,0.05m,N/A,0.01m,07th Dec 10  
Chameleon    ,PSP,UFO Interactive  ,Starfish  ,N/A  ,N/A  ,0.10m,0.09m,0.00m,N/A,0.02m,05th May 08  
PictoImage    ,DS,Sega  ,Sega  ,N/A  ,N/A  ,0.10m,0.09m,0.00m,N/A,0.01m,02nd Sep 08  
Scribblenauts Unmasked: A DC Comics Adventure    ,WiiU,Warner Bros. Interactive Entertainment  ,5TH Cell  ,N/A  ,N/A  ,0.10m,0.09m,N/A,N/A,0.01m,24th Sep 13  
Scribblenauts Unmasked: A DC Comics Adventure    ,3DS,Warner Bros. Interactive Entertainment  ,5TH Cell  ,N/A  ,N/A  ,0.10m,0.09m,N/A,N/A,0.01m,24th Sep 13  
Puyo Puyo Tetris    ,PS4,Sega  ,Sonic Team  ,N/A  ,N/A  ,0.10m,0.05m,0.03m,N/A,0.02m,25th Apr 17  
Sudoku Mania    ,DS,UFO Interactive  ,FrontLine Studios  ,N/A  ,N/A  ,0.10m,0.09m,0.00m,N/A,0.01m,30th Jun 06  
USA Today Puzzle Craze    ,DS,Destineer  ,Magellan Interactive  ,N/A  ,N/A  ,0.10m,0.09m,N/A,N/A,0.01m,24th Feb 09  
Angry Birds: Star Wars    ,WiiU,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.10m,0.05m,0.04m,N/A,0.01m,29th Oct 13  
Sneakers    ,XB,Microsoft Game Studios  ,Media.Vision  ,N/A  ,N/A  ,0.10m,0.07m,0.02m,N/A,0.00m,22nd Oct 02  
Nancy Drew: The Model Mysteries    ,DS,THQ  ,THQ  ,N/A  ,N/A  ,0.10m,0.09m,0.00m,N/A,0.01m,10th Feb 10  
May's Mystery: Forbidden Memories    ,DS,Unknown  ,Mastertronic  ,N/A  ,N/A  ,0.10m,0.05m,0.04m,N/A,0.01m,28th Sep 11  
Bejeweled Twist    ,DS,PopCap Games  ,Griptonite Games  ,N/A  ,N/A  ,0.10m,N/A,0.08m,N/A,0.01m,19th Jan 10  
Harvest Moon: Frantic Farming    ,DS,Natsume  ,Natsume  ,7.0  ,N/A  ,0.10m,0.08m,0.01m,N/A,0.01m,25th Aug 09  
Tokimeki Memorial: Taisen Pazurudama    ,PS,Konami  ,Konami  ,N/A  ,N/A  ,0.10m,N/A,N/A,0.09m,0.01m,27th Sep 96  
Snood 2: On Vacation    ,DS,DSI Games  ,Gravity-I  ,N/A  ,N/A  ,0.09m,0.09m,N/A,N/A,0.01m,16th Nov 05  
Puyo Pop Fever (JP sales)     ,DS,Atlus  ,Sega  ,N/A  ,N/A  ,0.09m,N/A,N/A,0.09m,N/A,03rd May 05  
Angry Birds: Star Wars    ,PSV,Activision  ,Exient Entertainment  ,N/A  ,N/A  ,0.09m,0.03m,0.04m,N/A,0.02m,29th Oct 13  
echochrome    ,PSP,Sony Computer Entertainment  ,SCE Japan Studio  ,7.6  ,N/A  ,0.09m,N/A,0.01m,0.08m,0.00m,01st May 08  
Bomberman Max 2: Blue Advance    ,GBA,Majesco  ,Hudson Soft  ,7.3  ,N/A  ,0.09m,0.07m,0.02m,N/A,0.00m,30th May 02  
Angry Birds: Rio    ,PC,Focus Home Interactive  ,Rovio Mobile  ,N/A  ,N/A  ,0.09m,N/A,0.07m,N/A,0.02m,25th Nov 11  
Junior Mystery Quest    ,DS,Unknown  ,Navarre Corp  ,N/A  ,N/A  ,0.09m,0.07m,0.01m,N/A,0.01m,30th Aug 11  
Challenge Me: Brain Puzzles 2    ,DS,O-Games  ,O Games  ,N/A  ,N/A  ,0.09m,0.05m,0.04m,N/A,0.01m,23rd Nov 10  
Puchi Puchi Virus    ,DS,NIS America  ,Keys Factory  ,7.4  ,N/A  ,0.09m,0.08m,N/A,N/A,0.01m,20th May 09  
Hello Kitty's Cube Frenzy    ,PS,NewKidCo  ,Culture Publishers  ,N/A  ,N/A  ,0.09m,0.05m,0.03m,N/A,0.01m,31st Mar 99  
Pipe Mania    ,DS,Empire Interactive  ,Razorworks Studios  ,N/A  ,N/A  ,0.09m,0.08m,0.01m,N/A,0.01m,26th Sep 08  
