title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Kinect Star Wars    ,X360,Microsoft Studios  ,Terminal Reality  ,1.76m,1.05m,0.53m,0.03m,0.15m,03rd Apr 12  
Just Cause 2    ,PS3,Square Enix  ,Avalanche Studios  ,1.75m,0.45m,0.92m,0.06m,0.32m,23rd Mar 10  
For Honor    ,PS4,Ubisoft  ,Ubisoft Montreal  ,1.75m,0.73m,0.66m,0.07m,0.28m,14th Feb 17  
LEGO City Undercover: The Chase Begins    ,3DS,Nintendo  ,TT Fusion  ,1.74m,0.54m,0.99m,0.08m,0.12m,21st Apr 13  
Twisted Metal III     ,PS,989 Studios  ,989 Studios  ,1.73m,1.48m,0.20m,N/A,0.05m,31st Oct 98  
Harry Potter and the Sorcerer's Stone    ,GB,Electronic Arts  ,Griptonite Games  ,1.73m,0.94m,0.62m,0.10m,0.07m,21st Nov 01  
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City    ,PS2,Rockstar Games  ,Rockstar North  ,1.72m,0.85m,0.66m,N/A,0.22m,21st Oct 03  
Hitman: Absolution    ,X360,Square Enix  ,IO Interactive  ,1.70m,0.68m,0.88m,0.01m,0.13m,20th Nov 12  
Ben 10: Protector of Earth    ,DS,D3 Publisher  ,1st Playable Productions  ,1.70m,0.68m,0.82m,N/A,0.19m,30th Oct 07  
Saints Row IV    ,X360,Deep Silver  ,Volition Inc.  ,1.69m,1.01m,0.51m,0.01m,0.15m,20th Aug 13  
Harry Potter and the Sorcerer's Stone    ,GBA,Electronic Arts  ,Griptonite Games  ,1.69m,0.87m,0.66m,0.08m,0.08m,15th Nov 01  
Resident Evil 4    ,GC,Capcom  ,Capcom Production Studio 4  ,1.69m,0.98m,0.42m,0.22m,0.06m,11th Jan 05  
Saints Row 2    ,PS3,THQ  ,Volition Inc.  ,1.68m,0.88m,0.54m,0.02m,0.24m,14th Oct 08  
Monster Hunter Double Cross    ,3DS,Capcom  ,Capcom  ,1.68m,N/A,N/A,1.68m,N/A,18th Mar 17  
Star Wars The Clone Wars: Lightsaber Duels    ,Wii,LucasArts  ,Krome Studios  ,1.65m,1.21m,0.30m,N/A,0.14m,11th Nov 08  
Heavenly Sword    ,PS3,Sony Computer Entertainment  ,Ninja Theory  ,1.65m,0.57m,0.73m,0.06m,0.29m,12th Sep 07  
