title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
LEGO DC Super-Villains    ,PS4,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.46m,0.22m,0.17m,N/A,0.08m,16th Oct 18  
LEGO The Hobbit    ,X360,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.46m,0.20m,0.22m,N/A,0.04m,08th Apr 14  
Skylanders: SuperChargers    ,PS4,Activision  ,Vicarious Visions  ,0.45m,0.29m,0.09m,N/A,0.08m,20th Sep 15  
Terraria    ,PS3,505 Games  ,Engine Software  ,0.45m,0.09m,0.21m,0.09m,0.06m,30th Jul 13  
LEGO DC Super-Villains    ,NS,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,0.44m,0.28m,0.12m,N/A,0.04m,16th Oct 18  
Skylanders: SuperChargers    ,PS3,Activision  ,Vicarious Visions  ,0.43m,0.20m,0.16m,N/A,0.07m,20th Sep 15  
LEGO The Lord of the Rings    ,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.41m,0.21m,0.17m,N/A,0.03m,30th Oct 12  
LEGO Harry Potter: Years 5-7    ,3DS,Warner Bros. Interactive  ,TT Fusion  ,0.41m,0.18m,0.19m,N/A,0.03m,11th Nov 11  
Skylanders: SuperChargers    ,XOne,Activision  ,Vicarious Visions  ,0.40m,0.31m,0.05m,N/A,0.04m,20th Sep 15  
One Piece Unlimited World: Red    ,3DS,Namco Bandai Games  ,Ganbarion  ,0.39m,0.05m,0.05m,0.28m,0.01m,08th Jul 14  
Metal Gear Solid: Snake Eater 3D    ,3DS,Konami Digital Entertainment  ,Konami Computer Entertainment Japan  ,0.39m,0.15m,0.12m,0.10m,0.02m,21st Feb 12  
LEGO Batman 2: DC Super Heroes    ,PSV,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.37m,0.16m,0.13m,N/A,0.08m,26th Jun 12  
Resident Evil: Origins Collection    ,PS4,Capcom  ,Capcom  ,0.37m,0.07m,0.18m,0.07m,0.05m,19th Jan 16  
Assassin's Creed III    ,WiiU,Ubisoft  ,Ubisoft Montreal  ,0.36m,0.19m,0.14m,N/A,0.03m,18th Nov 12  
Disney Infinity    ,3DS,Disney Interactive Studios  ,Altron  ,0.35m,0.22m,0.11m,N/A,0.03m,18th Aug 13  
Mafia III    ,PC,2K Games  ,Hangar 13  ,0.35m,0.14m,0.18m,N/A,0.03m,07th Oct 16  
Gravity Rush 2    ,PS4,Sony Interactive Entertainment  ,SIE Japan Studio  ,0.35m,0.13m,0.05m,0.13m,0.04m,20th Jan 17  
Lego Star Wars: The Force Awakens    ,PS3,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.35m,0.07m,0.22m,N/A,0.05m,28th Jun 16  
Lego Legends of Chima: Laval's Journey    ,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,0.34m,0.20m,0.11m,N/A,0.03m,25th Jun 13  
Murdered: Soul Suspect    ,PS4,Square Enix  ,Airtight Games  ,0.33m,0.09m,0.17m,0.02m,0.05m,03rd Jun 14  
