title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Harry Potter and the Goblet of Fire    ,PSP,Electronic Arts  ,Electronic Arts  ,7.2  ,N/A  ,0.19m,0.17m,0.00m,N/A,0.02m,15th Nov 05  
Family Guy    ,PSP,2K Games  ,High Voltage Software  ,5.5  ,N/A  ,0.19m,0.18m,0.00m,N/A,0.02m,16th Oct 06  
Danganronpa 2: Goodbye Despair    ,PSP,Spike  ,Spike Chunsoft  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,26th Jul 12  
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou    ,3DS,Capcom  ,Capcom  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,09th Jul 15  
Disney's Magical Mirror Starring Mickey Mouse    ,GC,Nintendo  ,Capcom  ,4.0  ,N/A  ,0.19m,0.15m,0.04m,N/A,0.01m,13th Aug 02  
The Spiderwick Chronicles    ,Wii,Sierra Entertainment  ,Stormfront Studios  ,N/A  ,N/A  ,0.19m,0.17m,0.01m,N/A,0.01m,05th Feb 08  
Legacy of Kain: Defiance    ,XB,Eidos Interactive  ,Crystal Dynamics  ,N/A  ,N/A  ,0.19m,0.14m,0.04m,N/A,0.01m,11th Nov 03  
Majin and the Forsaken Kingdom    ,X360,Namco Bandai  ,Game Republic  ,7.0  ,N/A  ,0.19m,0.14m,0.03m,0.00m,0.01m,30th Nov 10  
Tokimeki Memorial Girl's Side 3rd Story    ,DS,Konami  ,Konami  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,24th Jun 10  
Avatar: The Last Airbender - Into the Inferno    ,Wii,THQ  ,Halfbrick Studios  ,N/A  ,N/A  ,0.19m,0.17m,0.01m,N/A,0.01m,13th Oct 08  
Tomb Raider: Underworld    ,DS,Eidos Interactive  ,Santa Cruz Games  ,N/A  ,N/A  ,0.19m,0.15m,0.02m,N/A,0.01m,18th Nov 08  
The Polar Express    ,GBA,THQ  ,Tantalus Interactive  ,N/A  ,N/A  ,0.19m,0.14m,0.05m,N/A,0.00m,02nd Nov 04  
Frogger's Adventures 2: The Lost Wand    ,GBA,Konami  ,Konami  ,8.0  ,N/A  ,0.19m,0.14m,0.05m,N/A,0.00m,05th Nov 02  
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu    ",PSP,Sony Computer Entertainment  ,Millennium Kitchen  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,02nd Jul 09  
Tottadoo! Yoiko no Mujintou Seikatsu    ,DS,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,03rd Apr 08  
Where's Waldo? The Fantastic Journey    ,Wii,Ubisoft  ,Classic Media Distribution Limited  ,N/A  ,N/A  ,0.19m,0.17m,N/A,N/A,0.01m,22nd Sep 09  
Harry Potter and the Prisoner of Azkaban    ,XB,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,0.19m,0.14m,0.04m,N/A,0.01m,02nd Jun 04  
Chibi-Robo! Park Patrol    ,DS,Nintendo  ,skip Ltd.  ,N/A  ,N/A  ,0.19m,N/A,N/A,0.19m,N/A,02nd Oct 07  
One Piece: Unlimited Adventure    ,Wii,Namco Bandai  ,Ganbarion  ,N/A  ,N/A  ,0.19m,0.07m,N/A,0.11m,0.01m,22nd Jan 08  
Batman: A Telltale Game Series    ,PS4,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,0.19m,0.09m,0.07m,N/A,0.03m,13th Sep 16  
Bolt    ,PS3,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,0.19m,0.12m,0.05m,N/A,0.02m,18th Nov 08  
Hidden Mysteries: Vampire Secrets    ,DS,GameMill  ,Gunnar Games  ,N/A  ,N/A  ,0.19m,0.06m,0.11m,N/A,0.02m,20th Aug 10  
The Bee Game    ,DS,Midway Games  ,Midway  ,N/A  ,N/A  ,0.19m,0.17m,N/A,N/A,0.01m,15th Oct 07  
CSI: Fatal Conspiracy    ,PS3,Ubisoft  ,Telltale Games  ,N/A  ,N/A  ,0.19m,0.11m,0.05m,N/A,0.02m,26th Oct 10  
Siren    ,PS2,Sony Computer Entertainment  ,SCE Japan Studio  ,N/A  ,N/A  ,0.18m,0.09m,0.07m,N/A,0.02m,06th Nov 03  
Jurassic Park III: Island Attack    ,GBA,Konami  ,Konami  ,4.9  ,N/A  ,0.18m,0.13m,0.05m,N/A,0.00m,26th Nov 01  
Doctor Who: Return to Earth    ,Wii,Asylum Entertainment  ,Asylum Entertainment  ,N/A  ,N/A  ,0.18m,N/A,0.16m,N/A,0.02m,12th Nov 10  
Alone In The Dark    ,Wii,Atari  ,Hydravision Entertainment  ,3.1  ,N/A  ,0.18m,0.09m,0.08m,N/A,0.02m,23rd Jun 08  
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe    ",DS,Buena Vista  ,Griptonite Games  ,N/A  ,N/A  ,0.18m,0.15m,0.01m,N/A,0.01m,14th Nov 05  
The Chronicles of Narnia: Prince Caspian    ,X360,Disney Interactive Studios  ,Traveller's Tales  ,6.3  ,N/A  ,0.18m,0.16m,0.01m,N/A,0.01m,15th May 08  
Back to the Future: The Game    ,PS4,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,0.18m,0.10m,0.05m,N/A,0.03m,13th Oct 15  
Silent Hill 4: The Room    ,XB,Konami  ,KCET  ,N/A  ,N/A  ,0.18m,0.14m,0.04m,N/A,0.01m,07th Sep 04  
Pirates: Hunt For Blackbeard's Booty    ,Wii,Activision  ,Activision  ,N/A  ,N/A  ,0.18m,0.08m,0.08m,N/A,0.02m,28th Oct 08  
Escape the Museum    ,DS,GameMill  ,Gogii Games  ,N/A  ,N/A  ,0.18m,0.04m,0.12m,N/A,0.02m,12th Jan 10  
Danganronpa V3: Killing Harmony    ,PSV,NIS America  ,Spike Chunsoft  ,N/A  ,N/A  ,0.18m,0.02m,0.01m,0.13m,0.01m,26th Sep 17  
Hello Kitty: Birthday Adventures    ,DS,Zoo Games  ,OneNine Studios  ,N/A  ,N/A  ,0.18m,0.06m,0.10m,N/A,0.02m,23rd Feb 10  
Charlie and the Chocolate Factory    ,GC,Global Star Software  ,High Voltage Software  ,3.9  ,N/A  ,0.18m,0.14m,0.04m,N/A,0.00m,11th Jul 05  
Tomb Raider: Underworld    ,PS2,Eidos Interactive  ,Crystal Dynamics  ,N/A  ,N/A  ,0.18m,0.09m,0.04m,N/A,0.05m,03rd Mar 09  
Danganronpa 2: Goodbye Despair    ,PSV,NIS America  ,Spike Chunsoft  ,N/A  ,N/A  ,0.18m,0.08m,0.05m,N/A,0.04m,02nd Sep 14  
Nancy Drew: The Hidden Staircase    ,DS,THQ  ,Gorilla Systems  ,N/A  ,N/A  ,0.18m,0.16m,N/A,N/A,0.01m,22nd Sep 08  
LEGO Island 2: The Brickster's Revenge    ,PS,LEGO Media  ,Silicon Dreams  ,N/A  ,N/A  ,0.18m,0.10m,0.07m,N/A,0.01m,01st Mar 01  
Fancy Nancy: Tea Party Time!    ,DS,THQ  ,Webfoot Technologies  ,N/A  ,N/A  ,0.18m,0.16m,N/A,N/A,0.01m,14th Sep 10  
The Wild Thornberrys: Animal Adventures    ,PS,Mattel Interactive  ,Mattel Interactive  ,N/A  ,N/A  ,0.17m,0.10m,0.07m,N/A,0.01m,08th Nov 00  
Petz: Horseshoe Ranch    ,DS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.17m,0.16m,N/A,N/A,0.01m,03rd Feb 09  
Warriors of Might and Magic    ,PS2,3DO  ,3DO  ,N/A  ,N/A  ,0.17m,0.09m,0.07m,N/A,0.02m,17th Mar 01  
The Walking Dead - The Telltale Series: A New Frontier    ,PS4,Warner Bros. Interactive Entertainment  ,Telltale Games  ,N/A  ,N/A  ,0.17m,0.11m,0.04m,N/A,0.03m,28th Feb 17  
Horrid Henry: Missions of Mischief    ,DS,SouthPeak Interactive  ,Asylum Entertainment  ,N/A  ,N/A  ,0.17m,0.01m,0.14m,N/A,0.02m,31st Aug 10  
The Chronicles of Narnia: Prince Caspian    ,PS3,Disney Interactive Studios  ,Traveller's Tales  ,N/A  ,N/A  ,0.17m,0.14m,0.02m,N/A,0.02m,15th May 08  
The Hobbit    ,GC,Sierra Entertainment  ,Midway Studios - Austin  ,5.0  ,N/A  ,0.17m,0.13m,0.03m,N/A,0.00m,11th Nov 03  
Lost in Blue 3    ,DS,Konami  ,Konami  ,N/A  ,N/A  ,0.17m,0.09m,0.02m,0.06m,0.01m,18th Mar 08  
Rush: A Disney Pixar Adventure    ,XOne,Microsoft Studios  ,Asobo Studio  ,N/A  ,N/A  ,0.17m,0.15m,N/A,N/A,0.02m,31st Oct 17  
Disney's Atlantis: The Lost Empire    ,PS,Sony Computer Entertainment  ,Eurocom Entertainment Software  ,N/A  ,N/A  ,0.17m,0.10m,0.07m,N/A,0.01m,14th Jun 01  
Sound Novel Evolution 1: Otogirisou Sosei-Hen    ,PS,ChunSoft  ,ChunSoft  ,N/A  ,N/A  ,0.17m,N/A,N/A,0.16m,0.01m,25th Mar 99  
Broken Sword: Shadows of the Templars - The Director's Cut    ,DS,Ubisoft  ,Revolution Software  ,N/A  ,N/A  ,0.17m,0.07m,0.08m,N/A,0.02m,24th Mar 09  
Bomberman 64: The Second Attack!    ,N64,Vatical Entertainment  ,Hudson Soft  ,N/A  ,N/A  ,0.17m,0.05m,0.01m,0.11m,0.00m,28th May 00  
Fate/stay night [Réalta Nua]    ,PS2,Kadokawa Shoten  ,Type-Moon  ,N/A  ,N/A  ,0.17m,N/A,N/A,0.17m,N/A,19th Apr 07  
Gyakuten Saiban 3    ,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,0.17m,N/A,N/A,0.16m,0.00m,23rd Jan 04  
Monkey Island: Special Edition Collection    ,PC,LucasArts  ,LucasArts  ,N/A  ,N/A  ,0.17m,N/A,0.14m,N/A,0.03m,09th Sep 11  
CSI: Fatal Conspiracy    ,X360,Ubisoft  ,Telltale Games  ,N/A  ,N/A  ,0.17m,0.11m,0.04m,N/A,0.01m,26th Oct 10  
Clock Tower II: The Struggle Within    ,PS,Agetec  ,Human Entertainment  ,4.4  ,N/A  ,0.17m,0.02m,0.01m,0.12m,0.01m,31st Oct 99  
Journey    ,PSN,Sony Computer Entertainment America  ,thatgamecompany  ,N/A  ,N/A  ,0.17m,0.04m,0.11m,N/A,0.01m,28th Aug 12  
Leisure Suit Larry: Magna Cum Laude    ,XB,VU Games  ,High Voltage Software  ,N/A  ,N/A  ,0.17m,0.12m,0.04m,N/A,0.01m,05th Oct 04  
Cubivore: Survival of the Fittest    ,GC,Atlus  ,Saru Brunei / Intelligent Systems  ,7.1  ,N/A  ,0.17m,0.01m,0.00m,0.15m,0.00m,05th Nov 02  
Doctor Lautrec and the Forgotten Knights    ,3DS,Konami  ,Konami  ,N/A  ,N/A  ,0.17m,0.07m,0.05m,0.03m,0.01m,13th Dec 11  
Gyakuten Saiban 3    ,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,0.16m,N/A,N/A,0.16m,N/A,23rd Jan 04  
Leisure Suit Larry: Box Office Bust    ,X360,Codemasters  ,Team17 Software  ,N/A  ,N/A  ,0.16m,0.14m,0.01m,N/A,0.01m,31st Mar 09  
Kya: Dark Lineage    ,PS2,Atari  ,Eden Games  ,N/A  ,N/A  ,0.16m,0.08m,0.06m,N/A,0.02m,18th Nov 03  
Kamaitachi no Yoru × 3    ,PS2,Sega  ,ChunSoft  ,N/A  ,N/A  ,0.16m,N/A,N/A,0.16m,N/A,27th Jul 06  
Goosebumps HorrorLand    ,Wii,Scholastic Inc.  ,Gusto Games  ,N/A  ,N/A  ,0.16m,0.15m,0.00m,N/A,0.01m,28th Oct 08  
Otogirisou    ,SNES,ChunSoft  ,ChunSoft  ,N/A  ,N/A  ,0.16m,N/A,N/A,0.16m,N/A,07th Mar 92  
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure    ,PS2,Activision  ,Sand Grain Studios  ,N/A  ,N/A  ,0.16m,0.08m,0.06m,N/A,0.02m,01st Nov 05  
Shadow Man: 2econd Coming    ,PS2,Acclaim Entertainment  ,Acclaim Studios Teesside  ,N/A  ,N/A  ,0.16m,0.08m,0.06m,N/A,0.02m,02nd Mar 02  
Alone in the Dark: The New Nightmare    ,PS,Infogrames  ,Darkworks  ,7.2  ,N/A  ,0.16m,0.09m,0.06m,N/A,0.01m,18th Jun 01  
Ghost in the Shell: Stand Alone Complex    ,PS2,Bandai  ,Cavia Inc.  ,6.6  ,N/A  ,0.16m,0.08m,0.06m,N/A,0.02m,08th Nov 04  
Yomawari: Night Alone    ,PSV,NIS America  ,Nippon Ichi Software  ,N/A  ,N/A  ,0.16m,0.05m,0.02m,0.07m,0.02m,25th Oct 16  
Eve: The Lost One    ,SAT,Imagineer  ,C's Ware  ,N/A  ,N/A  ,0.16m,N/A,N/A,0.16m,N/A,12th Mar 98  
The Walking Dead: Season One    ,XOne,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,0.16m,0.08m,0.06m,N/A,0.01m,14th Oct 14  
James Noir's Hollywood Crimes    ,3DS,Ubisoft  ,Ubisoft  ,7.0  ,N/A  ,0.16m,0.07m,0.07m,N/A,0.01m,01st Nov 11  
The Adventures of Tintin: The Game    ,3DS,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,N/A  ,0.16m,0.05m,0.09m,N/A,0.02m,06th Dec 11  
Time Hollow    ,DS,Konami  ,Tenky  ,N/A  ,N/A  ,0.16m,0.03m,0.01m,0.11m,0.00m,23rd Sep 08  
Sherlock Holmes vs. Jack the Ripper    ,X360,DreamCatcher Interactive  ,Frogwares  ,N/A  ,N/A  ,0.16m,0.11m,0.04m,N/A,0.01m,20th Apr 10  
Monster House    ,DS,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,0.16m,0.14m,0.01m,N/A,0.01m,18th Jul 06  
Dragon's Lair Trilogy    ,Wii,Destineer  ,Digital Leisure Inc.  ,N/A  ,N/A  ,0.15m,0.14m,N/A,N/A,0.01m,08th Oct 10  
Doctor Who: Evacuation Earth    ,DS,Unknown  ,Asylum Entertainment  ,N/A  ,N/A  ,0.15m,N/A,0.13m,N/A,0.02m,12th Nov 10  
"Go, Diego, Go! Safari Rescue    ",DS,2K Play  ,Black Lantern Studios  ,N/A  ,N/A  ,0.15m,0.14m,0.01m,N/A,0.01m,05th Nov 07  
The Godfather: Blackhand Edition    ,Wii,Electronic Arts  ,EA Redwood Shores  ,7.4  ,N/A  ,0.15m,0.14m,0.00m,N/A,0.01m,20th Mar 07  
Rise of the Tomb Raider    ,PC,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,0.15m,N/A,0.14m,N/A,0.01m,28th Jan 16  
Amagami    ,PSP,Kadokawa Shoten  ,Kadokawa Shoten  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,N/A,31st Mar 11  
Brothers: A Tale of Two Sons    ,PS4,505 Games  ,Starbreeze Studios  ,N/A  ,N/A  ,0.15m,0.04m,0.09m,N/A,0.02m,12th Aug 15  
The Fairly Odd Parents: Clash with the Anti-World    ,GBA,THQ  ,THQ  ,3.5  ,N/A  ,0.15m,0.11m,0.04m,N/A,0.00m,18th Oct 05  
Megamind: Ultimate Showdown    ,PS3,THQ  ,THQ Australia Studios Pty Ltd.  ,N/A  ,N/A  ,0.15m,0.07m,0.06m,N/A,0.02m,02nd Nov 10  
The Walking Dead: A Telltale Games Series    ,PSV,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,0.15m,0.10m,N/A,0.01m,0.04m,01st Aug 13  
Prince of Persia: The Sands of Time    ,GBA,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,0.15m,0.11m,0.04m,N/A,0.00m,30th Oct 03  
Steins;Gate 0    ,PSV,PQube  ,5pb. Inc.  ,N/A  ,N/A  ,0.15m,N/A,0.07m,0.07m,0.02m,29th Nov 16  
Kowloon's Gate    ,PS,Sony Computer Entertainment  ,ArtDink  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.14m,0.01m,28th Feb 97  
Suzumiya Haruhi no Yakusoku    ,PSP,Namco Bandai  ,Bandai Namco Games  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,N/A,27th Dec 07  
Indigo Prophecy    ,PS2,Atari  ,Quantic Dream  ,N/A  ,N/A  ,0.15m,0.07m,0.06m,N/A,0.02m,26th Sep 05  
Space Station Silicon Valley    ,N64,Take-Two Interactive  ,DMA Design  ,8.3  ,N/A  ,0.15m,0.12m,0.03m,N/A,0.00m,01st Jan 98  
RiME    ,NS,Grey Box  ,Tequila Works  ,4.5  ,N/A  ,0.15m,0.11m,0.03m,N/A,0.01m,21st Nov 17  
Disney's Planes    ,Wii,Disney Interactive Studios  ,Behaviour Interactive  ,N/A  ,N/A  ,0.15m,0.07m,0.07m,N/A,0.01m,06th Aug 13  
Scooby-Doo! Mystery Mayhem    ,XB,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,0.15m,0.11m,0.03m,N/A,0.01m,02nd Mar 04  
Geist    ,GC,Nintendo  ,n-Space  ,6.6  ,7.6  ,0.15m,0.11m,0.03m,N/A,0.00m,15th Aug 05  
Minecraft: Story Mode    ,PC,Mojang  ,Telltale Games  ,N/A  ,N/A  ,0.15m,0.04m,0.09m,N/A,0.01m,27th Oct 15  
Sam & Max: Season One    ,Wii,The Adventure Company  ,Telltale Games  ,7.1  ,N/A  ,0.15m,0.13m,0.01m,N/A,0.01m,15th Oct 08  
Yakuza: Ishin    ,PS4,Sega  ,Sega  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,N/A,22nd Feb 14  
Shenmue II    ,DC,Sega  ,Sega-AM2  ,8.7  ,N/A  ,0.15m,N/A,N/A,0.15m,0.00m,23rd Nov 01  
Dragon Quest Builders 2    ,PS4,Square Enix  ,Square Enix  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,N/A,12th Jul 19  
Prince of Persia: The Two Thrones    ,GC,Ubisoft  ,Ubisoft Montreal  ,8.7  ,N/A  ,0.15m,0.11m,0.03m,N/A,0.00m,01st Dec 05  
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable    ,PSP,Banpresto  ,Namco Bandai Games  ,N/A  ,N/A  ,0.15m,N/A,N/A,0.15m,N/A,27th Jan 11  
Nancy Drew: The White Wolf of Icicle Creek    ,Wii,Sega  ,Her Interactive  ,N/A  ,N/A  ,0.15m,0.14m,N/A,N/A,0.01m,02nd Dec 08  
Galerians    ,PS,Crave Entertainment  ,Polygon Magic  ,N/A  ,N/A  ,0.15m,0.08m,0.06m,N/A,0.01m,29th Mar 00  
Blazing Dragons    ,PS,Mindscape  ,Illusions Game Company  ,6.6  ,N/A  ,0.15m,0.08m,0.06m,N/A,0.01m,31st Oct 96  
CSI: 3 Dimensions of Murder    ,PS2,Ubisoft  ,Ubisoft Bulgaria  ,N/A  ,N/A  ,0.14m,0.07m,0.06m,N/A,0.02m,25th Sep 07  
Alien: Isolation    ,PC,Sega  ,Creative Assembly  ,N/A  ,N/A  ,0.14m,N/A,0.14m,N/A,0.01m,07th Oct 14  
Sakura Wars GB    ,GB,Media Factory  ,Media Factory  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,0.00m,28th Jul 00  
Okaeri! Chibi-Robo! Happy Richie Oosouji    ,DS,Nintendo  ,skip Ltd.  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,23rd Jul 09  
Hidden Mysteries: Salem Secrets - Witch Trials of 1692    ,DS,GameMill  ,Gunnar Games  ,N/A  ,N/A  ,0.14m,0.09m,0.04m,N/A,0.01m,10th Nov 10  
Deponia    ,PC,Daedalic Entertainment  ,Daedalic Entertainment  ,N/A  ,N/A  ,0.14m,N/A,0.13m,N/A,0.02m,27th Jan 12  
Second Sight    ,PS2,Codemasters  ,Free Radical Design  ,7.9  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,21st Sep 04  
Scarface: The World is Yours    ,Wii,Sierra Entertainment  ,Radical Entertainment  ,N/A  ,N/A  ,0.14m,0.12m,0.01m,N/A,0.01m,12th Jun 07  
Monster House    ,PS2,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,18th Jul 06  
Uta no * Prince-Sama: Repeat    ,PSP,Broccoli  ,Broccoli  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,11th Aug 11  
Dragon Quest Builders 2    ,NS,Square Enix  ,Square Enix  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,12th Jul 19  
Pirates: The Legend of Black Kat    ,PS2,Electronic Arts  ,Westwood Studios  ,N/A  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,17th Feb 02  
Arctic Tale    ,DS,DSI Games  ,Atomic Planet Entertainment  ,N/A  ,N/A  ,0.14m,0.13m,0.00m,N/A,0.01m,08th Oct 07  
Sphinx and the Cursed Mummy    ,GC,THQ  ,Eurocom Entertainment Software  ,8.4  ,N/A  ,0.14m,0.11m,0.03m,N/A,0.00m,10th Nov 03  
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy    ,PS,Sunsoft  ,SunSoft  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,N/A,0.01m,31st Mar 99  
Akiba's Trip    ,PSP,Acquire  ,PROPE  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,19th May 11  
Monster House    ,GC,THQ  ,Artificial Mind and Movement  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,N/A,0.00m,18th Jul 06  
Ecco the Dolphin: Defender of the Future    ,PS2,Acclaim Entertainment  ,Appaloosa Interactive  ,7.8  ,N/A  ,0.14m,0.07m,0.05m,N/A,0.02m,03rd Mar 02  
Detective Barbie: The Mystery Cruise    ,PS,Mattel Interactive  ,Runecraft  ,N/A  ,N/A  ,0.14m,0.08m,0.05m,N/A,0.01m,01st Jan 00  
Desire    ,SAT,Imadio  ,Imadio  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,11th Sep 97  
Enclave    ,XB,Conspiracy Entertainment  ,Starbreeze Studios  ,N/A  ,N/A  ,0.14m,0.11m,0.03m,N/A,0.01m,29th Jul 02  
To Heart    ,PS,Aquaplus  ,Aquaplus  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.13m,0.01m,25th Mar 99  
Doukyuusei    ,PCE,NEC  ,Flight Plan  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,23rd Nov 95  
NCIS    ,X360,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.14m,0.10m,0.02m,N/A,0.01m,01st Nov 11  
Happy Feet    ,Wii,Midway Games  ,Artificial Mind and Movement  ,N/A  ,N/A  ,0.14m,0.12m,0.00m,N/A,0.01m,13th Nov 06  
Tomb Raider: The Prophecy    ,GBA,Ubisoft  ,Ubisoft Milan  ,N/A  ,N/A  ,0.14m,0.10m,0.04m,N/A,0.00m,12th Nov 02  
Gyakuten Saiban 2    ,GBA,Capcom  ,Capcom  ,N/A  ,N/A  ,0.14m,N/A,N/A,0.14m,N/A,18th Oct 02  
Vampire Moon: The Mystery of the Hidden Sun    ,DS,City Interactive  ,City Interactive  ,N/A  ,N/A  ,0.13m,0.12m,0.01m,N/A,0.01m,05th Oct 10  
Suzumiya Haruhi no Tomadoi    ,PS2,Banpresto  ,Banpresto  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,31st Jan 08  
King Arthur    ,PS2,Konami  ,Krome Studios  ,6.7  ,N/A  ,0.13m,0.07m,0.05m,N/A,0.02m,17th Nov 04  
Haunted House    ,Wii,Atari  ,ImaginEngine  ,N/A  ,N/A  ,0.13m,0.12m,0.00m,N/A,0.01m,28th Sep 10  
Syberia    ,DS,The Adventure Company  ,TetraEdge Games  ,N/A  ,N/A  ,0.13m,0.10m,0.02m,N/A,0.01m,25th Nov 08  
The Oregon Trail    ,3DS,Crave Entertainment  ,Gameloft  ,N/A  ,N/A  ,0.13m,0.12m,N/A,N/A,0.01m,09th Dec 11  
Yakuza Kiwami    ,PS3,Sega  ,Sega  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,21st Jan 16  
Alone in the Dark: Inferno    ,PS3,Atari  ,Eden Studios  ,N/A  ,N/A  ,0.13m,0.09m,0.03m,N/A,0.01m,18th Nov 08  
Chicken Run    ,PS,Eidos Interactive  ,Blitz Games  ,6.3  ,N/A  ,0.13m,0.07m,0.05m,N/A,0.01m,15th Nov 00  
NCIS    ,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,0.13m,0.08m,0.04m,N/A,0.01m,01st Nov 11  
Megamind: The Blue Defender    ,PSP,THQ  ,Tantalus Interactive  ,N/A  ,N/A  ,0.13m,0.08m,0.03m,N/A,0.02m,02nd Nov 10  
Aikatsu! 365 Idol Days    ,3DS,Bandai Namco Games  ,Bandai Namco Games  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,04th Dec 14  
Shaman King: Power of Spirit    ,PS2,Konami  ,WinkySoft  ,N/A  ,N/A  ,0.13m,0.06m,0.05m,N/A,0.02m,09th Nov 04  
Amagami    ,PS2,Enterbrain  ,Enterbrain  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,19th Mar 09  
Grand Knights History    ,PSP,Xseed Games  ,Vanillaware  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,31st Dec 12  
Barbie and The Three Musketeers    ,DS,Activision  ,Activision  ,N/A  ,N/A  ,0.13m,0.12m,0.00m,N/A,0.01m,03rd Nov 09  
Star Wars: Lethal Alliance    ,PSP,Ubisoft  ,Ubisoft Montreal  ,6.3  ,N/A  ,0.13m,0.11m,0.01m,N/A,0.01m,07th Dec 06  
Goosebumps: The Game    ,NS,GameMill Entertainment  ,WayForward  ,N/A  ,N/A  ,0.13m,0.09m,0.02m,N/A,0.01m,09th Oct 18  
Corpse Party: Back to School Edition    ,3DS,Xseed Games  ,Xseed Games  ,N/A  ,N/A  ,0.13m,0.11m,N/A,N/A,0.01m,25th Oct 16  
428: Fuusa Sareta Shibuya de    ,Wii,Sega  ,ChunSoft  ,N/A  ,N/A  ,0.13m,N/A,N/A,0.13m,N/A,04th Dec 08  
Warriors of Might and Magic    ,PS,3DO  ,3DO  ,N/A  ,N/A  ,0.13m,0.07m,0.05m,N/A,0.01m,07th Feb 01  
Utawarerumono: Mask of Deception    ,PS4,Atlus  ,Aqua Plus  ,N/A  ,N/A  ,0.13m,0.05m,N/A,0.07m,0.01m,23rd May 17  
Avatar: The Last Airbender - Into the Inferno    ,DS,THQ  ,Halfbrick Studios  ,N/A  ,N/A  ,0.13m,0.11m,0.01m,N/A,0.01m,12th Nov 08  
Zero Escape: Zero Time Dilemma    ,3DS,Aksys Games  ,Chime  ,7.7  ,N/A  ,0.12m,0.08m,N/A,0.03m,0.01m,28th Jun 16  
Clock Tower: The First Fear    ,PS,Human Entertainment  ,Human Entertainment  ,N/A  ,N/A  ,0.12m,N/A,N/A,0.12m,0.01m,17th Jul 97  
Batman: A Telltale Game Series    ,PS3,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,0.12m,0.02m,0.09m,N/A,0.02m,13th Sep 16  
Pryzm Chapter One: The Dark Unicorn    ,PS2,TDK Mediactive  ,Digital Illusions  ,6.3  ,N/A  ,0.12m,0.06m,0.05m,N/A,0.02m,10th Jun 02  
