title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Duck Hunt    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,28.31m,26.93m,0.63m,0.28m,0.47m,15th Oct 85  
Call of Duty: Black Ops 3    ,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15  
Call of Duty: Modern Warfare 3    ,X360,Activision  ,Infinity Ward  ,8.7  ,N/A  ,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  
Call of Duty: Black Ops    ,X360,Activision  ,Treyarch  ,8.8  ,N/A  ,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10  
Call of Duty: Black Ops II    ,X360,Activision  ,Treyarch  ,N/A  ,N/A  ,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12  
Call of Duty: Black Ops II    ,PS3,Activision  ,Treyarch  ,N/A  ,N/A  ,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12  
Call of Duty: Modern Warfare 2    ,X360,Activision  ,Infinity Ward  ,9.5  ,9.0  ,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09  
Call of Duty: WWII    ,PS4,Activision  ,Sledgehammer Games  ,8.0  ,N/A  ,13.40m,4.67m,6.21m,0.40m,2.12m,03rd Nov 17  
Call of Duty: Modern Warfare 3    ,PS3,Activision  ,Infinity Ward  ,8.8  ,N/A  ,13.35m,5.54m,5.78m,0.49m,1.54m,08th Nov 11  
Call of Duty: Black Ops    ,PS3,Activision  ,Treyarch  ,8.7  ,N/A  ,12.67m,6.01m,4.40m,0.48m,1.78m,09th Nov 10  
Halo 3    ,X360,Microsoft Game Studios  ,Bungie Studios  ,9.6  ,9.5  ,12.13m,7.97m,2.81m,0.13m,1.21m,25th Sep 07  
Call of Duty: Modern Warfare 2    ,PS3,Activision  ,Infinity Ward  ,9.5  ,N/A  ,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09  
Call of Duty: Ghosts    ,X360,Activision  ,Infinity Ward  ,6.9  ,N/A  ,10.41m,6.76m,2.64m,0.04m,0.98m,05th Nov 13  
Call of Duty: Ghosts    ,PS3,Activision  ,Infinity Ward  ,7.5  ,N/A  ,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13  
Halo: Reach    ,X360,Microsoft Game Studios  ,Bungie  ,9.3  ,N/A  ,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10  
Halo 4    ,X360,Microsoft Studios  ,343 Industries  ,N/A  ,N/A  ,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12  
Call of Duty 4: Modern Warfare    ,X360,Activision  ,Infinity Ward  ,9.6  ,9.0  ,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07  
Call of Duty: Black Ops IIII    ,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18  
Halo 2    ,XB,Microsoft Game Studios  ,Bungie Studios  ,9.6  ,N/A  ,8.49m,6.82m,1.53m,0.05m,0.08m,09th Nov 04  
Call of Duty: Infinite Warfare    ,PS4,Activision  ,Infinity Ward  ,N/A  ,N/A  ,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16  
GoldenEye 007    ,N64,Nintendo  ,Rare Ltd.  ,9.8  ,N/A  ,8.09m,5.80m,2.01m,0.13m,0.15m,25th Aug 97  
Star Wars Battlefront (2015)    ,PS4,Electronic Arts  ,EA DICE  ,7.1  ,N/A  ,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15  
Call of Duty: Advanced Warfare    ,PS4,Activision  ,Sledgehammer Games  ,8.5  ,N/A  ,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  
Call of Duty: World at War    ,X360,Activision  ,Treyarch  ,8.5  ,7.8  ,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08  
Call of Duty: Black Ops 3    ,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15  
Battlefield 3    ,X360,Electronic Arts  ,Dice  ,8.5  ,N/A  ,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  
Battlefield 1    ,PS4,Electronic Arts  ,EA DICE  ,9.1  ,N/A  ,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16  
Battlefield 3    ,PS3,Electronic Arts  ,Dice  ,8.5  ,N/A  ,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  
Splatoon 2    ,NS,Nintendo  ,Nintendo EPD  ,8.2  ,N/A  ,7.04m,1.90m,1.80m,3.01m,0.34m,21st Jul 17  
Medal of Honor: Frontline    ,PS2,Electronic Arts  ,EA Los Angeles  ,9.0  ,N/A  ,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  
Gears of War 2    ,X360,Microsoft Game Studios  ,Epic Games  ,9.4  ,9.5  ,6.75m,4.15m,1.91m,0.06m,0.64m,07th Nov 08  
Call of Duty 4: Modern Warfare    ,PS3,Activision  ,Infinity Ward  ,9.5  ,9.6  ,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  
Halo: Combat Evolved    ,XB,Microsoft  ,Bungie Studios  ,9.5  ,N/A  ,6.43m,4.98m,1.30m,0.08m,0.07m,14th Nov 01  
Halo 3: ODST    ,X360,Microsoft Game Studios  ,Bungie  ,8.7  ,N/A  ,6.35m,4.34m,1.34m,0.06m,0.61m,22nd Sep 09  
Call of Duty: WWII    ,XOne,Activision  ,Sledgehammer Games  ,N/A  ,N/A  ,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17  
Gears of War 3    ,X360,Microsoft Studios  ,Epic Games  ,9.1  ,N/A  ,6.22m,4.05m,1.59m,0.07m,0.50m,20th Sep 11  
Gears of War    ,X360,Microsoft Game Studios  ,Epic Games  ,9.4  ,9.4  ,6.09m,3.54m,1.88m,0.07m,0.60m,07th Nov 06  
Destiny    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,5.76m,2.53m,2.13m,0.16m,0.94m,09th Sep 14  
Call of Duty: World at War    ,PS3,Activision  ,Treyarch  ,8.4  ,N/A  ,5.43m,2.75m,1.84m,N/A,0.84m,10th Nov 08  
Call of Duty: Advanced Warfare    ,XOne,Activision  ,Sledgehammer Games  ,8.3  ,N/A  ,5.22m,3.25m,1.49m,0.01m,0.48m,04th Nov 14  
Medal of Honor: Rising Sun    ,PS2,Electronic Arts  ,EA Los Angeles  ,5.9  ,N/A  ,5.13m,1.98m,2.23m,0.13m,0.80m,11th Nov 03  
Battlefield 1    ,XOne,Electronic Arts  ,EA DICE  ,9.3  ,N/A  ,5.13m,3.37m,1.26m,0.02m,0.48m,21st Oct 16  
Link's Crossbow Training    ,Wii,Nintendo  ,Nintendo EAD  ,6.9  ,N/A  ,4.98m,3.05m,1.17m,0.29m,0.46m,19th Nov 07  
Halo 5: Guardians    ,XOne,Microsoft Studios  ,343 Industries  ,8.6  ,N/A  ,4.92m,2.94m,1.49m,0.03m,0.45m,27th Oct 15  
Call of Duty: Black Ops IIII    ,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,4.85m,3.27m,1.12m,N/A,0.46m,12th Oct 18  
Call of Duty: Infinite Warfare    ,XOne,Activision  ,Infinity Ward  ,N/A  ,N/A  ,4.79m,2.91m,1.44m,N/A,0.44m,04th Nov 16  
Splatoon    ,WiiU,Nintendo  ,Nintendo EAD  ,8.4  ,N/A  ,4.71m,1.58m,1.30m,1.56m,0.27m,29th May 15  
Overwatch    ,PS4,Blizzard Entertainment  ,Blizzard Entertainment  ,8.8  ,N/A  ,4.54m,1.84m,1.80m,0.17m,0.73m,24th May 16  
Star Wars Battlefront II (2017)    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,4.53m,1.70m,1.99m,0.12m,0.73m,17th Nov 17  
Tom Clancy's The Division    ,PS4,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,4.37m,1.49m,2.04m,0.16m,0.69m,08th Mar 16  
Resistance: Fall of Man    ,PS3,Sony Computer Entertainment  ,Insomniac Games  ,8.5  ,9.1  ,4.37m,1.74m,1.72m,0.14m,0.76m,14th Nov 06  
Tom Clancy's Rainbow Six: Siege    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,4.36m,1.29m,2.06m,0.36m,0.64m,01st Dec 15  
Call of Duty: Advanced Warfare    ,X360,Activision  ,High Moon Studios  ,9.1  ,N/A  ,4.34m,2.81m,1.13m,0.00m,0.41m,04th Nov 14  
Asteroids    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,4.31m,4.00m,0.26m,N/A,0.05m,01st Jan 81  
Call of Duty: Advanced Warfare    ,PS3,Activision  ,High Moon Studios  ,9.1  ,N/A  ,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14  
Call of Duty: Ghosts    ,PS4,Activision  ,Infinity Ward  ,7.5  ,N/A  ,4.17m,1.79m,1.64m,0.05m,0.69m,15th Nov 13  
Star Wars Battlefront (2015)    ,XOne,Electronic Arts  ,EA DICE  ,6.9  ,N/A  ,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15  
Destiny 2    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,4.14m,1.92m,1.44m,0.10m,0.69m,06th Sep 17  
Half-Life    ,PC,Sierra Entertainment  ,Valve Software  ,9.5  ,N/A  ,4.12m,4.03m,0.00m,0.09m,N/A,19th Nov 98  
Far Cry 4    ,PS4,Ubisoft  ,Ubisoft Montreal  ,8.4  ,N/A  ,4.06m,1.18m,2.14m,0.11m,0.63m,18th Nov 14  
Star Fox 64    ,N64,Nintendo  ,Nintendo EAD  ,9.0  ,N/A  ,4.03m,2.78m,0.58m,0.64m,0.04m,01st Jul 97  
Left 4 Dead 2    ,X360,Electronic Arts  ,Certain Affinity / Valve Software  ,9.0  ,N/A  ,3.97m,2.67m,0.88m,0.05m,0.38m,17th Nov 09  
Battlefield 4    ,PS4,Electronic Arts  ,EA DICE  ,8.3  ,N/A  ,3.94m,1.40m,1.74m,0.19m,0.62m,15th Nov 13  
SOCOM: U.S. Navy SEALs    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,8.0  ,N/A  ,3.65m,2.53m,0.81m,0.06m,0.24m,27th Aug 02  
Battlefield 4    ,PS3,Electronic Arts  ,EA DICE  ,8.7  ,N/A  ,3.64m,1.31m,1.50m,0.27m,0.55m,29th Oct 13  
Gears of War: Ultimate Edition    ,XOne,Microsoft Studios  ,The Coalition  ,N/A  ,N/A  ,3.62m,2.88m,0.37m,N/A,0.37m,25th Aug 15  
Star Wars Battlefront    ,PS2,LucasArts  ,Pandemic Studios  ,8.1  ,N/A  ,3.61m,1.93m,1.22m,0.03m,0.44m,20th Sep 04  
Doom II    ,PC,GT Interactive  ,id Software  ,9.3  ,N/A  ,3.61m,2.05m,1.40m,N/A,0.16m,30th Sep 94  
Star Wars Battlefront II    ,PS2,LucasArts  ,Pandemic Studios  ,8.5  ,N/A  ,3.59m,2.18m,1.02m,0.03m,0.37m,01st Nov 05  
Battlefield 4    ,X360,Electronic Arts  ,EA DICE  ,8.7  ,N/A  ,3.54m,2.16m,1.05m,0.02m,0.32m,29th Oct 13  
James Bond 007: Agent Under Fire    ,PS2,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,3.53m,1.90m,1.13m,0.10m,0.41m,13th Nov 01  
Left 4 Dead    ,X360,Valve Corporation  ,Certain Affinity / Valve Software  ,8.7  ,9.0  ,3.52m,2.66m,0.49m,0.05m,0.31m,18th Oct 08  
Battlefield: Bad Company 2    ,X360,Electronic Arts  ,EA Digital Illusions CE  ,9.0  ,9.3  ,3.48m,2.11m,1.01m,0.04m,0.33m,02nd Mar 10  
Borderlands    ,X360,2K Games  ,Gearbox Software  ,8.3  ,N/A  ,3.48m,2.43m,0.72m,0.03m,0.30m,20th Oct 09  
Halo: The Master Chief Collection    ,XOne,Microsoft Studios  ,343 Industries  ,N/A  ,N/A  ,3.44m,2.06m,1.04m,0.03m,0.31m,11th Nov 14  
Destiny    ,XOne,Activision  ,Bungie  ,8.3  ,N/A  ,3.41m,2.17m,0.92m,N/A,0.32m,09th Sep 14  
Gears of War 4    ,XOne,Microsoft Studios  ,The Coalition  ,N/A  ,N/A  ,3.38m,2.17m,0.90m,N/A,0.32m,11th Oct 16  
James Bond 007: Nightfire    ,PS2,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,N/A  ,3.33m,1.45m,1.29m,0.12m,0.46m,18th Nov 02  
Max Payne    ,PS2,Rockstar Games  ,Remedy Entertainment  ,8.1  ,N/A  ,3.31m,1.99m,1.05m,0.05m,0.22m,06th Dec 01  
Far Cry 3    ,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,3.27m,0.88m,1.79m,0.10m,0.50m,04th Dec 12  
007: Tomorrow Never Dies    ,PS,Electronic Arts  ,Black Ops Entertainment  ,6.2  ,N/A  ,3.21m,1.72m,1.33m,N/A,0.16m,16th Nov 99  
Tom Clancy's Ghost Recon Wildlands    ,PS4,Ubisoft  ,Ubisoft Paris  ,7.0  ,N/A  ,3.12m,1.07m,1.35m,0.22m,0.47m,07th Mar 17  
Titanfall    ,XOne,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,3.11m,1.88m,0.91m,0.04m,0.28m,11th Mar 14  
Call of Duty: Ghosts    ,XOne,Activision  ,Infinity Ward  ,7.5  ,N/A  ,3.07m,1.92m,0.86m,N/A,0.28m,22nd Nov 13  
Borderlands 2    ,X360,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,3.06m,1.89m,0.88m,0.04m,0.26m,15th Jan 13  
Killzone: Shadow Fall    ,PS4,Sony Computer Entertainment  ,Guerrilla Games  ,9.0  ,N/A  ,3.02m,0.89m,1.58m,0.08m,0.47m,15th Nov 13  
Killzone 2    ,PS3,Sony Computer Entertainment  ,Guerrilla Games  ,9.1  ,9.3  ,3.02m,1.40m,1.07m,0.08m,0.46m,27th Feb 09  
Star Fox    ,SNES,Nintendo  ,Argonaut Games  ,N/A  ,N/A  ,2.99m,1.61m,0.51m,0.80m,0.07m,01st Mar 93  
Far Cry 3    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,2.98m,1.38m,1.33m,0.02m,0.25m,04th Dec 12  
Battlefield: Bad Company 2    ,PS3,Electronic Arts  ,EA Digital Illusions CE  ,8.9  ,8.8  ,2.96m,1.33m,1.11m,0.08m,0.44m,02nd Mar 10  
SOCOM II: U.S. Navy SEALs    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,N/A  ,N/A  ,2.94m,2.22m,0.51m,0.06m,0.15m,04th Nov 03  
Doom (2016)    ,PS4,Bethesda Softworks  ,id Software  ,N/A  ,N/A  ,2.92m,0.93m,1.48m,0.04m,0.46m,13th May 16  
Call of Duty: Finest Hour    ,PS2,Activision  ,Spark Unlimited  ,N/A  ,N/A  ,2.89m,1.51m,1.12m,0.01m,0.24m,16th Nov 04  
Syphon Filter    ,PS,989 Studios  ,Eidetic  ,9.2  ,N/A  ,2.88m,2.03m,0.72m,0.02m,0.11m,31st Jan 99  
BioShock    ,X360,2K Games  ,2K Australia / 2K Boston  ,9.6  ,9.5  ,2.83m,1.65m,0.85m,0.05m,0.28m,21st Aug 07  
Metroid Prime    ,GC,Nintendo  ,Retro Studios  ,9.6  ,9.5  ,2.82m,1.96m,0.67m,0.10m,0.09m,17th Nov 02  
Medal of Honor    ,PS3,Electronic Arts  ,EA Los Angeles  ,7.0  ,N/A  ,2.82m,1.28m,1.04m,0.07m,0.43m,12th Oct 10  
Killzone 3    ,PS3,Sony Computer Entertainment  ,Guerrilla Games  ,8.2  ,N/A  ,2.81m,1.46m,0.87m,0.09m,0.38m,22nd Feb 11  
Missile Command    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,2.76m,2.56m,0.17m,N/A,0.03m,01st Jan 81  
Battlefield 3    ,PC,Electronic Arts  ,Dice  ,8.9  ,N/A  ,2.76m,0.89m,1.44m,N/A,0.43m,25th Oct 11  
Overwatch    ,XOne,Blizzard Entertainment  ,Blizzard Entertainment  ,8.7  ,N/A  ,2.72m,1.63m,0.84m,N/A,0.25m,24th May 16  
Tom Clancy's Rainbow Six: Siege    ,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,2.71m,1.62m,0.84m,N/A,0.25m,01st Dec 15  
Call of Duty 3    ,X360,Activision  ,Treyarch  ,8.0  ,8.4  ,2.70m,1.49m,0.92m,0.02m,0.27m,07th Nov 06  
Call of Duty 2: Big Red One    ,PS2,Activision  ,Treyarch  ,8.5  ,N/A  ,2.67m,1.48m,0.92m,0.01m,0.26m,01st Nov 05  
Medal of Honor    ,PS,Electronic Arts  ,DreamWorks Interactive  ,9.3  ,N/A  ,2.67m,1.44m,1.09m,N/A,0.14m,11th Nov 99  
Medal of Honor Heroes    ,PSP,Electronic Arts  ,Team Fusion  ,6.7  ,N/A  ,2.66m,0.86m,1.11m,0.01m,0.67m,20th Oct 06  
Medal of Honor    ,X360,Electronic Arts  ,EA Los Angeles  ,7.3  ,N/A  ,2.64m,1.58m,0.80m,0.04m,0.22m,12th Oct 10  
Tom Clancy's The Division    ,XOne,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,2.59m,1.54m,0.82m,N/A,0.24m,08th Mar 16  
Space Invaders    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,2.53m,2.36m,0.14m,N/A,0.03m,01st Jan 78  
Perfect Dark    ,N64,Rare  ,Rare Ltd.  ,9.7  ,N/A  ,2.52m,1.55m,0.75m,0.16m,0.06m,22nd May 00  
Resistance 2    ,PS3,Sony Computer Entertainment  ,Insomniac Games  ,8.5  ,8.7  ,2.47m,1.15m,0.84m,0.10m,0.38m,04th Nov 08  
Tom Clancy's Rainbow Six: Vegas 2    ,X360,Ubisoft  ,Ubisoft Montreal  ,8.2  ,N/A  ,2.42m,1.56m,0.61m,0.02m,0.23m,18th Mar 08  
Halo: Combat Evolved Anniversary    ,X360,Microsoft Studios  ,343 Industries  ,8.0  ,N/A  ,2.41m,1.44m,0.71m,0.04m,0.22m,15th Nov 11  
Half-Life 2    ,PC,VU Games  ,Valve Software  ,9.7  ,N/A  ,2.37m,2.28m,0.02m,0.08m,N/A,16th Nov 04  
Destiny 2    ,XOne,Activision  ,Bungie  ,N/A  ,N/A  ,2.35m,1.66m,0.47m,N/A,0.23m,06th Sep 17  
James Bond 007: Everything or Nothing    ,PS2,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,2.31m,0.85m,1.06m,0.09m,0.32m,17th Feb 04  
Star Wars Battlefront II (US sales)    ,PS2,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,2.27m,2.18m,0.07m,N/A,0.02m,01st Nov 05  
Borderlands 2    ,PS3,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,2.27m,1.06m,0.75m,0.10m,0.36m,18th Sep 12  
Call of Duty 3    ,Wii,Activision  ,EXAKT Entertainment  ,6.8  ,7.3  ,2.24m,1.17m,0.84m,N/A,0.23m,14th Nov 06  
Battlefield V    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,2.22m,0.80m,0.93m,0.16m,0.34m,20th Nov 18  
BioShock 2    ,X360,2K Games  ,2K Marin  ,8.6  ,N/A  ,2.20m,1.45m,0.54m,0.02m,0.20m,09th Feb 10  
Destiny: The Taken King    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,2.18m,0.97m,0.80m,0.05m,0.36m,15th Sep 15  
PlayerUnknown's Battlegrounds    ,XOne,Microsoft Studios  ,PUBG Corporation  ,N/A  ,N/A  ,2.17m,1.29m,0.69m,N/A,0.20m,12th Dec 17  
Syphon Filter 2    ,PS,989 Studios  ,Eidetic  ,N/A  ,N/A  ,2.15m,1.50m,0.55m,0.02m,0.08m,29th Feb 00  
Battlefield: Hardline    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,2.15m,0.72m,0.97m,0.14m,0.33m,17th Mar 15  
Call of Duty: Roads to Victory    ,PSP,Activision  ,Amaze Entertainment  ,6.1  ,N/A  ,2.14m,0.52m,1.03m,N/A,0.59m,13th Mar 07  
Demon Attack    ,2600,Imagic  ,Imagic  ,N/A  ,N/A  ,2.13m,1.99m,0.12m,N/A,0.02m,01st Jan 82  
Borderlands    ,PS3,2K Games  ,Gearbox Software  ,8.2  ,N/A  ,2.12m,1.22m,0.61m,N/A,0.29m,20th Oct 09  
Battlefield 4    ,XOne,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,2.09m,1.26m,0.65m,N/A,0.19m,22nd Nov 13  
Portal 2    ,X360,Valve  ,Valve Software  ,9.6  ,N/A  ,2.08m,1.41m,0.49m,0.01m,0.17m,19th Apr 11  
Spec Ops: Airborne Commando    ,PS,Gotham Games  ,Big Grub  ,N/A  ,N/A  ,2.07m,1.54m,0.46m,N/A,0.08m,31st Oct 02  
Call of Duty 2    ,X360,Activision  ,Infinity Ward  ,8.8  ,9.1  ,2.06m,1.84m,0.04m,0.01m,0.16m,17th Nov 05  
SOCOM: U.S. Navy SEALs: Combined Assault    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,N/A  ,N/A  ,2.04m,1.74m,0.02m,N/A,0.28m,07th Nov 06  
Call of Duty: Black Ops 3    ,X360,Activision  ,Treyarch  ,N/A  ,N/A  ,2.01m,1.36m,0.47m,N/A,0.19m,06th Nov 15  
Dead Space    ,PS3,Electronic Arts  ,EA Redwood Shores  ,8.9  ,N/A  ,2.00m,1.05m,0.66m,N/A,0.29m,13th Oct 08  
BioShock Infinite    ,X360,2K Games  ,Irrational Games  ,N/A  ,N/A  ,1.97m,1.22m,0.55m,0.02m,0.18m,26th Mar 13  
Tom Clancy's Rainbow Six: Vegas    ,X360,Ubisoft  ,Ubisoft Montreal  ,8.8  ,N/A  ,1.95m,1.09m,0.65m,0.02m,0.20m,20th Nov 06  
Star Wars: Dark Forces    ,PC,LucasArts  ,LucasArts  ,N/A  ,N/A  ,1.95m,1.09m,0.77m,N/A,0.09m,28th Feb 95  
Call of Duty: Black Ops 3    ,PS3,Activision  ,Treyarch  ,N/A  ,N/A  ,1.95m,0.65m,0.92m,0.07m,0.30m,06th Nov 15  
Call of Duty: World at War    ,Wii,Activision  ,EXAKT Entertainment  ,8.1  ,8.9  ,1.94m,1.17m,0.58m,N/A,0.18m,10th Nov 08  
Tom Clancy's Ghost Recon    ,PS2,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,1.94m,1.42m,0.40m,N/A,0.12m,11th Nov 02  
Red Faction    ,PS2,THQ  ,Volition Inc.  ,9.1  ,N/A  ,1.92m,0.76m,0.96m,N/A,0.20m,21st May 01  
Star Wars Battlefront II (2017)    ,XOne,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,1.92m,1.15m,0.59m,N/A,0.17m,17th Nov 17  
Medal of Honor: European Assault (All Region sales)    ,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,1.88m,0.89m,0.69m,0.09m,0.21m,07th Jun 05  
Turok 2: Seeds of Evil    ,N64,Acclaim Entertainment  ,Iguana Entertainment  ,9.0  ,N/A  ,1.86m,1.37m,0.41m,0.04m,0.04m,21st Oct 98  
Max Payne 3    ,PS3,Rockstar Games  ,Rockstar Vancouver  ,N/A  ,N/A  ,1.86m,0.59m,0.93m,0.06m,0.27m,15th May 12  
BioShock Infinite    ,PS3,2K Games  ,Irrational Games  ,9.5  ,N/A  ,1.82m,0.74m,0.74m,0.04m,0.30m,26th Mar 13  
The Orange Box    ,X360,Electronic Arts  ,Valve Software  ,9.7  ,N/A  ,1.82m,1.09m,0.53m,0.02m,0.17m,10th Oct 07  
Metroid Prime 3: Corruption    ,Wii,Nintendo  ,Retro Studios  ,9.0  ,9.4  ,1.79m,0.89m,0.74m,0.07m,0.09m,27th Aug 07  
Tom Clancy's Ghost Recon    ,XB,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,1.76m,1.23m,0.46m,N/A,0.07m,11th Nov 02  
Star Wars Battlefront    ,XB,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,1.75m,1.24m,0.45m,N/A,0.07m,20th Sep 04  
Crackdown    ,X360,Microsoft Game Studios  ,Realtime Worlds  ,8.4  ,7.0  ,1.75m,1.00m,0.53m,0.03m,0.18m,20th Feb 07  
Dishonored    ,X360,Bethesda Softworks  ,Arkane Studios  ,N/A  ,N/A  ,1.72m,1.06m,0.50m,0.01m,0.15m,16th Apr 13  
Call of Duty: World at War Final Fronts    ,PS2,Activision  ,Rebellion Developments  ,6.8  ,N/A  ,1.72m,0.61m,0.18m,N/A,0.94m,10th Nov 08  
Titanfall 2    ,PS4,Electronic Arts  ,Respawn Entertainment  ,8.9  ,N/A  ,1.72m,0.75m,0.62m,0.06m,0.28m,28th Oct 16  
Call of Duty: Modern Warfare 3    ,PC,Activision  ,Infinity Ward  ,8.0  ,N/A  ,1.71m,0.41m,0.99m,N/A,0.31m,08th Nov 11  
Call of Duty Black Ops: Declassified    ,PSV,Activision  ,Nihilistic  ,N/A  ,N/A  ,1.71m,0.74m,0.52m,0.07m,0.38m,13th Nov 12  
Portal 2    ,PS3,Valve  ,Valve Software  ,9.6  ,N/A  ,1.71m,0.83m,0.62m,0.02m,0.24m,19th Apr 11  
SOCOM 3: U.S. Navy SEALs    ,PS2,Sony Computer Entertainment  ,Zipper Interactive  ,N/A  ,N/A  ,1.69m,1.22m,0.34m,0.04m,0.10m,11th Oct 05  
Far Cry 4    ,XOne,Ubisoft  ,Ubisoft Montreal  ,8.5  ,N/A  ,1.68m,0.85m,0.68m,0.02m,0.14m,18th Nov 14  
Star Wars Battlefront: Renegade Squadron    ,PSP,LucasArts  ,Rebellion Developments  ,7.5  ,N/A  ,1.68m,0.90m,0.47m,N/A,0.32m,09th Oct 07  
Time Crisis    ,PS,Namco  ,Namco  ,8.5  ,N/A  ,1.68m,0.38m,0.87m,0.33m,0.10m,31st Oct 97  
Star Wars Battlefront II    ,XB,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,1.67m,1.22m,0.39m,N/A,0.06m,01st Nov 05  
Destiny    ,PS3,Activision  ,Bungie  ,N/A  ,N/A  ,1.67m,0.69m,0.59m,0.13m,0.26m,09th Sep 14  
Super Scope 6    ,SNES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,1.65m,1.06m,0.38m,0.15m,0.05m,01st Jan 92  
Army of Two    ,X360,Electronic Arts  ,EA Montreal  ,6.7  ,N/A  ,1.64m,1.09m,0.37m,0.02m,0.16m,07th Mar 08  
Tom Clancy's Rainbow Six    ,PS,Red Storm Entertainment  ,Rebellion Developments  ,N/A  ,N/A  ,1.64m,0.93m,0.63m,N/A,0.08m,23rd Nov 99  
Max Payne 3    ,X360,Rockstar Games  ,Rockstar Vancouver  ,N/A  ,N/A  ,1.63m,0.86m,0.62m,0.01m,0.13m,15th May 12  
Call of Duty: Black Ops    ,PC,Activision  ,Treyarch  ,8.5  ,N/A  ,1.62m,0.58m,0.82m,N/A,0.23m,09th Nov 10  
The Order: 1886    ,PS4,Sony Computer Entertainment  ,Ready at Dawn  ,6.2  ,N/A  ,1.62m,0.44m,0.86m,0.07m,0.25m,20th Feb 15  
Tom Clancy's Ghost Recon Wildlands    ,XOne,Ubisoft  ,Ubisoft Paris  ,7.7  ,N/A  ,1.61m,0.98m,0.48m,N/A,0.15m,07th Mar 17  
