title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Trigger Man    ,GC,Crave Entertainment  ,Point of View  ,2.0  ,N/A  ,0.02m,0.01m,0.00m,N/A,0.00m,05th Oct 04  
Triggerheart Exelica    ,DC,Warashi  ,Warashi Inc.  ,N/A  ,N/A  ,0.02m,N/A,N/A,0.02m,N/A,22nd Feb 07  
Enemy Territory: Quake Wars    ,PC,Activision  ,Splash Damage  ,N/A  ,N/A  ,0.02m,0.01m,0.00m,N/A,0.00m,02nd Oct 07  
Gears of War    ,PC,Microsoft Game Studios  ,Epic Games  ,8.8  ,N/A  ,0.02m,0.00m,0.01m,N/A,0.00m,06th Nov 07  
Sniper Elite    ,PC,Namco  ,Rebellion Developments  ,7.4  ,N/A  ,0.02m,N/A,0.01m,N/A,0.00m,27th Oct 05  
Space Invaders Revolution    ,DS,Mastiff  ,Taito Corporation  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,20th Sep 05  
Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales)    ,X360,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,09th Mar 06  
WinBack 2: Project Poseidon    ,PS2,KOEI  ,Cavia Inc.  ,N/A  ,N/A  ,0.01m,0.01m,0.01m,N/A,0.00m,25th Apr 06  
Turok    ,PC,Touchstone  ,Propaganda Games  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,22nd Apr 08  
Tempest 4000    ,XOne,Atari  ,Llamasoft  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,27th Jul 18  
Call of Juarez    ,PC,Ubisoft  ,Techland  ,6.7  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,12th Jun 07  
DoDonPachi Saidaioujou    ,X360,Cave  ,Cave  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,30th May 13  
theHunter: Call of the Wild    ,PC,Maximum Games  ,Expansive Worlds  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,07th Mar 17  
Serious Sam II    ,PC,2K Games  ,Croteam  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,19th Oct 05  
Unreal Tournament 2003    ,PC,Atari  ,Digital Extremes  ,9.0  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,30th Sep 02  
Vanark    ,PS,Jaleco  ,Jaleco  ,N/A  ,N/A  ,0.01m,0.01m,0.01m,N/A,0.00m,31st Mar 00  
Big Buck Hunter Arcade    ,NS,GameMill Entertainment  ,Play Mechanix  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,16th Oct 18  
Metal Slug Anthology    ,PS2,SNK Playmore  ,Terminal Reality  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,28th Mar 07  
Caladrius    ,X360,Moss  ,Moss  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,25th Apr 13  
Resistance Dual Pack    ,PS3,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,05th Jul 11  
Brothers in Arms: Furious 4    ,X360,Ubisoft  ,Gearbox Software  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,N/A,30th Sep 12  
Tempest 4000    ,PS4,Atari  ,Llamasoft  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,27th Jul 18  
F.E.A.R. Perseus Mandate    ,PC,Sierra Entertainment  ,TimeGate  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,06th Nov 07  
Mamoru-kun wa Norowarete Shimatta!    ,X360,G.Rev  ,Gulti  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,25th Jun 09  
CT Special Forces 2: Back in the Trenches    ,GBA,Hip Interactive  ,LSP  ,7.4  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,29th Jun 04  
Deus Ex    ,PC,Eidos Interactive  ,Ion Storm  ,9.2  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,26th Jun 00  
Inversion    ,PC,Namco Bandai  ,Saber Interactive  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,30th Jun 12  
TimeShift    ,PC,Sierra Entertainment  ,Saber Interactive  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,30th Oct 07  
Conflict: Denied Ops    ,PC,Eidos Interactive  ,Pivotal Games  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,12th Feb 08  
Army Men: Air Combat - The Elite Missions    ,GC,3DO  ,3DO  ,3.8  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,25th Mar 03  
Greg Hastings' Tournament Paintball Max'd    ,PS2,Activision  ,WXP  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,26th Sep 06  
Mothergunship    ,XOne,Sold Out  ,Grip Games  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,24th Aug 18  
The Chronicles of Riddick: Assault on Dark Athena    ,PC,Atari  ,Starbreeze Studios AB  ,8.0  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,07th Apr 09  
Borderlands: Game of the Year Edition    ,PS3,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,12th Oct 10  
Command & Conquer Renegade    ,PC,Electronic Arts  ,Westwood Studios  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,25th Feb 02  
Bullet Soul    ,X360,5pb  ,Tachyon Inc.  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,16th Sep 16  
Mothergunship    ,PS4,Sold Out  ,Grip Games  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,24th Aug 18  
DoDonPachi Daifukkatsu: Black Label    ,X360,Cave  ,Cave  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,03rd Feb 11  
Space Raiders    ,GC,Mastiff  ,Taito Corporation  ,2.9  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,19th Apr 04  
Clive Barker's Jericho    ,PC,Codemasters  ,Mercury Steam / Alchemic Productions  ,6.4  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,23rd Oct 07  
Gungrave VR    ,PS4,Xseed Games  ,IGGYMOB  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,11th Dec 18  
Breach    ,PC,Destineer  ,Atomic Games  ,6.5  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,26th Jan 11  
Ziggurat    ,PS4,Soedesco  ,Milkstone Studios  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,21st Jun 16  
Men in Black II: Alien Escape    ,GC,Infogrames  ,Melbourne House  ,N/A  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,07th Feb 03  
Pirate Blast    ,Wii,Zoo Games  ,TBA  ,N/A  ,N/A  ,0.01m,0.01m,N/A,N/A,0.00m,15th Feb 11  
Wanted: Weapons of Fate    ,PC,Warner Bros. Interactive  ,GRIN  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,24th Mar 09  
Damnation    ,PC,Codemasters  ,Blue Omega Entertainment  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,26th May 09  
Necrovision    ,PC,1C Company  ,Farm 51  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,18th May 09  
Eschatos    ,X360,Qute  ,Qute Corporation  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,07th Apr 11  
Gun    ,PC,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,09th Nov 05  
Armored Core: Verdict Day    ,X360,Bandai Namco Games  ,From Software  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,24th Sep 13  
"Shooting Love, 200X    ",X360,Triangle Service  ,Triangle Service  ,N/A  ,N/A  ,0.01m,N/A,N/A,0.01m,N/A,19th Feb 09  
BlowOut    ,GC,Majesco  ,Terminal Reality  ,6.5  ,N/A  ,0.01m,0.01m,0.00m,N/A,0.00m,26th Nov 03  
Sniper Elite III    ,PC,Rebellion Developments  ,Rebellion Developments  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,27th Jun 14  
Tom Clancy's Ghost Recon Advanced Warfighter 2    ,PC,Ubisoft  ,GRIN  ,N/A  ,N/A  ,0.01m,N/A,0.01m,N/A,0.00m,17th Jul 07  
