title,publisher,developer,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Trade & Battle: Card Hero,NA,NA,GB,0.20,NA,NA,0.20,0.00
Code of Princess,NA,NA,3DS,0.20,0.16,NA,0.03,0.02
Mobile Suit Gundam: Crossfire,NA,NA,PlayStation 3,0.20,0.06,0.00,0.14,0.01
Godzilla (2015),NA,NA,PlayStation 4,0.20,0.11,0.03,0.03,0.03
SD Gundam GNext,NA,NA,SNES,0.20,NA,NA,0.20,NA
Sloane to MacHale no Nazo no Monogatari,NA,NA,DS,0.20,NA,NA,0.20,NA
Sengoku Basara 2 Heroes,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Suikoden Tactics,NA,NA,PlayStation 2,0.20,0.06,0.05,0.07,0.02
Phantasy Star Online,NA,NA,Dreamcast,0.20,NA,NA,0.20,NA
Crazy Taxi 3: High Roller,NA,NA,Xbox,0.20,0.14,0.04,0.02,0.01
International Superstar Soccer 2000,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Kung Fu Rider,NA,NA,PlayStation 3,0.20,0.06,0.10,0.01,0.04
Drift King Shutokou Battle '94,NA,NA,SNES,0.20,NA,NA,0.20,NA
Shining Blade,NA,NA,PSP,0.20,NA,NA,0.20,NA
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Langrisser III,NA,NA,SAT,0.20,NA,NA,0.20,NA
Samurai Spirits (CD),NA,NA,NG,0.20,NA,NA,0.20,0.00
From TV Animation One Piece: Grand Battle! 3,NA,NA,GameCube,0.20,NA,NA,0.20,0.01
Le Mans 24 Hours,NA,NA,PlayStation 2,0.20,0.09,0.07,0.02,0.02
All Star Pro-Wrestling,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Dark Messiah of Might and Magic Elements,NA,NA,Xbox 360,0.20,0.16,0.02,0.01,0.02
WRC: FIA World Rally Championship,NA,NA,PlayStation 3,0.20,0.00,0.14,0.01,0.04
Infinite Space,NA,NA,DS,0.20,0.06,0.05,0.07,0.01
DanceMasters,NA,NA,Xbox 360,0.20,0.15,0.02,0.02,0.01
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,NA,NA,SAT,0.20,NA,NA,0.20,NA
Black Panther 2: Yakuza Ashura Chapter,NA,NA,PSP,0.20,NA,NA,0.20,NA
7th Dragon 2020,NA,NA,PSP,0.20,NA,NA,0.20,NA
Dragon Ball: Revenge of King Piccolo,NA,NA,Wii,0.20,0.12,0.03,0.03,0.02
Taiko no Tatsujin: Waku Waku Anime Matsuri,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Ogre Battle Saga Episode Five: The March of the Black Queen,NA,NA,PlayStation,0.20,0.06,0.04,0.09,0.01
Sniper: Ghost Warrior 2,NA,NA,Xbox 360,0.20,0.06,0.12,0.00,0.01
3rd Super Robot Wars Z: Tengoku-Hen,NA,NA,PlayStation Vita,0.20,NA,NA,0.20,NA
The Legend of Heroes: Ao no Kiseki,NA,NA,PSP,0.20,NA,NA,0.20,NA
Warriors Orochi,NA,NA,PSP,0.20,0.02,0.00,0.18,0.00
Earth Defense Force: Insect Armageddon,NA,NA,PlayStation 3,0.20,0.06,0.04,0.08,0.02
Famista 64,NA,NA,Nintendo 64,0.20,NA,NA,0.17,0.03
Magical Tetris Challenge,NA,NA,Nintendo 64,0.20,0.13,0.02,0.05,0.00
Super Robot Taisen 64,NA,NA,Nintendo 64,0.20,NA,NA,0.20,0.00
Shining Hearts,NA,NA,PSP,0.20,NA,NA,0.20,NA
Front Mission Evolved,NA,NA,Xbox 360,0.20,0.10,0.07,0.02,0.02
Jissen Pachi-Slot Hisshouhou! Aladdin A,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Nobunaga no Yabou: Reppuuden,NA,NA,PlayStation,0.20,NA,NA,0.19,0.01
Treasure Hunter G,NA,NA,SNES,0.20,NA,NA,0.20,NA
Wing Arms,NA,NA,SAT,0.20,NA,NA,0.20,NA
Pro Yakyuu Spirits 2013,NA,NA,PlayStation 3,0.20,NA,NA,0.20,NA
Record of Agarest War,NA,NA,Xbox 360,0.20,0.18,NA,0.01,0.01
Ridge Racer 6,NA,NA,Xbox 360,0.20,0.10,0.02,0.07,0.01
Grandia II,NA,NA,Dreamcast,0.20,NA,NA,0.20,0.00
Namco Museum Vol.4,NA,NA,PlayStation,0.20,0.02,0.01,0.16,0.01
Classic NES Series: Ice Climber,NA,NA,Game Boy Advance,0.20,NA,NA,0.20,NA
Atelier Shallie: Alchemists of the Dusk Sea,NA,NA,PlayStation 3,0.20,0.07,0.03,0.08,0.02
God Eater Resurrection,NA,NA,PlayStation Vita,0.20,NA,NA,0.20,NA
Pro Yakyuu Spirits 2013,NA,NA,PSP,0.20,NA,NA,0.20,NA
Untold Legends: Dark Kingdom,NA,NA,PlayStation 3,0.20,0.14,0.02,0.02,0.02
Dante's Inferno,NA,NA,PSP,0.20,0.12,0.04,0.01,0.02
Arcana Heart 3,NA,NA,PlayStation 3,0.20,0.04,0.05,0.10,0.02
Pro Yakyuu Spirits 2012,NA,NA,PSP,0.20,NA,NA,0.20,NA
Taiko no Tatsujin: Go! Go! Godaime,NA,NA,PlayStation 2,0.20,NA,NA,0.20,NA
Bleach: The 3rd Phantom,NA,NA,DS,0.20,0.10,0.02,0.07,0.01
Solatorobo: Red the Hunter,NA,NA,DS,0.20,0.08,0.04,0.07,0.01
Super Baseball Simulator 1.000,NA,NA,SNES,0.20,NA,NA,0.20,0.00
Jikkyou Powerful Pro Yakyuu 2010,NA,NA,PSP,0.20,NA,NA,0.20,NA
Ore no Shikabane o Koete Yuke,NA,NA,PSP,0.20,NA,NA,0.20,NA
Shaman King: Spirit of Shamans,NA,NA,PlayStation,0.20,NA,NA,0.18,0.01
Armored Core 4,NA,NA,PlayStation 3,0.20,0.09,0.00,0.09,0.01
Shin Megami Tensei: Strange Journey Redux,NA,NA,3DS,0.20,0.08,0.01,0.10,0.01
No More Heroes: Heroes' Paradise,NA,NA,PlayStation 3,0.20,0.10,0.04,0.04,0.02
Jikkyou Powerful Pro Yakyuu 2011,NA,NA,PSP,0.20,NA,NA,0.20,NA
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,NA,NA,DS,0.20,NA,NA,0.20,NA
Aikatsu! Cinderella Lesson,NA,NA,3DS,0.20,NA,NA,0.20,NA
Way of the Samurai 4,NA,NA,PlayStation 3,0.20,NA,0.03,0.16,0.01
Injustice: Gods Among Us,NA,NA,Wii U,0.20,0.09,0.09,0.00,0.02
Mana Khemia 2: Fall of Alchemy,NA,NA,PlayStation 2,0.20,0.07,0.05,0.05,0.02
Dead or Alive Paradise,NA,NA,PSP,0.20,0.08,0.02,0.07,0.02
Odin Sphere: Leifthrasir,NA,NA,PlayStation Vita,0.19,0.05,0.02,0.10,0.02
The King of Fighters XI,NA,NA,PlayStation 2,0.19,0.07,0.06,0.04,0.02
Rune Factory: Tides of Destiny,NA,NA,Wii,0.19,0.13,NA,0.06,0.01
Dragon Ball Z: Idainaru Dragon Ball Densetsu,NA,NA,PlayStation,0.19,NA,NA,0.18,0.01
Pac-Man & Galaga Dimensions,NA,NA,3DS,0.19,0.10,0.04,0.04,0.01
Valkyria Chronicles 4,NA,NA,Switch,0.19,0.12,0.04,0.02,0.02
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,NA,NA,DS,0.19,NA,NA,0.19,NA
Parlor! Mini 4,NA,NA,SNES,0.19,NA,NA,0.19,NA
Danganronpa 2: Goodbye Despair,NA,NA,PSP,0.19,NA,NA,0.19,NA
Steins;Gate,NA,NA,PSP,0.19,NA,NA,0.19,NA
Power Pro Kun Pocket 12,NA,NA,DS,0.19,NA,NA,0.19,NA
New Love Plus,NA,NA,3DS,0.19,NA,NA,0.19,NA
J-League Jikkyou Winning Eleven 3,NA,NA,PlayStation,0.19,NA,NA,0.18,0.01
Jissen Pachi-Slot Hisshouhou,NA,NA,SNES,0.19,NA,NA,0.19,NA
Dynasty Warriors: Gundam 2,NA,NA,Xbox 360,0.19,0.07,0.03,0.08,0.01
Quantum Theory,NA,NA,PlayStation 3,0.19,0.05,0.09,0.02,0.03
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,NA,NA,3DS,0.19,NA,NA,0.19,NA
J-League Excite Stage '96,NA,NA,SNES,0.19,NA,NA,0.19,0.00
Nobunaga no Yabou: Souzou,NA,NA,PlayStation 3,0.19,NA,NA,0.19,NA
Shiren the Wanderer,NA,NA,Wii,0.19,0.08,NA,0.11,0.01
Jikkyou J-League Perfect Striker,NA,NA,Nintendo 64,0.19,NA,NA,0.19,0.00
Super Robot Taisen: Scramble Commander,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
Space Invaders Extreme 2,NA,NA,DS,0.19,0.17,0.01,0.00,0.01
Taiko no Tatsujin: Wii U Version!,NA,NA,Wii U,0.19,NA,NA,0.19,NA
Tales of the World: Narikiri Dungeon 2,NA,NA,Game Boy Advance,0.19,NA,NA,0.19,0.00
Majin and the Forsaken Kingdom,NA,NA,Xbox 360,0.19,0.14,0.03,0.00,0.01
Super Street Fighter IV: Arcade Edition,NA,NA,Xbox 360,0.19,0.12,0.03,0.03,0.01
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,NA,NA,SNES,0.19,NA,NA,0.19,0.00
Tokimeki Memorial Girl's Side 3rd Story,NA,NA,DS,0.19,NA,NA,0.19,NA
Fire ProWrestling G,NA,NA,PlayStation,0.19,NA,NA,0.18,0.01
Kamen Rider: Battride War,NA,NA,PlayStation 3,0.19,NA,NA,0.19,NA
Naruto: Ninja Destiny,NA,NA,DS,0.19,0.02,0.01,0.16,0.00
GunGriffon,NA,NA,SAT,0.19,NA,NA,0.19,0.00
Kuma-Tomo,NA,NA,3DS,0.19,NA,NA,0.19,NA
Phantasy Star Nova,NA,NA,PlayStation Vita,0.19,NA,NA,0.19,NA
Inazuma Eleven Strikers 2012 Xtreme,NA,NA,Wii,0.19,NA,NA,0.19,NA
Project X Zone 2,NA,NA,3DS,0.19,0.06,0.04,0.09,0.01
Silent Hill HD Collection,NA,NA,Xbox 360,0.19,0.11,0.06,0.01,0.02
Arc Rise Fantasia,NA,NA,Wii,0.19,0.12,NA,0.06,0.01
Captain Toad: Treasure Tracker,NA,NA,3DS,0.19,0.06,0.04,0.08,0.01
Dengeki Bunko Fighting Climax,NA,NA,PlayStation 3,0.19,0.07,0.00,0.10,0.02
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",NA,NA,PSP,0.19,NA,NA,0.19,NA
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),NA,NA,Nintendo 64,0.19,NA,NA,0.19,0.00
Puyo Puyo Sun 64,NA,NA,Nintendo 64,0.19,NA,NA,0.16,0.03
Tottadoo! Yoiko no Mujintou Seikatsu,NA,NA,DS,0.19,NA,NA,0.19,NA
Kenka Banchou 4: Ichinen Sensou,NA,NA,PSP,0.19,NA,NA,0.19,NA
50 Cent: Blood on the Sand,NA,NA,PlayStation 3,0.19,0.10,0.06,0.01,0.03
Pro Yakyuu Team o Tsukurou!,NA,NA,DS,0.19,NA,NA,0.19,NA
Toukiden Kiwami,NA,NA,PlayStation 4,0.19,0.06,0.07,0.03,0.03
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
3rd Super Robot Wars Z Jigoku Hen,NA,NA,PlayStation Vita,0.19,NA,NA,0.19,NA
Phantasy Star Universe,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
Reel Fishing Paradise 3D,NA,NA,3DS,0.19,0.12,NA,0.06,0.01
Fairy Fencer F,NA,NA,PlayStation 3,0.19,0.05,0.03,0.09,0.02
Street Fighter 30th Anniversary Collection,NA,NA,Switch,0.19,0.12,0.04,0.01,0.02
Armored Core: For Answer,NA,NA,PlayStation 3,0.19,0.06,0.02,0.10,0.01
Princess Maker: Yumemiru Yosei,NA,NA,PlayStation,0.19,NA,NA,0.18,0.01
Shining Force II,NA,NA,GEN,0.19,NA,NA,0.19,NA
Gallop Racer,NA,NA,PlayStation,0.19,NA,NA,0.18,0.01
Sudoku Gridmaster (JP sales),NA,NA,DS,0.19,NA,NA,0.19,NA
God Eater 3,NA,NA,PlayStation 4,0.19,NA,NA,0.19,NA
Pro Evolution Soccer 2014,NA,NA,3DS,0.19,NA,NA,0.19,NA
Pro Yakyuu Spirits 4,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
Tamagotchi Party On!,NA,NA,Wii,0.19,0.12,0.00,0.06,0.01
Beyblade: Metal Fusion - Battle Fortress,NA,NA,Wii,0.19,0.15,NA,0.03,0.01
Daigasso! Band Brothers,NA,NA,DS,0.19,NA,NA,0.19,NA
Thoroughbred Breeder,NA,NA,SNES,0.19,NA,NA,0.19,NA
Momotarou Dentetsu World,NA,NA,DS,0.19,NA,NA,0.19,NA
Nostalgia,NA,NA,DS,0.19,0.16,NA,0.02,0.01
Dynasty Warriors Gundam,NA,NA,Xbox 360,0.19,0.15,0.01,0.02,0.01
Chibi-Robo! Park Patrol,NA,NA,DS,0.19,NA,NA,0.19,NA
Binary Domain,NA,NA,Xbox 360,0.19,0.09,0.07,0.02,0.02
Tokyo Xanadu,NA,NA,PlayStation Vita,0.19,0.02,NA,0.16,0.01
One Piece: Unlimited Adventure,NA,NA,Wii,0.19,0.07,NA,0.11,0.01
Tekken Tag Tournament 2,NA,NA,Wii U,0.19,0.09,0.07,0.01,0.01
Pro Yakyuu Spirits 2012,NA,NA,PlayStation 3,0.19,NA,NA,0.19,NA
Warriors: Legends of Troy,NA,NA,PlayStation 3,0.19,0.06,0.05,0.07,0.02
Super Real Mahjong P V,NA,NA,SAT,0.19,NA,NA,0.19,NA
Face Training,NA,NA,DS,0.19,NA,0.00,0.19,0.00
Penguin no Mondai X: Tenkuu no 7 Senshi,NA,NA,DS,0.19,NA,NA,0.19,NA
Earth Defense Force: Insect Armageddon,NA,NA,Xbox 360,0.19,0.10,0.04,0.03,0.01
The Surge,NA,NA,PlayStation 4,0.19,0.07,0.08,0.01,0.03
Half-Minute Hero,NA,NA,PSP,0.19,0.08,0.02,0.07,0.02
SD Gundam GX,NA,NA,SNES,0.19,NA,NA,0.19,NA
GRID: Autosport,NA,NA,PlayStation 3,0.19,0.05,0.10,0.01,0.03
Shadows of the Damned,NA,NA,Xbox 360,0.19,0.10,0.06,0.01,0.02
Sega GT 2002,NA,NA,Xbox,0.19,0.12,0.03,0.03,0.01
Samurai Warriors 2: Empires,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
J-League Pro Soccer Club o Tsukurou! 5,NA,NA,PlayStation 2,0.19,NA,NA,0.19,NA
Little Battlers eXperience W,NA,NA,PSP,0.19,NA,NA,0.19,NA
Daigasso! Band Brothers P,NA,NA,3DS,0.19,NA,NA,0.19,NA
Phantasy Star Online Ver. 2,NA,NA,Dreamcast,0.19,NA,NA,0.19,0.00
Samurai Warriors: State of War,NA,NA,PSP,0.19,0.07,0.00,0.11,0.01
The Munchables,NA,NA,Wii,0.18,0.17,0.00,0.00,0.01
Valhalla Knights 3,NA,NA,PlayStation Vita,0.18,0.04,0.01,0.12,0.02
Senran Kagura: Estival Versus,NA,NA,PlayStation Vita,0.18,0.04,0.03,0.10,0.02
Dead or Alive,NA,NA,SAT,0.18,NA,NA,0.18,0.00
Driving Emotion Type-S,NA,NA,PlayStation 2,0.18,0.04,0.03,0.11,0.01
Ridge Racer,NA,NA,PlayStation Vita,0.18,0.03,0.08,0.05,0.02
Disgaea DS,NA,NA,DS,0.18,0.11,0.01,0.05,0.01
Super Robot Taisen J,NA,NA,Game Boy Advance,0.18,NA,NA,0.18,0.00
Nep League DS,NA,NA,DS,0.18,NA,NA,0.18,NA
Ar tonelico 2: Melody of Metafalica,NA,NA,PlayStation 2,0.18,0.04,0.03,0.11,0.01
GameBoy Wars,NA,NA,GB,0.18,NA,NA,0.18,0.00
MotoGP 15,NA,NA,PlayStation 4,0.18,NA,0.13,0.04,0.02
Conception II: Children of the Seven Stars,NA,NA,PlayStation Vita,0.18,0.11,NA,0.04,0.04
Chocobo no Fushigi Dungeon for WonderSwan,NA,NA,WS,0.18,NA,NA,0.18,0.00
International Superstar Soccer 2000 (JP weekly sales),NA,NA,Nintendo 64,0.18,NA,NA,0.18,NA
Klonoa: Door to Phantomile,NA,NA,PlayStation,0.18,NA,NA,0.17,0.01
Hatsune Miku and Future Stars: Project Mirai,NA,NA,3DS,0.18,NA,NA,0.18,NA
Digimon Story: Cyber Sleuth,NA,NA,PlayStation Vita,0.18,0.00,NA,0.18,0.00
TalkMan (Japan),NA,NA,PSP,0.18,NA,NA,0.18,NA
Mega Man Soccer,NA,NA,SNES,0.18,0.04,0.01,0.13,NA
Anarchy Reigns,NA,NA,Xbox 360,0.18,0.12,0.02,0.02,0.02
Call of Juarez,NA,NA,Xbox 360,0.18,0.14,0.02,0.00,0.01
Resident Evil: Revelations,NA,NA,PlayStation 4,0.18,0.06,0.06,0.04,0.02
Vampire Savior: The Lord of Vampire,NA,NA,SAT,0.18,NA,NA,0.18,0.00
Super Robot Wars UX,NA,NA,3DS,0.18,NA,NA,0.18,NA
Pro Yakyuu Spirits 2011,NA,NA,PlayStation 3,0.18,NA,NA,0.18,NA
Battle Commander: Hachibushu Shura no Heihou,NA,NA,SNES,0.18,NA,NA,0.18,NA
Senran Kagura 2: Deep Crimson,NA,NA,3DS,0.18,0.06,0.02,0.08,0.01
Moon,NA,NA,PlayStation,0.18,NA,NA,0.17,0.01
Mobile Suit Gundam: Extreme VS Force,NA,NA,PlayStation Vita,0.18,NA,NA,0.18,NA
Sumikko Gurashi: Koko ga Ochitsukundesu,NA,NA,3DS,0.18,NA,NA,0.18,NA
Metal Gear Ac!d 2,NA,NA,PSP,0.18,0.11,0.01,0.05,0.01
Gokujou Parodius,NA,NA,SNES,0.18,NA,NA,0.18,NA
A.C.E.: Another Century's Episode 2,NA,NA,PlayStation 2,0.18,NA,NA,0.18,NA
Pro Evolution Soccer 2013,NA,NA,3DS,0.18,0.05,0.02,0.10,0.01
Trinity Universe,NA,NA,PlayStation 3,0.18,0.07,0.06,0.03,0.02
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,NA,NA,Dreamcast,0.18,NA,NA,0.18,0.00
Hatsune Miku: Project Diva X,NA,NA,PlayStation Vita,0.18,0.05,NA,0.12,0.02
F1 Challenge,NA,NA,SAT,0.18,NA,NA,0.18,0.00
One Piece: Pirate Warriors 3,NA,NA,PlayStation Vita,0.18,NA,0.03,0.14,0.01
Senran Kagura: Estival Versus,NA,NA,PlayStation 4,0.18,0.08,NA,0.09,0.02
Mega Man III,NA,NA,GB,0.18,NA,NA,0.18,NA
Otomedius Excellent,NA,NA,Xbox 360,0.18,0.13,NA,0.04,0.01
Toukiden,NA,NA,PSP,0.18,NA,NA,0.18,NA
Danganronpa V3: Killing Harmony,NA,NA,PlayStation Vita,0.18,0.02,0.01,0.13,0.01
Naruto Shippuden: Dragon Blade Chronicles,NA,NA,Wii,0.18,0.11,0.02,0.05,0.01
Mobile Suit Gundam Seed Destiny: Generation of C.E.,NA,NA,PlayStation 2,0.18,NA,NA,0.18,NA
Armored Core: Last Raven,NA,NA,PlayStation 2,0.18,0.05,0.04,0.08,0.01
K-1 World Grand Prix,NA,NA,PlayStation 2,0.18,0.04,0.03,0.10,0.01
Lego Star Wars: The Force Awakens,NA,NA,PlayStation Vita,0.18,0.02,0.10,0.02,0.03
Kidou Senshi Gundam: Senjou no Kizuna Portable,NA,NA,PSP,0.18,NA,NA,0.18,NA
Super Robot Taisen A Portable,NA,NA,PSP,0.18,NA,NA,0.18,NA
Yu-Gi-Oh! Zexal Clash! Duel Carnival!,NA,NA,3DS,0.18,NA,0.09,0.08,0.01
Biohazard: Revival Selection,NA,NA,PlayStation 3,0.18,NA,NA,0.18,NA
SimCity Creator (JP sales),NA,NA,DS,0.18,NA,NA,0.18,NA
Tales of the Tempest,NA,NA,DS,0.18,NA,NA,0.18,NA
Dynasty Warriors: Gundam 3,NA,NA,Xbox 360,0.18,0.11,0.03,0.02,0.01
Velvet Assassin,NA,NA,Xbox 360,0.18,0.14,0.02,0.01,0.01
Summon Night 4,NA,NA,PlayStation 2,0.18,NA,NA,0.18,NA
Pro Yakyuu Spirits 5,NA,NA,PlayStation 2,0.18,NA,NA,0.18,NA
Demon Gaze,NA,NA,PlayStation Vita,0.17,0.04,0.03,0.09,0.02
Time and Eternity,NA,NA,PlayStation 3,0.17,0.06,0.03,0.06,0.02
Winning Eleven: Pro Evolution Soccer 2007,NA,NA,DS,0.17,NA,0.00,0.17,0.00
Major League Baseball 2K9,NA,NA,PlayStation 3,0.17,0.16,NA,0.00,0.01
Global Defence Force,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
SaGa 2: Hihou Densetsu - Goddess of Destiny,NA,NA,DS,0.17,NA,NA,0.17,NA
Super Robot Taisen L,NA,NA,DS,0.17,NA,NA,0.17,NA
The King of Fighters '97,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Kekkaishi: Karasumori Ayakashi Kidan,NA,NA,DS,0.17,NA,NA,0.17,NA
Trauma Team,NA,NA,Wii,0.17,0.14,NA,0.02,0.01
Lost in Blue 3,NA,NA,DS,0.17,0.09,0.02,0.06,0.01
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,NA,NA,PSP,0.17,NA,NA,0.17,NA
Pro Evolution Soccer 2014,NA,NA,PSP,0.17,NA,0.02,0.14,0.01
Katamari Damacy Reroll,NA,NA,Switch,0.17,0.14,NA,0.02,0.02
Mega Man 11,NA,NA,PlayStation 4,0.17,0.09,0.03,0.03,0.03
Power Pro Kun Pocket,NA,NA,GB,0.17,NA,NA,0.17,0.00
The King of Fighters '97,NA,NA,SAT,0.17,NA,NA,0.17,0.00
Tamagotchi no Narikiri Challenge,NA,NA,DS,0.17,NA,NA,0.17,NA
Space Battleship Yamato: Harukanaru Hoshi Iscandar,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Sound Novel Evolution 1: Otogirisou Sosei-Hen,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Let's TAP,NA,NA,Wii,0.17,0.08,0.06,0.01,0.02
Dragon Quest X,NA,NA,3DS,0.17,NA,NA,0.17,NA
Resident Evil 6,NA,NA,PlayStation 4,0.17,0.10,NA,0.05,0.02
Resident Evil Director's Cut: Dual Shock Edition,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Jikkyou Powerful Pro Yakyuu 2013,NA,NA,PSP,0.17,NA,NA,0.17,NA
The King of Fighters '95,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Jikkyou Powerful Pro Yakyuu 2014,NA,NA,PlayStation 3,0.17,NA,NA,0.17,NA
Hanjuku Eiyuu Tai 3D,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
.hack//G.U. Vol.3//Redemption,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Super Robot Taisen Compact 2 Dai-1-Bu,NA,NA,WS,0.17,NA,NA,0.17,NA
Macross Ultimate Frontier,NA,NA,PSP,0.17,NA,NA,0.17,NA
Tokyo Xtreme Racer,NA,NA,Dreamcast,0.17,NA,NA,0.17,0.00
Fighter Maker,NA,NA,PlayStation,0.17,0.05,0.04,0.07,0.01
Ar nosurge: Ode to an Unborn Star,NA,NA,PlayStation 3,0.17,0.05,0.04,0.06,0.02
Final Fantasy XIV: Heavensward,NA,NA,PlayStation 4,0.17,NA,0.09,0.06,0.02
Mahjong Fight Club,NA,NA,PSP,0.17,NA,NA,0.17,0.00
Bomberman 64: The Second Attack!,NA,NA,Nintendo 64,0.17,0.05,0.01,0.11,0.00
Final Fantasy XIV: Stormblood,NA,NA,PlayStation 4,0.17,0.05,0.06,0.04,0.02
Gundam Assault Survive,NA,NA,PSP,0.17,NA,NA,0.17,NA
Fate/stay night [Réalta Nua],NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Guilty Gear Xrd: Sign,NA,NA,PlayStation 4,0.17,0.11,NA,0.04,0.02
Space Griffon VF-9,NA,NA,PlayStation,0.17,0.02,0.02,0.12,0.01
.hack//G.U. Vol.1//Rebirth,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
N3 II: Ninety-Nine Nights,NA,NA,Xbox 360,0.17,0.06,0.06,0.04,0.01
The Cursed Crusade,NA,NA,PlayStation 3,0.17,0.07,0.07,0.01,0.02
Gyakuten Saiban 3,NA,NA,Game Boy Advance,0.17,NA,NA,0.16,0.00
Gallop Racer 2001,NA,NA,PlayStation 2,0.17,0.05,0.04,0.06,0.01
Bomberman B-Daman,NA,NA,SNES,0.17,NA,NA,0.17,NA
Beat Down: Fists of Vengeance,NA,NA,PlayStation 2,0.17,0.04,0.03,0.09,0.01
BlazBlue: Central Fiction,NA,NA,PlayStation 4,0.17,0.10,NA,0.05,0.02
Sword of the Samurai,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Naruto Shippuden: Ultimate Ninja 5,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Final Fantasy V,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
Disney Golf,NA,NA,PlayStation 2,0.17,0.07,0.06,0.02,0.02
Valkyrie Drive: Bhikkhuni,NA,NA,PlayStation Vita,0.17,NA,0.05,0.11,0.01
Clock Tower II: The Struggle Within,NA,NA,PlayStation,0.17,0.02,0.01,0.12,0.01
Hyperdimension Neptunia Victory,NA,NA,PlayStation 3,0.17,0.05,0.04,0.06,0.02
Densetsu no Stafi 4,NA,NA,DS,0.17,NA,NA,0.17,NA
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Bomberman Land,NA,NA,Wii,0.17,0.11,0.02,0.03,0.01
Tokimeki Memorial: Private Collection,NA,NA,PlayStation,0.17,NA,NA,0.16,0.01
NBA Street Homecourt,NA,NA,PlayStation 3,0.17,0.13,0.01,0.00,0.02
Far East of Eden II: Manji Maru,NA,NA,PlayStation 2,0.17,NA,NA,0.17,NA
Lost Kingdoms,NA,NA,GameCube,0.17,0.10,0.02,0.04,0.00
Nobunaga no Yabou: Tenshoki,NA,NA,SNES,0.17,NA,NA,0.17,0.00
Super Power League,NA,NA,SNES,0.17,NA,NA,0.17,NA
Phantasy Star Online 2,NA,NA,PlayStation Vita,0.17,NA,NA,0.17,NA
Street Fighter Alpha 2,NA,NA,SNES,0.17,NA,NA,0.17,NA
Zoo Keeper,NA,NA,DS,0.17,0.10,0.01,0.05,0.01
Classic NES Series: Donkey Kong,NA,NA,Game Boy Advance,0.17,NA,NA,0.17,NA
Resident Evil,NA,NA,SAT,0.17,NA,NA,0.17,NA
TOEIC Test Training DS,NA,NA,DS,0.17,NA,NA,0.17,NA
Itoi Shigesato no Bass Tsuri No. 1,NA,NA,SNES,0.17,NA,NA,0.17,NA
Cubivore: Survival of the Fittest,NA,NA,GameCube,0.17,0.01,0.00,0.15,0.00
Doctor Lautrec and the Forgotten Knights,NA,NA,3DS,0.17,0.07,0.05,0.03,0.01
Sumikko Gurashi: Omise Hajimerundesu,NA,NA,3DS,0.17,NA,NA,0.17,NA
Parodius,NA,NA,SAT,0.17,NA,NA,0.16,0.00
Gyakuten Saiban 3,NA,NA,Game Boy Advance,0.16,NA,NA,0.16,NA
Ride 2,NA,NA,PlayStation 4,0.16,0.07,0.06,0.01,0.03
