title,publisher,developer,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Call of Duty: Modern Warfare 3,Activision,Infinity Ward,PlayStation 3,13.35,5.54,5.78,0.49,1.54
Grand Theft Auto III,Rockstar Games,DMA Design,PlayStation 2,13.10,6.99,4.51,0.30,1.30
Mario Kart 8 Deluxe,Nintendo,Nintendo EPD,Switch,13.05,5.05,4.98,2.11,0.91
Super Smash Bros. Brawl,Nintendo,Project Sora,Wii,12.91,6.64,2.57,2.67,1.03
Pokémon Omega Ruby/Pokémon Alpha Sapphire,Nintendo,Game Freak,3DS,12.73,4.78,3.98,3.15,0.82
Call of Duty: Black Ops,Activision,Treyarch,Xbox 360,14.74,9.76,3.73,0.11,1.14
Call of Duty: Black Ops,Activision,Treyarch,PlayStation 3,12.67,6.01,4.40,0.48,1.78
Animal Crossing: Wild World,Nintendo,Nintendo EAD,DS,12.14,2.50,3.46,5.33,0.86
Halo 3,Microsoft Game Studios,Bungie Studios,Xbox 360,12.13,7.97,2.81,0.13,1.21
Super Mario 64,Nintendo,Nintendo EAD,Nintendo 64,11.89,6.91,2.85,1.91,0.23
FIFA 18,EA Sports,EA Vancouver,PlayStation 4,11.80,1.27,8.64,0.15,1.73
FIFA 18,EA Sports,EA Vancouver,Switch,1.10,0.35,0.55,0.13,0.07
FIFA 18,EA Sports,EA Vancouver,PlayStation 3,0.54,0.06,0.40,0.01,0.08
Pokémon Heart Gold / Soul Silver Version,Nintendo,Game Freak,DS,11.78,4.34,2.72,3.96,0.76
Super Mario Odyssey,Nintendo,Nintendo EPD,Switch,11.71,5.10,3.75,2.02,0.84
Gran Turismo 4,Sony Computer Entertainment,Polyphony Digital,PlayStation 2,11.66,3.01,0.01,1.10,7.53
Super Mario 3D Land,Nintendo,Nintendo EAD Tokyo,3DS,11.56,5.10,3.46,2.15,0.85
Super Mario Galaxy,Nintendo,Nintendo EAD Tokyo,Wii,11.40,6.06,3.38,1.20,0.76
New Super Mario Bros. 2,Nintendo,Nintendo,3DS,11.33,3.95,4.07,2.59,0.72
New Super Mario Bros. 2,Nintendo,Nintendo,3DS,0.78,NA,NA,0.78,NA
Super Mario Land 2: 6 Golden Coins,Nintendo,Nintendo R&D1,GB,11.18,6.16,2.04,2.69,0.29
Grand Theft Auto IV,Rockstar Games,Rockstar North,Xbox 360,11.09,6.80,3.11,0.14,1.04
Grand Theft Auto IV,Rockstar Games,Rockstar North,PlayStation 3,10.57,4.79,3.73,0.44,1.62
Gran Turismo,Sony Computer Entertainment,Polyphony Digital,PlayStation,10.95,4.02,3.87,2.54,0.52
Gran Turismo,Sony Computer Entertainment,Polyphony Digital,PSP,2.93,0.43,1.40,0.31,0.78
FIFA 17,Electronic Arts,EA Canada,PlayStation 4,10.94,1.26,7.95,0.12,1.61
FIFA 17,Electronic Arts,EA Canada,PlayStation 3,1.36,0.14,0.98,0.04,0.20
Animal Crossing: New Leaf,Nintendo,Nintendo EAD,3DS,10.90,2.46,3.06,4.90,0.48
Gran Turismo 5,Sony Computer Entertainment,Polyphony Digital,PlayStation 3,10.75,2.96,4.87,0.81,2.10
Call of Duty: Modern Warfare 2,Activision,Infinity Ward,Xbox 360,13.53,8.54,3.63,0.08,1.28
Call of Duty: Modern Warfare 2,Activision,Infinity Ward,PlayStation 3,10.61,4.99,3.66,0.38,1.59
Grand Theft Auto IV,Rockstar Games,Rockstar North,Xbox 360,11.09,6.80,3.11,0.14,1.04
Grand Theft Auto IV,Rockstar Games,Rockstar North,PlayStation 3,10.57,4.79,3.73,0.44,1.62
Super Mario All-Stars,Nintendo,Nintendo EAD,SNES,10.55,5.99,2.15,2.12,0.29
Pokémon FireRed / LeafGreen Version,Nintendo,Game Freak,Game Boy Advance,10.49,4.34,2.65,3.15,0.35
Call of Duty: Ghosts,Activision,Infinity Ward,Xbox 360,10.41,6.76,2.64,0.04,0.98
Call of Duty: Ghosts,Activision,Infinity Ward,PlayStation 3,10.13,4.11,4.01,0.39,1.62
Call of Duty: Ghosts,Activision,Infinity Ward,PlayStation 4,4.17,1.79,1.64,0.05,0.69
