title,link,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
FIFA Soccer 09,/game/xbox-360/fifa-soccer-09,13-Oct-08,87,7.9,EA Canada,EA Sports,"Sports, Traditional, Team, Soccer, Sim, Sim",E,Xbox 360,2.59,0.49,1.63,0.04,0.43
Jeanne d'Arc,/game/psp/jeanne-darc,21-Aug-07,87,8.2,Level 5,SCEA,"Strategy, Turn-Based, Historic, Historic, Tactics",T,PSP,0.33,0.21,N/A,0.10,0.02
Battlefield: Bad Company 2,/game/pc/battlefield-bad-company-2,2-Mar-10,87,8.2,EA DICE,EA Games,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,PC,3.48,2.11,1.01,0.04,0.33
FIFA Soccer 09,/game/playstation-3/fifa-soccer-09,13-Oct-08,87,7.5,EA Canada,EA Sports,"Sports, Traditional, Team, Soccer, Sim, Sim",E,PlayStation 3,2.59,0.49,1.63,0.04,0.43
Steins;Gate,/game/pc/steinsgate,31-Mar-14,87,8.9,M2,Jast,"First-Person, Modern, Adventure, General, Visual Novel",M,PC,0.19,N/A,N/A,0.19,N/A
NCAA Football 06,/game/playstation-2/ncaa-football-06,11-Jul-05,87,8.5,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E,PlayStation 2,1.84,1.53,0.05,N/A,0.25
DiRT 3,/game/playstation-3/dirt-3,24-May-11,87,7.2,Codemasters,Codemasters,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,PlayStation 3,1.06,0.27,0.58,0.01,0.20
Max Payne 3,/game/playstation-3/max-payne-3,15-May-12,87,7.9,"Rockstar Games, Rockstar Studios",Rockstar Games,"Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",M,PlayStation 3,1.86,0.59,0.93,0.06,0.27
Sins of a Solar Empire,/game/pc/sins-of-a-solar-empire,4-Feb-08,87,8.2,Ironclad Games,Stardock,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",T,PC,0.03,N/A,0.03,N/A,0.00
Dragon Ball FighterZ,/game/switch/dragon-ball-fighterz,28-Sep-18,87,7.7,Arc System Works,Bandai Namco Games,"Action, Fighting, 2D",T,Switch,1.46,0.61,0.51,0.12,0.23
Ikaruga,/game/xbox-360/ikaruga,9-Apr-08,87,7.9,Treasure,Microsoft Game Studios,"Action, Shooter, Shooter, Scrolling, Scrolling, Shoot-'Em-Up, Vertical",E,Xbox 360,0.09,0.07,0.02,N/A,0.00
Heavy Rain,/game/playstation-3/heavy-rain,23-Feb-10,87,7.8,Quantic Dream,SCEA,"Adventure, 3D, Modern, Third-Person, Modern",M,PlayStation 3,3.06,1.29,1.24,0.06,0.48
Super Monkey Ball 2,/game/gamecube/super-monkey-ball-2,25-Aug-02,87,8.4,Amusement Vision,Sega,"Miscellaneous, Party",E,GameCube,1.52,1.11,0.31,0.06,0.04
Tactics Ogre: Let Us Cling Together,/game/psp/tactics-ogre-let-us-cling-together,14-Feb-11,87,8.7,Square Enix,Square Enix,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics",T,PSP,0.71,N/A,N/A,0.71,0.00
Diablo II: Lord of Destruction,/game/pc/diablo-ii-lord-of-destruction,27-Jun-01,87,9.1,Blizzard North,Blizzard Entertainment,"Role-Playing, Action RPG, Action RPG",M,PC,1.06,1.03,0.03,N/A,N/A
DiRT 3,/game/xbox-360/dirt-3,24-May-11,87,7,Codemasters,Codemasters,"Driving, Racing, Simulation, Rally / Offroad, Rally / Offroad, Automobile",T,Xbox 360,1.06,0.27,0.58,0.01,0.20
Syphon Filter: Dark Mirror,/game/psp/syphon-filter-dark-mirror,14-Mar-06,87,8.8,Sony Bend,SCEA,"Action, Shooter, Shooter, Third-Person, Tactical, Modern, Modern",M,PSP,0.3,0.26,0.01,N/A,0.03
The Elder Scrolls III: Morrowind,/game/xbox/the-elder-scrolls-iii-morrowind,6-Jun-02,87,8.5,Bethesda Softworks,Bethesda Softworks,"Role-Playing, First-Person",T,Xbox,2.86,2.09,0.63,0.03,0.11
Castlevania: Harmony of Dissonance,/game/game-boy-advance/castlevania-harmony-of-dissonance,16-Sep-02,87,8,KCET,Konami,"Action, Platformer, 2D",T,Game Boy Advance,0.26,0.16,0.06,0.04,0.00
Dragon Ball FighterZ,/game/playstation-4/dragon-ball-fighterz,26-Jan-18,87,8,Arc System Works,Bandai Namco Games,"Action, Fighting, 2D",T,PlayStation 4,1.46,0.61,0.51,0.12,0.23
The Legend of Zelda: Link's Awakening,/game/switch/the-legend-of-zelda-links-awakening,20-Sep-19,87,8.4,"Nintendo, GREZZO",Nintendo,"Action Adventure, Open-World",E,Switch,3.83,2.21,0.96,0.54,0.13
Hitman 2: Silent Assassin,/game/pc/hitman-2-silent-assassin,1-Oct-02,87,8.2,Io Interactive,Eidos Interactive,"Action Adventure, Modern, General, Modern",M,PC,2.96,1.36,1.15,0.04,0.41
Assassin's Creed Odyssey,/game/xbox-one/assassins-creed-odyssey,2-Oct-18,87,6.1,Ubisoft,Ubisoft,"Action Adventure, Open-World",M,Xbox One,3.18,1.18,1.40,0.09,0.51
Batman: Arkham Knight,/game/playstation-4/batman-arkham-knight,23-Jun-15,87,7.9,Rocksteady Studios,Warner Bros. Interactive Entertainment,"General, Fantasy, Action Adventure, Open-World",M,PlayStation 4,4.11,1.65,1.68,0.11,0.66
Dead or Alive 3,/game/xbox/dead-or-alive-3,14-Nov-01,87,8.6,Team Ninja,Tecmo,"Action, Fighting, 3D",T,Xbox,1.77,1.19,0.29,0.24,0.06
Jak II,/game/playstation-2/jak-ii,14-Oct-03,87,8.3,Naughty Dog,SCEA,"Action, Platformer, 3D",T,PlayStation 2,2.78,1.68,0.74,N/A,0.36
Final Fantasy Tactics Advance,/game/game-boy-advance/final-fantasy-tactics-advance,8-Sep-03,87,9.1,Square Enix,Nintendo,"Strategy, Turn-Based, Fantasy",E,Game Boy Advance,2.13,0.82,0.37,0.89,0.05
NCAA Football 06,/game/xbox/ncaa-football-06,11-Jul-05,87,7.7,EA Sports,EA Sports,"Sports, Traditional, Football, Sim",E,Xbox,1.84,1.53,0.05,N/A,0.25
Max Payne 3,/game/pc/max-payne-3,31-May-12,87,7.7,"Rockstar Games, Rockstar Studios",Rockstar Games,"Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",M,PC,1.86,0.59,0.93,0.06,0.27
Marvel's Spider-Man,/game/playstation-4/marvels-spider-man,7-Sep-18,87,8.7,Insomniac Games,Sony Interactive Entertainment,"Action Adventure, Open-World",T,PlayStation 4,8.76,3.64,3.39,0.32,1.41
Okami HD,/game/playstation-4/okami-hd,12-Dec-17,87,8.2,Capcom,Capcom,"Action Adventure, General",T,PlayStation 4,0.36,0.16,0.12,0.03,0.06
New Super Mario Bros. Wii,/game/wii/new-super-mario-bros-wii,15-Nov-09,87,8.3,Nintendo,Nintendo,"Action, Platformer, Platformer, 2D, 2D",E,Wii,28.51,14.53,7.01,4.70,2.27
Elite Beat Agents,/game/ds/elite-beat-agents,6-Nov-06,87,8.5,iNiS,Nintendo,"Action, Miscellaneous, Rhythm, Music, Music",E10+,DS,0.37,0.30,0.03,N/A,0.03
Beyond Good & Evil,/game/gamecube/beyond-good-evil,11-Dec-03,87,8.5,Ubisoft Montpellier,Ubisoft,"Action Adventure, Fantasy",T,GameCube,0.33,0.16,0.13,N/A,0.04
