title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Halo: Reach    ,X360,9.97,7.08,2.01,0.08,0.80,Xbox 360
Halo 4    ,X360,9.96,6.72,2.36,0.04,0.83,Xbox 360
Mario Kart 64    ,N64,9.87,5.55,1.94,2.23,0.15,Nintendo 64
Minecraft    ,X360,9.82,5.96,2.94,0.02,0.90,Xbox 360
Final Fantasy VII    ,PS,9.72,3.01,2.47,3.28,0.96,PlayStation
Gran Turismo 2    ,PS,9.49,3.88,3.42,1.69,0.50,PlayStation
The Legend of Zelda: Breath of the Wild    ,NS,9.46,4.54,2.94,1.26,0.73,Switch
Just Dance 2    ,Wii,9.45,5.80,2.86,0.01,0.77,Wii
Call of Duty 4: Modern Warfare    ,X360,9.41,5.98,2.39,0.13,0.91,Xbox 360
Call of Duty: Black Ops IIII    ,PS4,9.32,4.05,3.28,0.50,1.49,PlayStation 4
Donkey Kong Country    ,SNES,9.30,4.36,1.71,3.00,0.23,SNES
FIFA 19    ,PS4,9.15,0.84,6.87,0.10,1.34,PlayStation 4
Super Smash Bros. Ultimate    ,NS,8.95,4.22,1.72,2.41,0.61,Switch
Mario Party DS    ,DS,8.93,4.40,1.86,1.98,0.69,DS
The Elder Scrolls V: Skyrim    ,X360,8.88,5.10,2.83,0.10,0.85,Xbox 360
Super Mario Kart    ,SNES,8.76,3.54,1.24,3.81,0.18,SNES
Marvel's Spider-Man    ,PS4,8.76,3.64,3.39,0.32,1.41,PlayStation 4
Grand Theft Auto V    ,XOne,8.72,4.70,3.25,0.01,0.76,Xbox One
Halo 2    ,XB,8.49,6.82,1.53,0.05,0.08,Xbox
Call of Duty: Infinite Warfare    ,PS4,8.48,3.11,3.83,0.19,1.36,PlayStation 4
Fallout 4    ,PS4,8.48,2.91,3.97,0.27,1.34,PlayStation 4
Wii Party    ,Wii,8.41,1.75,3.51,2.49,0.66,Wii
Super Smash Bros. for 3DS    ,3DS,8.32,3.73,1.50,2.55,0.54,3DS
Mario Party 8    ,Wii,8.30,3.74,2.27,1.58,0.70,Wii
FIFA 16    ,PS4,8.22,1.15,5.77,0.07,1.23,PlayStation 4
Pokémon Black 2 and White 2    ,DS,8.16,2.79,1.79,3.16,0.43,DS
GoldenEye 007    ,N64,8.09,5.80,2.01,0.13,0.15,Nintendo 64
Final Fantasy X    ,PS2,8.05,2.91,2.07,2.73,0.33,PlayStation 2
Star Wars Battlefront (2015)    ,PS4,8.03,3.31,3.19,0.23,1.30,PlayStation 4
FIFA 13    ,PS3,8.01,1.07,5.13,0.13,1.68,PlayStation 3
Mario & Sonic at the Olympic Games    ,Wii,8.00,2.57,3.87,0.66,0.90,Wii
The Sims 3    ,PC,7.96,1.01,6.46,N/A,0.50,PC
Final Fantasy VIII    ,PS,7.86,2.28,1.72,3.63,0.23,PlayStation
Pac-Man    ,2600,7.81,7.28,0.45,N/A,0.08,2600
Pokémon Platinum Version    ,DS,7.72,2.76,1.73,2.69,0.54,DS
Grand Theft Auto: Liberty City Stories    ,PSP,7.72,2.90,2.83,0.24,1.74,PSP
Mario Kart 8    ,WiiU,7.69,3.22,2.55,1.39,0.54,Wii U
The Legend of Zelda: Ocarina of Time    ,N64,7.60,4.10,1.89,1.45,0.16,Nintendo 64
Crash Bandicoot 2: Cortex Strikes Back    ,PS,7.58,3.78,2.17,1.31,0.31,PlayStation
Super Mario Galaxy 2    ,Wii,7.57,3.59,2.37,0.98,0.62,Wii
Call of Duty: Advanced Warfare    ,PS4,7.53,2.84,3.34,0.14,1.22,PlayStation 4
Call of Duty: World at War    ,X360,7.50,4.88,1.91,N/A,0.71,Xbox 360
Super Mario Bros. 2    ,NES,7.46,5.39,1.18,0.70,0.19,NES
Call of Duty: Black Ops 3    ,XOne,7.37,4.63,2.04,0.02,0.68,Xbox One
Battlefield 3    ,X360,7.35,4.47,2.12,0.06,0.69,Xbox 360
Battlefield 1    ,PS4,7.26,2.20,3.65,0.29,1.12,PlayStation 4
Battlefield 3    ,PS3,7.21,2.86,2.94,0.35,1.07,PlayStation 3
Just Dance    ,Wii,7.21,3.48,2.99,N/A,0.73,Wii
Need for Speed Underground    ,PS2,7.20,3.27,2.83,0.08,1.02,PlayStation 2
The Legend of Zelda: Twilight Princess    ,Wii,7.18,3.74,2.16,0.60,0.69,Wii
Tekken 3    ,PS,7.16,3.27,2.22,1.40,0.29,PlayStation
Pokémon: Ultra Sun and Ultra Moon    ,3DS,7.15,2.46,1.74,2.55,0.40,3DS
Crash Bandicoot 3: Warped    ,PS,7.13,3.68,1.75,1.42,0.28,PlayStation
Super Smash Bros. Melee    ,GC,7.07,4.41,1.04,1.39,0.22,GameCube
Splatoon 2    ,NS,7.04,1.90,1.80,3.01,0.34,Switch
Mario Kart: Double Dash!!    ,GC,6.95,4.12,1.77,0.87,0.19,GameCube
Need for Speed Underground 2    ,PS2,6.90,2.71,3.02,0.08,1.09,PlayStation 2
Just Dance 4    ,Wii,6.89,4.05,2.21,N/A,0.62,Wii
Uncharted 3: Drake's Deception    ,PS3,6.84,2.77,2.81,0.19,1.06,PlayStation 3
Medal of Honor: Frontline    ,PS2,6.83,2.93,2.75,0.17,0.99,PlayStation 2
Crash Bandicoot    ,PS,6.82,3.23,2.35,0.94,0.30,PlayStation
The Last of Us Remastered    ,PS4,6.77,2.70,2.86,0.11,1.10,PlayStation 4
Zumba Fitness    ,Wii,6.76,3.47,2.62,N/A,0.67,Wii
Gears of War 2    ,X360,6.75,4.15,1.91,0.06,0.64,Xbox 360
Uncharted 2: Among Thieves    ,PS3,6.74,3.28,2.22,0.21,1.02,PlayStation 3
Call of Duty 4: Modern Warfare    ,PS3,6.72,3.13,2.27,0.28,1.04,PlayStation 3
FIFA Soccer 12    ,PS3,6.65,0.84,4.33,0.11,1.37,PlayStation 3
Big Brain Academy    ,DS,6.63,1.66,2.75,1.60,0.62,DS
FIFA 14    ,PS3,6.61,0.79,4.77,0.07,0.98,PlayStation 3
Red Dead Redemption    ,PS3,6.57,2.82,2.58,0.17,1.00,PlayStation 3
The Legend of Zelda    ,NES,6.51,3.74,0.93,1.69,0.14,NES
Donkey Kong Country Returns    ,Wii,6.50,3.19,1.81,1.03,0.47,Wii
Assassin's Creed III    ,PS3,6.50,2.65,2.61,0.16,1.08,PlayStation 3
Red Dead Redemption    ,X360,6.50,3.77,2.03,0.09,0.60,Xbox 360
The Elder Scrolls V: Skyrim    ,PS3,6.49,2.57,2.68,0.25,0.99,PlayStation 3
Halo: Combat Evolved    ,XB,6.43,4.98,1.30,0.08,0.07,Xbox
Pokémon Emerald Version    ,GBA,6.41,2.57,1.58,2.06,0.21,GBA
Kingdom Hearts    ,PS2,6.40,3.64,1.20,1.49,0.07,PlayStation 2
Pokémon Crystal Version    ,GBC,6.39,2.55,1.56,1.29,0.99,GBC
World of Warcraft    ,PC,6.35,0.12,6.24,N/A,N/A,PC
Halo 3: ODST    ,X360,6.35,4.34,1.34,0.06,0.61,Xbox 360
Minecraft    ,PS4,6.33,1.89,3.13,0.35,0.96,PlayStation 4
FIFA 15    ,PS4,6.32,0.83,4.49,0.05,0.94,PlayStation 4
