title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Star Wars The Clone Wars: Jedi Alliance    ,DS,0.78,0.61,0.11,N/A,0.06,DS
Marvel vs. Capcom: Clash of Super Heroes    ,PS,0.78,0.43,0.30,N/A,0.05,PlayStation
Drawn to Life    ,DS,0.78,0.71,0.01,N/A,0.06,DS
Battle Stations    ,PS,0.78,0.43,0.29,N/A,0.05,PlayStation
Rayman Origins    ,X360,0.78,0.38,0.32,N/A,0.08,Xbox 360
Goldeneye 007: Reloaded    ,PS3,0.78,0.33,0.33,N/A,0.12,PlayStation 3
F1 2016    ,PS4,0.78,0.07,0.56,0.03,0.11,PlayStation 4
Rare Replay    ,XOne,0.78,0.42,0.27,0.01,0.07,Xbox One
Need for Speed: ProStreet    ,PSP,0.78,0.24,0.33,0.01,0.19,PSP
NBA 2K7    ,PS2,0.78,0.65,0.02,N/A,0.11,PlayStation 2
Torneko no Daibouken: Fushigi no Dungeon    ,SNES,0.78,N/A,N/A,0.78,N/A,SNES
Jr. Pac-Man    ,2600,0.78,0.72,0.05,N/A,0.01,2600
James Bond 007: Nightfire    ,GC,0.78,0.60,0.16,N/A,0.02,GameCube
Mass Effect: Andromeda    ,XOne,0.78,0.50,0.20,N/A,0.07,Xbox One
Hitman    ,PS4,0.78,0.24,0.36,0.06,0.11,PlayStation 4
Dragon Age: Inquisition    ,PC,0.78,0.38,0.33,N/A,0.07,PC
NBA ShootOut 98    ,PS,0.78,0.43,0.29,N/A,0.05,PlayStation
ABBA: You Can Dance    ,Wii,0.77,0.18,0.50,N/A,0.10,Wii
Prototype 2    ,PS3,0.77,0.38,0.28,N/A,0.11,PlayStation 3
Galaxian    ,2600,0.77,0.72,0.05,N/A,0.01,2600
Worms: Open Warfare    ,PSP,0.77,0.11,0.43,N/A,0.23,PSP
Minecraft: Story Mode    ,XOne,0.77,0.46,0.24,N/A,0.07,Xbox One
Puzzler World    ,DS,0.77,0.41,0.30,N/A,0.07,DS
Lips    ,X360,0.77,0.12,0.56,N/A,0.10,Xbox 360
Andretti Racing    ,PS,0.77,0.43,0.29,N/A,0.05,PlayStation
Caesars Palace 2000: Millennium Gold Edition    ,PS,0.77,0.43,0.29,N/A,0.05,PlayStation
UFC Personal Trainer: The Ultimate Fitness System    ,X360,0.77,0.53,0.18,N/A,0.06,Xbox 360
Air Raid    ,2600,0.77,0.72,0.04,N/A,0.01,2600
Perfect Dark Zero    ,X360,0.77,0.66,0.02,0.03,0.06,Xbox 360
Marvel Nemesis: Rise of the Imperfects    ,PS2,0.77,0.64,0.02,N/A,0.10,PlayStation 2
Boxing    ,2600,0.77,0.72,0.04,N/A,0.01,2600
Resident Evil: Operation Raccoon City    ,X360,0.77,0.55,0.14,0.03,0.06,Xbox 360
Need for Speed: Porsche Unleashed    ,PS,0.77,0.43,0.29,N/A,0.05,PlayStation
Ghost Squad     ,Wii,0.77,0.42,0.21,0.08,0.07,Wii
Star Wars Battlefront: Elite Squadron    ,PSP,0.77,0.38,0.24,N/A,0.16,PSP
James Cameron's Avatar: The Game    ,X360,0.77,0.34,0.35,N/A,0.08,Xbox 360
Crystal Castles    ,2600,0.77,0.72,0.04,N/A,0.01,2600
Conker's Bad Fur Day    ,N64,0.77,0.53,0.22,N/A,0.02,Nintendo 64
Fortnite    ,XOne,0.77,0.60,0.09,N/A,0.08,Xbox One
Dragon Warrior I&II    ,GB,0.77,N/A,N/A,0.77,N/A,Game Boy Advance
Star Wars Episode II: Attack of the Clones    ,GBA,0.77,0.55,0.20,N/A,0.01,GBA
The Sims 3    ,3DS,0.77,0.30,0.38,0.03,0.07,3DS
Twisted Metal: Head On    ,PSP,0.77,0.71,0.00,N/A,0.06,PSP
Tetris Party Deluxe    ,DS,0.77,0.28,0.30,0.12,0.07,DS
Dragon Ball: Raging Blast    ,PS3,0.77,0.37,0.19,0.11,0.10,PlayStation 3
Need for Speed: Undercover    ,PSP,0.77,0.23,0.32,0.03,0.19,PSP
Conflict: Desert Storm II - Back to Bagdhad    ,PS2,0.77,0.38,0.29,N/A,0.10,PlayStation 2
Maximo: Ghosts to Glory    ,PS2,0.77,0.38,0.29,N/A,0.10,PlayStation 2
Battlefield 1    ,PC,0.77,0.30,0.41,N/A,0.06,PC
Donkey Kong Country 3    ,GBA,0.77,0.45,0.17,0.14,0.01,GBA
All-Star Baseball 2003    ,PS2,0.77,0.38,0.29,N/A,0.10,PlayStation 2
Persona 4 Arena    ,PS3,0.77,0.32,0.12,0.24,0.08,PlayStation 3
Unlimited Saga    ,PS2,0.77,0.10,0.08,0.56,0.03,PlayStation 2
Pokémon Dash    ,DS,0.77,0.21,0.14,0.38,0.04,DS
Sonic & SEGA All-Stars Racing with Banjo-Kazooie    ,X360,0.77,0.37,0.32,N/A,0.07,Xbox 360
My Baby Girl    ,DS,0.76,0.61,0.09,N/A,0.06,DS
Lego Marvel Super Heroes    ,WiiU,0.76,0.31,0.36,0.03,0.06,Wii U
FIFA Soccer 12    ,Wii,0.76,0.15,0.51,N/A,0.10,Wii
Cabela's Deer Hunt: 2004 Season    ,PS2,0.76,0.37,0.29,N/A,0.10,PlayStation 2
Sonic Unleashed    ,PS2,0.76,0.37,0.04,N/A,0.36,PlayStation 2
Formula 1    ,PS,0.76,0.18,0.12,0.42,0.05,PlayStation
Resident Evil: Revelations    ,PS3,0.76,0.14,0.32,0.22,0.09,PlayStation 3
Pro Evolution Soccer 2015    ,PS4,0.76,0.09,0.45,0.12,0.10,PlayStation 4
Banjo-Kazooie: Nuts & Bolts    ,X360,0.76,0.32,0.35,0.00,0.08,Xbox 360
Metroid Prime Hunters    ,DS,0.76,0.57,0.04,0.11,0.06,DS
Driv3r    ,XB,0.76,0.36,0.38,N/A,0.03,Xbox
Mercenaries: Playground of Destruction    ,PS2,0.76,0.64,0.02,N/A,0.10,PlayStation 2
MTV Celebrity Deathmatch    ,PS2,0.76,0.37,0.29,N/A,0.10,PlayStation 2
Street Fighter Alpha: Warriors' Dreams    ,PS,0.76,0.17,0.11,0.43,0.05,PlayStation
ISS Pro Evolution    ,PS,0.76,N/A,N/A,0.71,0.05,PlayStation
Just Dance 2019    ,NS,0.76,0.43,0.26,N/A,0.07,Switch
Persona Q: Shadow of the Labyrinth    ,3DS,0.76,0.37,0.07,0.27,0.05,3DS
Band Hero    ,PS3,0.76,0.41,0.23,N/A,0.12,PlayStation 3
Duke Nukem Forever    ,PS3,0.76,0.33,0.31,N/A,0.11,PlayStation 3
Final Fantasy II    ,NES,0.76,N/A,N/A,0.76,N/A,NES
Tony Hawk's Pro Skater 2    ,N64,0.76,0.59,0.16,N/A,0.01,Nintendo 64
Taiko no Tatsujin: Tatakon de Dodon ga Don    ,PS2,0.76,N/A,N/A,0.76,N/A,PlayStation 2
Mega Man Battle Network 6: Cybeast Falzar / Gregar    ,GBA,0.76,0.09,0.03,0.62,0.02,GBA
Toy Story 3: The Video Game    ,X360,0.76,0.41,0.27,N/A,0.07,Xbox 360
Just Dance 2018    ,NS,0.76,0.30,0.40,N/A,0.06,Switch
Syphon Filter: The Omega Strain    ,PS2,0.76,0.37,0.29,N/A,0.10,PlayStation 2
FIFA Soccer 11    ,PS2,0.76,0.11,0.29,N/A,0.36,PlayStation 2
PokéPark 2: Wonders Beyond    ,Wii,0.76,0.26,0.19,0.27,0.04,Wii
SoulCalibur V    ,PS3,0.76,0.35,0.24,0.07,0.09,PlayStation 3
Mortal Kombat: Deception    ,XB,0.76,0.61,0.12,N/A,0.03,Xbox
That's So Raven    ,GBA,0.76,0.54,0.20,N/A,0.01,GBA
Marvel vs. Capcom 2    ,PS2,0.76,0.31,0.24,0.13,0.08,PlayStation 2
Assassin's Creed: Revelations    ,PC,0.76,0.16,0.49,N/A,0.11,PC
Harry Potter and the Half-Blood Prince    ,Wii,0.76,0.28,0.40,N/A,0.08,Wii
Lost Planet 2    ,X360,0.76,0.38,0.24,0.08,0.06,Xbox 360
Legends of Wrestling    ,PS2,0.76,0.37,0.29,N/A,0.10,PlayStation 2
True Crime: New York City    ,PS2,0.76,0.57,0.02,0.07,0.09,PlayStation 2
The Walking Dead: A Telltale Games Series    ,X360,0.76,0.55,0.13,N/A,0.07,Xbox 360
Kane & Lynch: Dead Men    ,X360,0.76,0.36,0.31,0.01,0.08,Xbox 360
Quantum Break    ,XOne,0.76,0.42,0.25,0.02,0.07,Xbox One
Final Fantasy Legend III    ,GB,0.76,N/A,N/A,0.76,N/A,Game Boy Advance
Super Monkey Ball: Touch & Roll    ,DS,0.76,0.69,0.00,N/A,0.06,DS
Dark Souls II    ,X360,0.75,0.49,0.19,0.01,0.07,Xbox 360
Wall-E    ,PS2,0.75,0.21,0.00,N/A,0.54,PlayStation 2
Ratchet & Clank Collection    ,PS3,0.75,0.47,0.14,0.02,0.12,PlayStation 3
Wolfenstein: The New Order    ,XOne,0.75,0.39,0.30,N/A,0.06,Xbox One
LEGO City Undercover    ,PS4,0.75,0.17,0.46,0.01,0.12,PlayStation 4
Genji: Days of the Blade    ,PS3,0.75,0.18,0.38,0.06,0.14,PlayStation 3
Mega Man X5    ,PS,0.75,0.30,0.21,0.20,0.05,PlayStation
Drawn to Life: The Next Chapter    ,Wii,0.75,0.28,0.39,N/A,0.08,Wii
Pro Evolution Soccer 2018    ,PS4,0.75,0.12,0.36,0.19,0.09,PlayStation 4
Fire Emblem Echoes: Shadows of Valentia    ,3DS,0.75,0.34,0.16,0.21,0.05,3DS
We Sing    ,Wii,0.75,N/A,0.68,N/A,0.08,Wii
Rockstar Games presents Table Tennis    ,X360,0.75,0.28,0.38,N/A,0.08,Xbox 360
WWE SmackDown vs. Raw 2009    ,PSP,0.75,0.41,0.20,N/A,0.14,PSP
Disney Infinity 2.0: Marvel Super Heroes    ,PS4,0.75,0.37,0.25,N/A,0.13,PlayStation 4
Kane & Lynch: Dead Men    ,PS3,0.75,0.29,0.32,0.01,0.13,PlayStation 3
Portal 2    ,PC,0.75,0.33,0.33,N/A,0.10,PC
Deer Drive    ,Wii,0.75,0.66,0.04,N/A,0.05,Wii
Pro Evolution Soccer 2017    ,PS4,0.75,0.08,0.41,0.18,0.09,PlayStation 4
Shark Tale    ,PS2,0.75,0.37,0.29,N/A,0.10,PlayStation 2
San Francisco Rush: Extreme Racing    ,N64,0.75,0.63,0.11,N/A,0.01,Nintendo 64
Zone of the Enders    ,PS2,0.75,0.30,0.24,0.13,0.08,PlayStation 2
Raving Rabbids: Travel in Time    ,Wii,0.75,0.21,0.46,N/A,0.08,Wii
Borderlands: The Pre-Sequel    ,X360,0.75,0.48,0.19,0.01,0.07,Xbox 360
Rock Band 4    ,XOne,0.75,0.62,0.05,N/A,0.08,Xbox One
Street Fighter EX Plus Alpha    ,PS,0.75,0.28,0.19,0.23,0.05,PlayStation
Coded Arms    ,PSP,0.75,0.28,0.29,N/A,0.17,PSP
Style Savvy: Trendsetters    ,3DS,0.75,0.16,0.03,0.54,0.02,3DS
FIFA 19    ,NS,0.75,0.18,0.47,0.06,0.05,Switch
Need for Speed: Shift    ,PSP,0.75,0.16,0.38,0.01,0.21,PSP
Tony Hawk's Underground 2    ,XB,0.75,0.48,0.24,N/A,0.03,Xbox
Madden NFL 06    ,PSP,0.75,0.69,0.00,N/A,0.06,PSP
Skylanders: Trap Team    ,WiiU,0.75,0.42,0.26,N/A,0.07,Wii U
Capcom vs. SNK 2: Mark of the Millennium 2001     ,PS2,0.75,0.22,0.17,0.30,0.06,PlayStation 2
MVP 06 NCAA Baseball    ,PS2,0.75,0.62,0.02,N/A,0.10,PlayStation 2
Just Dance 2015    ,WiiU,0.75,0.40,0.29,N/A,0.07,Wii U
Tom Clancy's Rainbow Six: Vegas    ,PSP,0.75,0.42,0.20,N/A,0.13,PSP
Final Fantasy Tactics A2: Grimoire of the Rift    ,DS,0.75,0.38,0.03,0.30,0.04,DS
The Lord of the Rings: Conquest    ,PS3,0.75,0.38,0.26,N/A,0.11,PlayStation 3
Spectrobes    ,DS,0.75,0.66,0.03,N/A,0.06,DS
Turok    ,X360,0.75,0.46,0.20,0.01,0.07,Xbox 360
Jump Ultimate Stars    ,DS,0.74,N/A,N/A,0.74,N/A,DS
Jampack Summer 2001    ,PS2,0.74,0.36,0.28,N/A,0.10,PlayStation 2
Mortal Kombat: Unchained    ,PSP,0.74,0.67,0.01,N/A,0.06,PSP
Burnout    ,PS2,0.74,0.36,0.28,N/A,0.10,PlayStation 2
Ace Combat: Assault Horizon    ,PS3,0.74,0.30,0.16,0.22,0.07,PlayStation 3
The Godfather II    ,PS3,0.74,0.41,0.21,0.01,0.10,PlayStation 3
Sniper Elite III    ,PS4,0.74,0.25,0.37,N/A,0.12,PlayStation 4
Sega Superstars Tennis    ,DS,0.74,0.29,0.37,N/A,0.08,DS
Yu-Gi-Oh! Dungeon Dice Monsters    ,GBA,0.74,0.42,0.16,0.15,0.01,GBA
Red Faction: Guerrilla    ,PS3,0.74,0.33,0.27,0.02,0.12,PlayStation 3
Midnight Club 3: DUB Edition    ,XB,0.74,0.61,0.10,N/A,0.03,Xbox
X-Men Origins: Wolverine - Uncaged Edition    ,PS3,0.74,0.31,0.31,N/A,0.12,PlayStation 3
Madagascar: Escape 2 Africa    ,DS,0.74,0.41,0.25,N/A,0.08,DS
The Lord of the Rings: The Two Towers    ,GBA,0.74,0.53,0.20,N/A,0.01,GBA
Tiger Woods PGA Tour 2001    ,PS2,0.74,0.36,0.28,N/A,0.09,PlayStation 2
Need for Speed (2015)    ,XOne,0.74,0.35,0.33,N/A,0.06,Xbox One
Jet Moto 3    ,PS,0.74,0.41,0.28,N/A,0.05,PlayStation
Unreal Championship    ,XB,0.74,0.59,0.12,N/A,0.03,Xbox
WarioWare: Twisted!    ,GBA,0.74,0.16,0.06,0.50,0.02,GBA
Tales of Vesperia    ,X360,0.74,0.32,0.18,0.19,0.05,Xbox 360
Resonance of Fate    ,PS3,0.74,0.20,0.22,0.24,0.08,PlayStation 3
Sonic Forces    ,NS,0.74,0.39,0.27,0.01,0.06,Switch
Namco Museum Remix    ,Wii,0.74,0.68,0.00,N/A,0.05,Wii
The Amazing Spider-Man (2012)    ,X360,0.74,0.43,0.24,N/A,0.07,Xbox 360
Naruto Shippuden: Ultimate Ninja Storm Generations    ,PS3,0.74,0.27,0.25,0.14,0.09,PlayStation 3
Marvel: Ultimate Alliance 2    ,PS3,0.74,0.49,0.16,N/A,0.09,PlayStation 3
Harvest Moon: Animal Parade     ,Wii,0.74,0.58,0.08,0.02,0.05,Wii
Sword of Mana    ,GBA,0.74,0.31,0.11,0.30,0.02,GBA
Pirates of the Caribbean: At World's End    ,PS3,0.73,0.17,0.41,N/A,0.15,PlayStation 3
Tiger Woods PGA Tour 08    ,PS3,0.73,0.22,0.38,N/A,0.14,PlayStation 3
Brink    ,PS3,0.73,0.29,0.32,0.01,0.12,PlayStation 3
Split/Second    ,PS3,0.73,0.31,0.30,0.01,0.11,PlayStation 3
FIFA: Road to World Cup 98    ,PS,0.73,0.14,0.09,0.46,0.05,PlayStation
Crysis 2    ,PC,0.73,0.16,0.45,N/A,0.12,PC
Dragon Ball Z: Ultime Menace    ,SNES,0.73,N/A,N/A,0.73,N/A,SNES
iCarly    ,DS,0.73,0.67,0.01,N/A,0.05,DS
Final Fantasy XIII-2    ,X360,0.73,0.36,0.29,0.02,0.06,Xbox 360
Classic NES Series: Donkey Kong    ,GBA,0.73,0.40,0.15,0.17,0.01,GBA
The Sims 4    ,XOne,0.73,0.42,0.24,N/A,0.07,Xbox One
My Little Pony: Pinkie Pie's Party    ,DS,0.73,0.67,N/A,N/A,0.06,DS
MLB 10: The Show    ,PS3,0.73,0.67,N/A,N/A,0.06,PlayStation 3
WWE SmackDown vs. Raw 2010    ,Wii,0.73,0.49,0.17,N/A,0.06,Wii
Yoshi    ,GB,0.73,N/A,N/A,0.73,N/A,Game Boy Advance
Mortal Kombat 4    ,N64,0.73,0.55,0.17,N/A,0.01,Nintendo 64
Need for Speed: Payback    ,XOne,0.73,0.42,0.24,N/A,0.07,Xbox One
Croc 2    ,PS,0.73,0.41,0.28,N/A,0.05,PlayStation
NHL 11    ,X360,0.73,0.61,0.07,N/A,0.05,Xbox 360
Practise English!    ,DS,0.73,N/A,N/A,0.73,N/A,DS
MLB 14 The Show    ,PS4,0.73,0.59,N/A,N/A,0.14,PlayStation 4
Oddworld: Munch's Oddysee    ,XB,0.73,0.54,0.16,N/A,0.03,Xbox
Just Dance Wii    ,Wii,0.73,N/A,N/A,0.73,N/A,Wii
Berzerk    ,2600,0.73,0.68,0.04,N/A,0.01,2600
Madden NFL 11    ,Wii,0.73,0.68,N/A,N/A,0.05,Wii
NCAA Football 07    ,X360,0.73,0.67,N/A,N/A,0.06,Xbox 360
Dead Rising 4    ,XOne,0.73,0.41,0.25,N/A,0.06,Xbox One
Full Spectrum Warrior    ,XB,0.73,0.54,0.16,N/A,0.03,Xbox
Star Ocean: The Last Hope International    ,PS3,0.73,0.28,0.15,0.22,0.07,PlayStation 3
Katamari Damacy    ,PS2,0.73,0.47,0.02,0.17,0.08,PlayStation 2
Beyblade VForce: Ultimate Blader Jam    ,GBA,0.73,0.52,0.19,N/A,0.01,GBA
Monopoly Streets    ,Wii,0.73,0.23,0.42,N/A,0.07,Wii
God Eater    ,PSP,0.73,N/A,0.00,0.72,0.00,PSP
Shaun Palmer's Pro Snowboarder    ,PS2,0.73,0.36,0.28,N/A,0.09,PlayStation 2
Harvest Moon DS: Island of Happiness    ,DS,0.72,0.43,0.01,0.25,0.04,DS
James Bond 007: Agent Under Fire    ,GC,0.72,0.56,0.15,N/A,0.02,GameCube
Indiana Jones and the Staff of Kings    ,Wii,0.72,0.36,0.29,N/A,0.07,Wii
Star Wars Episode III: Revenge of the Sith    ,GBA,0.72,0.52,0.19,N/A,0.01,GBA
Ultimate Spider-Man    ,PS2,0.72,0.60,0.02,N/A,0.10,PlayStation 2
Imagine: Interior Designer    ,DS,0.72,0.34,0.31,N/A,0.08,DS
XCOM: Enemy Unknown    ,PC,0.72,0.28,0.37,N/A,0.07,PC
Monster Hunter Generations Ultimate    ,NS,0.72,0.27,0.14,0.27,0.04,Switch
WipEout Omega Collection    ,PS4,0.72,0.12,0.49,N/A,0.11,PlayStation 4
Rabbids Go Home    ,DS,0.72,0.35,0.30,N/A,0.07,DS
SD Gundam G Generation    ,PS,0.72,N/A,N/A,0.67,0.05,PlayStation
Area 51    ,PS,0.72,0.40,0.27,N/A,0.05,PlayStation
NBA Live 08    ,PS2,0.72,0.59,0.02,0.01,0.10,PlayStation 2
Dead to Rights    ,XB,0.72,0.53,0.17,N/A,0.03,Xbox
MLB 09: The Show    ,PS3,0.72,0.66,N/A,N/A,0.06,PlayStation 3
Tiger Woods PGA Tour 07    ,PS2,0.72,0.60,0.02,N/A,0.10,PlayStation 2
Test Drive 6    ,PS,0.72,0.40,0.27,N/A,0.05,PlayStation
Major League Baseball 2K7    ,X360,0.72,0.67,N/A,N/A,0.06,Xbox 360
Kouchuu Ouja Mushi King    ,GBA,0.72,N/A,N/A,0.70,0.02,GBA
Kirby: Canvas Curse    ,DS,0.72,0.36,0.00,0.32,0.03,DS
X-Men: Mutant Academy 2    ,PS,0.72,0.40,0.27,N/A,0.05,PlayStation
Madden NFL 10    ,Wii,0.72,0.62,0.04,N/A,0.06,Wii
Jampack Winter 2001    ,PS2,0.72,0.35,0.28,N/A,0.09,PlayStation 2
Kangaroo    ,2600,0.72,0.67,0.04,N/A,0.01,2600
Ben 10: Protector of Earth    ,PSP,0.72,0.23,0.31,N/A,0.18,PSP
NBA Live 09    ,X360,0.72,0.51,0.14,0.00,0.07,Xbox 360
The LEGO Movie Videogame    ,3DS,0.72,0.28,0.33,0.05,0.05,3DS
LEGO Dimensions    ,XOne,0.72,0.47,0.18,N/A,0.07,Xbox One
Blur    ,PS3,0.72,0.22,0.37,0.02,0.12,PlayStation 3
Super Monkey Ball Jr.    ,GBA,0.72,0.51,0.19,N/A,0.01,GBA
James Cameron's Avatar: The Game    ,Wii,0.72,0.32,0.32,N/A,0.07,Wii
Battlefield: Bad Company 2    ,PC,0.72,0.19,0.53,N/A,N/A,PC
Mobile Suit Gundam: Encounters in Space    ,PS2,0.72,0.05,0.04,0.61,0.01,PlayStation 2
F1 2011    ,X360,0.72,0.11,0.50,0.01,0.09,Xbox 360
Mx vs. ATV Reflex    ,X360,0.72,0.52,0.14,N/A,0.06,Xbox 360
The Sims 2: Castaway    ,DS,0.72,0.62,0.04,N/A,0.05,DS
Deus Ex: Mankind Divided    ,PS4,0.72,0.25,0.34,0.01,0.12,PlayStation 4
Fear Effect    ,PS,0.72,0.40,0.27,N/A,0.05,PlayStation
The Lord of the Rings: The Two Towers    ,XB,0.71,0.45,0.24,N/A,0.03,Xbox
Madden NFL 2003    ,XB,0.71,0.67,0.02,N/A,0.03,Xbox
Skate    ,X360,0.71,0.62,0.03,0.00,0.06,Xbox 360
Mortal Kombat (2011)    ,PSV,0.71,0.42,0.15,N/A,0.15,PlayStation Vita
DiRT 3    ,X360,0.71,0.23,0.40,0.01,0.07,Xbox 360
Virtua Fighter 4: Evolution    ,PS2,0.71,0.35,0.27,N/A,0.09,PlayStation 2
Resident Evil: Survivor    ,PS,0.71,0.23,0.15,0.29,0.05,PlayStation
The Crew    ,XOne,0.71,0.32,0.34,N/A,0.06,Xbox One
Astro Bot Rescue Mission    ,PS4,0.71,0.22,0.36,0.02,0.11,PlayStation 4
Super Trucks Racing    ,PS2,0.71,0.35,0.27,N/A,0.09,PlayStation 2
SoulCalibur VI    ,PS4,0.71,0.44,0.11,0.04,0.12,PlayStation 4
Godzilla: Destroy All Monsters Melee    ,GC,0.71,0.55,0.14,N/A,0.02,GameCube
Jeremy McGrath Supercross 2000    ,PS,0.71,0.40,0.27,N/A,0.05,PlayStation
Crysis    ,PC,0.71,N/A,0.69,N/A,0.02,PC
Conker: Live And Reloaded    ,XB,0.71,0.49,0.20,N/A,0.02,Xbox
Silent Hill 3    ,PS2,0.71,0.35,0.27,N/A,0.09,PlayStation 2
Yu-Gi-Oh! The Falsebound Kingdom    ,GC,0.71,0.49,0.13,0.07,0.02,GameCube
The LEGO Movie Videogame    ,PS4,0.71,0.26,0.32,0.01,0.11,PlayStation 4
Madden NFL 08    ,PSP,0.71,0.60,0.04,N/A,0.07,PSP
Spyro: Enter the Dragonfly    ,GC,0.71,0.55,0.14,N/A,0.02,GameCube
Scooby-Doo 2: Monsters Unleashed    ,GBA,0.71,0.51,0.19,N/A,0.01,GBA
Power Rangers: Dino Thunder    ,PS2,0.71,0.35,0.27,N/A,0.09,PlayStation 2
Blast Corps    ,N64,0.71,0.39,0.09,0.17,0.06,Nintendo 64
LEGO Racers    ,N64,0.71,0.51,0.18,N/A,0.01,Nintendo 64
WWF Attitude    ,N64,0.71,0.57,0.13,N/A,0.01,Nintendo 64
Tactics Ogre: Let Us Cling Together    ,SNES,0.71,N/A,N/A,0.71,0.00,SNES
Madden NFL 09    ,PSP,0.71,0.65,0.00,N/A,0.06,PSP
Monster Hunter 3 Ultimate    ,WiiU,0.71,0.24,0.20,0.22,0.04,Wii U
"WarioWare, Inc.: Mega Party Game$    ",GC,0.71,0.20,0.05,0.44,0.02,GameCube
SSX    ,X360,0.71,0.38,0.26,0.00,0.06,Xbox 360
Battle Arena Toshinden 2    ,PS,0.71,0.15,0.10,0.41,0.05,PlayStation
Dynasty Warriors 6    ,PS3,0.71,0.18,0.07,0.41,0.04,PlayStation 3
LEGO Harry Potter: Years 1-4    ,PSP,0.71,0.14,0.38,N/A,0.19,PSP
Jeopardy!    ,PS,0.71,0.39,0.27,N/A,0.05,PlayStation
South Park    ,PS,0.71,0.39,0.27,N/A,0.05,PlayStation
Catherine    ,PS3,0.71,0.30,0.15,0.20,0.06,PlayStation 3
NCAA Football 09     ,X360,0.71,0.65,N/A,N/A,0.05,Xbox 360
Doom 3: Resurrection of Evil    ,XB,0.71,0.53,0.15,N/A,0.03,Xbox
Plants vs Zombies: Garden Warfare    ,XOne,0.71,0.39,0.25,0.00,0.06,Xbox One
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors    ,Wii,0.71,0.18,0.01,0.50,0.02,Wii
LEGO Batman 2: DC Super Heroes    ,DS,0.71,0.39,0.25,N/A,0.06,DS
Two Worlds    ,X360,0.70,0.41,0.22,N/A,0.07,Xbox 360
Spider-Man 2     ,PSP,0.70,0.35,0.21,N/A,0.14,PSP
WWE SmackDown vs. Raw 2011    ,PSP,0.70,0.22,0.31,N/A,0.17,PSP
Ace Attorney Investigations: Miles Edgeworth    ,DS,0.70,0.23,0.14,0.30,0.04,DS
Tony Hawk's Underground    ,GC,0.70,0.54,0.14,N/A,0.02,GameCube
FIFA Soccer 11    ,DS,0.70,0.13,0.49,N/A,0.08,DS
Super Bomberman 3    ,SNES,0.70,N/A,N/A,0.70,0.00,SNES
NCAA Football 08    ,X360,0.70,0.65,N/A,N/A,0.05,Xbox 360
Command & Conquer: Red Alert Retaliation    ,PS,0.70,0.39,0.27,N/A,0.05,PlayStation
Star Wars: Obi-Wan    ,XB,0.70,0.52,0.16,N/A,0.02,Xbox
Disney Infinity 2.0: Marvel Super Heroes    ,WiiU,0.70,0.41,0.22,N/A,0.06,Wii U
Kill.Switch    ,PS2,0.70,0.34,0.27,N/A,0.09,PlayStation 2
Skylanders: Trap Team    ,PS3,0.70,0.28,0.30,N/A,0.12,PlayStation 3
Madden NFL 2005    ,GC,0.70,0.54,0.14,N/A,0.02,GameCube
Infinite Undiscovery    ,X360,0.70,0.34,0.18,0.12,0.06,Xbox 360
F-14 Tomcat    ,GBA,0.70,0.50,0.19,N/A,0.01,GBA
SplashDown    ,PS2,0.70,0.34,0.27,N/A,0.09,PlayStation 2
NCAA Football 98    ,PS,0.70,0.39,0.27,N/A,0.05,PlayStation
Mario & Sonic at the Rio 2016 Olympic Games    ,3DS,0.70,0.10,0.29,0.28,0.03,3DS
RIFT    ,PC,0.70,0.47,0.16,N/A,0.08,PC
Need for Speed Rivals    ,XOne,0.70,0.45,0.19,N/A,0.07,Xbox One
Jade Empire    ,XB,0.70,0.48,0.19,N/A,0.03,Xbox
Chocobo's Dungeon 2    ,PS,0.70,0.04,0.03,0.58,0.05,PlayStation
Hannah Montana: The Movie    ,DS,0.70,0.38,0.25,N/A,0.07,DS
NHL 12    ,X360,0.70,0.55,0.10,N/A,0.05,Xbox 360
Advance Wars    ,GBA,0.70,0.50,0.19,N/A,0.01,GBA
Marvel vs. Capcom: Infinite    ,PS4,0.70,0.36,0.19,0.04,0.11,PlayStation 4
Ape Escape: On the Loose    ,PSP,0.70,0.52,0.01,0.12,0.05,PSP
NASCAR 2001    ,PS2,0.70,0.34,0.27,N/A,0.09,PlayStation 2
Wolfenstein II: The New Colossus    ,XOne,0.70,0.45,0.19,N/A,0.07,Xbox One
NCAA Football 2001    ,PS,0.70,0.39,0.26,N/A,0.05,PlayStation
James Bond 007: Blood Stone    ,PS3,0.70,0.18,0.37,0.02,0.12,PlayStation 3
MLB 08: The Show    ,PS3,0.70,0.64,N/A,N/A,0.05,PlayStation 3
Transformers: Revenge of the Fallen    ,PS3,0.70,0.28,0.30,N/A,0.12,PlayStation 3
Metal Gear Solid HD Collection    ,X360,0.70,0.42,0.22,N/A,0.06,Xbox 360
Mafia    ,PS2,0.70,0.34,0.27,N/A,0.09,PlayStation 2
Mobile Suit Gundam: Journey to Jaburo    ,PS2,0.70,0.16,0.13,0.36,0.04,PlayStation 2
The Sims: Medieval    ,PC,0.70,0.29,0.32,N/A,0.09,PC
Monster Hunter Stories    ,3DS,0.70,0.14,0.15,0.39,0.03,3DS
TimeSplitters 2    ,PS2,0.70,0.34,0.27,N/A,0.09,PlayStation 2
