title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Tom Clancy's Splinter Cell,GameCube,Nintendo,5,action,2003,Ubisoft,Ubisoft,8.9,0.23,0.18,0.05,0,0.01
The Incredible Hulk: Ultimate Destruction,Xbox,Microsoft,3,action,2005,VU Games,Radical Entertainment,8.4,0.23,0.17,0.05,0,0.01
Looney Tunes: Acme Arsenal,Wii,Nintendo,3,action,2007,Warner Bros. Interactive,Red Tribe,2.7,0.23,0.21,0.01,0,0.02
Mafia,Xbox,Microsoft,3,action,2004,Gathering of Developers,Illusion Softworks,6.6,0.23,0.17,0.05,0,0.01
The Suffering,Xbox,Microsoft,2,action,2004,Midway Games,Surreal Software,7.7,0.22,0.16,0.05,0,0.01
Viewtiful Joe 2,GameCube,Nintendo,2,action,2004,Capcom,Clover Studio,8.6,0.22,0.17,0.04,0,0.01
LEGO Harry Potter Collection,Xbox One,Microsoft,3,action,2018,Warner Bros. Interactive Entertainment,Traveller's Tales,7.3,0.22,0.14,0.06,0,0.02
Ben 10 Alien Force: Vilgax Attacks,Xbox 360,Microsoft,1,action,2009,D3 Publisher,Papaya Studio Corporation,6.1,0.22,0.11,0.09,0,0.02
Rampage: Total Destruction,Wii,Nintendo,3,action,2006,Midway Games,"Pipeworks Software, Inc.",4.6,0.21,0.19,0.01,0,0.02
Tenchu: Return From Darkness,Xbox,Microsoft,1,action,2004,Activision,K2 LLC,7,0.21,0.16,0.05,0,0.01
Batman Begins,Xbox,Microsoft,4,action,2005,Electronic Arts,Eurocom Entertainment Software,6.5,0.21,0.16,0.04,0,0.01
Way of the Samurai 3,Xbox 360,Microsoft,2,action,2009,UFO Interactive,Acquire,5.5,0.21,0.12,0.05,0.02,0.02
JSRF: Jet Set Radio Future,Xbox,Microsoft,1,action,2002,Sega,Smilebit,8.8,0.21,0.13,0.04,0.03,0.01
Zone of the Enders HD Collection,Xbox 360,Microsoft,2,action,2012,Konami Digital Entertainment,Kojima Productions,7.5,0.21,0.15,0.03,0.01,0.02
From Russia With Love,Xbox,Microsoft,2,action,2005,Electronic Arts,EA Redwood Shores,7.1,0.2,0.15,0.04,0,0.01
Shark Tale,Xbox,Microsoft,4,action,2004,Activision,Edge of Reality,6.7,0.2,0.15,0.04,0,0.01
X-Men Origins: Wolverine,DS,Nintendo,3,action,2009,Activision,Griptonite Games,5.5,0.2,0.15,0.03,0,0.02
Warriors Orochi,Xbox 360,Microsoft,3,action,2007,KOEI,Omega Force,5.3,0.2,0.17,0.01,0,0.02
Dishonored: Definitive Edition,Xbox One,Microsoft,2,action,2015,Bethesda Softworks,Arkane Studios,7.6,0.19,0.13,0.05,0,0.02
Spider-Man: Shattered Dimensions,DS,Nintendo,4,action,2010,Activision,Beenox Studios,7.3,0.19,0.17,0.01,0,0.01
Silent Hill HD Collection,Xbox 360,Microsoft,2,action,2012,Konami Digital Entertainment,Konami,6.9,0.19,0.11,0.06,0.01,0.02
Remember Me,Xbox 360,Microsoft,2,action,2013,Capcom,DONTNOD Entertainment,7,0.19,0.11,0.06,0,0.02
Binary Domain,Xbox 360,Microsoft,2,action,2012,Sega,Amusement Vision,7.4,0.19,0.09,0.07,0.02,0.02
The Scorpion King: Sword of Osiris,Game Boy Advance,Nintendo,1,action,2002,Vivendi Games,WayForward,7.2,0.19,0.13,0.05,0,0
Disney's Meet the Robinsons,Wii,Nintendo,2,action,2007,Disney Interactive Studios,Avalanche Software,6.2,0.19,0.17,0,0,0.01
Blood Omen 2,Xbox,Microsoft,3,action,2002,Eidos Interactive,Crystal Dynamics,7.6,0.19,0.14,0.04,0,0.01
