title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Grand Theft Auto IV,Xbox 360,Microsoft,3,action,2008,Rockstar Games,Rockstar North,10,11.09,6.8,3.11,0.14,1.04
Grand Theft Auto V,Xbox One,Microsoft,5,action,2014,Rockstar Games,Rockstar North,9,8.72,4.7,3.25,0.01,0.76
Red Dead Redemption,Xbox 360,Microsoft,2,action,2010,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,2.03,0.09,0.6
LEGO Star Wars: The Complete Saga,Wii,Nintendo,4,action,2007,LucasArts,Traveller's Tales,8,5.66,3.57,1.57,0,0.52
Assassin's Creed,Xbox 360,Microsoft,3,action,2007,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.07,0.56
Assassin's Creed II,Xbox 360,Microsoft,3,action,2009,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,1.55,0.08,0.52
LEGO Star Wars: The Complete Saga,DS,Nintendo,4,action,2007,LucasArts,Traveller's Tales,7.8,4.77,2.83,1.49,0,0.45
Batman: Arkham City,Xbox 360,Microsoft,3,action,2011,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,1.28,0.04,0.44
Assassin's Creed: Revelations,Xbox 360,Microsoft,3,action,2011,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,1.47,0.04,0.44
Luigi's Mansion,GameCube,Nintendo,2,action,2001,Nintendo,Nintendo EAD,7.9,3.6,2.38,0.67,0.46,0.1
Monster Hunter Generations,3DS,Nintendo,1,action,2016,Capcom,Capcom,8.8,3.56,0.42,0.26,2.82,0.07
Batman: Arkham Asylum,Xbox 360,Microsoft,3,action,2009,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.95,0.02,0.33
Assassin's Creed: Brotherhood,Xbox 360,Microsoft,3,action,2010,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.39,0.03,0.25
Resident Evil 5,Xbox 360,Microsoft,5,action,2009,Capcom,Capcom,8.6,3.53,2.13,0.93,0.12,0.34
Saints Row 2,Xbox 360,Microsoft,3,action,2008,THQ,Volition Inc.,7.9,3.07,1.98,0.79,0.02,0.28
Tom Clancy's Splinter Cell,Xbox,Microsoft,5,action,2002,Ubisoft,Ubisoft,9.3,3.02,1.85,1.04,0,0.13
Skylanders: Spyro's Adventure,Wii,Nintendo,4,action,2011,Activision,Toys for Bob,8,2.79,1.35,1.15,0,0.3
Star Wars: The Force Unleashed,Xbox 360,Microsoft,6,action,2008,LucasArts,LucasArts,7.1,2.77,1.74,0.78,0,0.26
Saints Row: The Third,Xbox 360,Microsoft,3,action,2011,THQ,Volition Inc.,8.3,2.77,1.26,1.14,0.07,0.3
Hannah Montana,DS,Nintendo,1,action,2006,Buena Vista,DC Studios,6.5,2.65,1.59,0.8,0,0.26
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Xbox,Microsoft,2,action,2003,Rockstar Games,Rockstar North,9.8,2.49,1.84,0.56,0,0.09
New Super Luigi U,Wii U,Nintendo,1,action,2013,Nintendo,Nintendo,7.8,2.42,1.25,0.75,0.22,0.2
Dead Island,Xbox 360,Microsoft,3,action,2011,Deep Silver,Techland,7,2.38,1.48,0.7,0,0.21
Assassin's Creed IV: Black Flag,Xbox One,Microsoft,6,action,2013,Ubisoft,Ubisoft Montreal,8.3,2.32,1.51,0.59,0,0.22
Saints Row,Xbox 360,Microsoft,1,action,2006,THQ,Volition Inc.,8,2.18,1.17,0.77,0.02,0.22
Dead Rising,Xbox 360,Microsoft,1,action,2006,Capcom,Capcom Production Studio 1,8.4,2.09,1.16,0.65,0.08,0.2
The Incredibles,Game Boy Advance,Nintendo,3,action,2004,THQ,Helixe,5.4,2.06,1.15,0.77,0.04,0.1
Tom Clancy's Splinter Cell: Conviction,Xbox 360,Microsoft,2,action,2010,Ubisoft,Ubisoft Montreal,8.6,2.06,1.2,0.62,0.04,0.19
Grand Theft Auto: San Andreas,Xbox,Microsoft,3,action,2005,Rockstar Games,Rockstar North,9.2,1.95,1.26,0.61,0,0.09
Tomb Raider (2013),Xbox 360,Microsoft,3,action,2013,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.87,0.01,0.16
Star Wars: The Force Unleashed,Wii,Nintendo,6,action,2008,LucasArts,Krome Studios,6.8,1.86,1.11,0.56,0,0.19
LEGO Star Wars III: The Clone Wars,Wii,Nintendo,7,action,2011,LucasArts,Traveller's Tales,7.5,1.79,1.01,0.62,0,0.15
Far Cry 5,Xbox One,Microsoft,3,action,2018,Ubisoft,Ubisoft Montreal,7.2,1.78,1.14,0.47,0,0.17
LEGO City Undercover: The Chase Begins,3DS,Nintendo,1,action,2013,Nintendo,TT Fusion,6.2,1.74,0.54,0.99,0.08,0.12
Harry Potter and the Sorcerer's Stone,Game Boy Advance,Nintendo,6,action,2001,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.66,0.08,0.08
Resident Evil 4,GameCube,Nintendo,6,action,2005,Capcom,Capcom Production Studio 4,9.6,1.69,0.98,0.42,0.22,0.06
Just Cause 2,Xbox 360,Microsoft,3,action,2010,Square Enix,Avalanche Studios,8,1.6,0.59,0.83,0.02,0.17
LEGO Pirates of the Caribbean: The Video Game,Wii,Nintendo,7,action,2011,Disney Interactive Studios,Traveller's Tales,7.5,1.57,0.73,0.69,0,0.15
Mafia II,Xbox 360,Microsoft,3,action,2010,2K Games,Illusion Softworks,7.2,1.56,0.85,0.55,0,0.15
Dead Rising 2,Xbox 360,Microsoft,3,action,2010,Capcom,Blue Castle Games,8.2,1.49,0.75,0.53,0.09,0.13
LEGO Star Wars III: The Clone Wars,Xbox 360,Microsoft,7,action,2011,LucasArts,Traveller's Tales,7.9,1.48,0.84,0.51,0,0.13
Tom Clancy's Splinter Cell: Pandora Tomorrow,Xbox,Microsoft,2,action,2004,Ubisoft,Ubisoft Shanghai,9.2,1.48,0.82,0.59,0,0.07
Resident Evil 4,Wii,Nintendo,6,action,2007,Capcom,Capcom Production Studio 4,9.2,1.46,1.26,0.06,0.14,0
Star Wars: The Force Unleashed II,Xbox 360,Microsoft,5,action,2010,LucasArts,LucasArts,6.3,1.44,0.95,0.37,0,0.12
Resident Evil,GameCube,Nintendo,3,action,2002,Capcom,Capcom,8.9,1.42,0.63,0.38,0.35,0.05
LEGO Star Wars: The Video Game,GameCube,Nintendo,5,action,2005,Eidos Interactive,Traveller's Tales,7.9,1.41,1.09,0.28,0,0.04
Spider-Man: The Movie,Xbox,Microsoft,4,action,2002,Activision,Treyarch,7.7,1.4,1.07,0.28,0,0.05
Bakugan: Battle Brawlers,DS,Nintendo,1,action,2009,Activision,MTO,6.4,1.38,1.26,0.02,0,0.1
Metroid: Other M,Wii,Nintendo,1,action,2010,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.28,0.13,0.1
Devil May Cry 4,Xbox 360,Microsoft,3,action,2008,Capcom,Capcom,8.5,1.34,0.79,0.34,0.08,0.13
Alan Wake,Xbox 360,Microsoft,2,action,2010,Microsoft Game Studios,Remedy Entertainment,8.3,1.33,0.66,0.5,0.05,0.12
Kirby: Planet Robobot,3DS,Nintendo,1,action,2016,Nintendo,HAL Laboratory,7.7,1.32,0.41,0.22,0.64,0.06
[Prototype],Xbox 360,Microsoft,2,action,2009,Activision,Radical Entertainment,7.9,1.31,0.84,0.35,0,0.12
Resident Evil Zero,GameCube,Nintendo,1,action,2002,Capcom,Capcom Production Studio 3 / Flagship,8.2,1.29,0.54,0.27,0.45,0.04
Kid Icarus: Uprising,3DS,Nintendo,1,action,2012,Nintendo,Project Sora,8,1.28,0.48,0.36,0.37,0.07
Hyrule Warriors,Wii U,Nintendo,1,action,2014,Nintendo,Omega Force,7.4,1.26,0.59,0.44,0.13,0.1
LEGO City Undercover,Wii U,Nintendo,4,action,2013,Nintendo,TT Fusion,7.5,1.24,0.5,0.52,0.13,0.09
Ninja Gaiden,Xbox,Microsoft,1,action,2004,Tecmo,Team Ninja,9.4,1.23,0.92,0.2,0.07,0.04
Spider-Man: The Movie,GameCube,Nintendo,4,action,2002,Activision,Treyarch,7.6,1.19,0.86,0.27,0.01,0.04
Sunset Overdrive,Xbox One,Microsoft,1,action,2014,Microsoft Studios,Insomniac Games,8,1.16,0.64,0.42,0,0.1
LEGO Star Wars: The Video Game,Xbox,Microsoft,5,action,2005,Eidos Interactive,Traveller's Tales,8,1.16,0.83,0.28,0,0.05
Pokémon Rumble Blast,3DS,Nintendo,1,action,2011,Nintendo,Ambrella,5.3,1.15,0.47,0.26,0.35,0.07
LEGO Star Wars III: The Clone Wars,3DS,Nintendo,7,action,2011,LucasArts,Traveller's Tales,6.7,1.14,0.61,0.44,0,0.09
The Lord of the Rings: The Return of the King,Xbox,Microsoft,4,action,2003,Electronic Arts,"Hypnos Entertainment, Inc.",8.8,1.14,0.71,0.38,0,0.05
LEGO Star Wars: The Video Game,Game Boy Advance,Nintendo,5,action,2005,Eidos Interactive,Amaze Entertainment,7.4,1.14,0.82,0.3,0,0.02
Spider-Man 2,Xbox,Microsoft,6,action,2004,Activision,Treyarch,7.7,1.12,0.82,0.26,0,0.04
Tom Clancy's Splinter Cell: Chaos Theory,Xbox,Microsoft,3,action,2005,Ubisoft,Ubisoft Montreal,9.4,1.11,0.68,0.38,0,0.05
Red Dead Redemption: Undead Nightmare,Xbox 360,Microsoft,2,action,2010,Rockstar Games,Rockstar San Diego,10,1.11,0.61,0.38,0.02,0.1
LEGO Star Wars III: The Clone Wars,DS,Nintendo,7,action,2011,LucasArts,Traveller's Tales,6.3,1.1,0.62,0.38,0,0.1
Bully: Scholarship Edition,Xbox 360,Microsoft,3,action,2008,Rockstar Games,Rockstar Vancouver/Mad Doc Software,8.1,1.09,0.53,0.42,0.03,0.11
Disney's Lilo & Stitch,Game Boy Advance,Nintendo,1,action,2002,Disney Interactive Studios,Digital Eclipse,8,1.08,0.77,0.29,0,0.02
LEGO Star Wars II: The Original Trilogy,DS,Nintendo,8,action,2006,LucasArts,Amaze Entertainment,4.9,1.07,0.96,0.03,0,0.08
Darksiders,Xbox 360,Microsoft,3,action,2010,THQ,Vigil Games,7.8,1.06,0.67,0.28,0.01,0.1
LEGO Pirates of the Caribbean: The Video Game,Xbox 360,Microsoft,7,action,2011,Disney Interactive Studios,Traveller's Tales,7.2,1.04,0.54,0.4,0,0.1
Ninja Gaiden II,Xbox 360,Microsoft,1,action,2008,Microsoft,Team Ninja,8.2,1.01,0.65,0.22,0.05,0.1
Brutal Legend,Xbox 360,Microsoft,2,action,2009,Electronic Arts,Double Fine Productions,8.5,0.97,0.62,0.26,0,0.09
LEGO Star Wars II: The Original Trilogy,GameCube,Nintendo,8,action,2006,LucasArts,Traveller's Tales,8.4,0.97,0.75,0.19,0,0.03
Bayonetta,Xbox 360,Microsoft,2,action,2010,Sega,PlatinumGames,8.9,0.93,0.51,0.25,0.09,0.08
Monster Hunter: World,Xbox One,Microsoft,2,action,2018,Capcom,Capcom,9.4,0.93,0.67,0.17,0,0.09
Dante's Inferno,Xbox 360,Microsoft,3,action,2010,Electronic Arts,Visceral Games,7,0.92,0.63,0.2,0.02,0.08
LEGO Pirates of the Caribbean: The Video Game,DS,Nintendo,7,action,2011,Disney Interactive Studios,Traveller's Tales,6.8,0.91,0.34,0.47,0,0.1
Resident Evil VII: Biohazard,Xbox One,Microsoft,3,action,2017,Capcom,Capcom,7.9,0.89,0.51,0.3,0,0.08
Resident Evil: Revelations,3DS,Nintendo,6,action,2012,Capcom,Capcom,7.8,0.89,0.3,0.23,0.3,0.05
Ghostbusters: The Video Game,Wii,Nintendo,5,action,2009,Atari,Red Fly Studio,7.6,0.87,0.59,0.21,0,0.07
Bayonetta 2,Wii U,Nintendo,2,action,2014,Nintendo,PlatinumGames,9.3,0.86,0.37,0.32,0.1,0.06
Tomb Raider: Anniversary,Wii,Nintendo,4,action,2007,Eidos Interactive,Crystal Dynamics,6.8,0.85,0.12,0.63,0,0.11
Spider-Man 2,GameCube,Nintendo,6,action,2004,Activision,Treyarch,7.7,0.84,0.65,0.17,0,0.02
The Incredibles,GameCube,Nintendo,3,action,2004,THQ,Heavy Iron Studios,6.2,0.84,0.65,0.17,0,0.02
ZombiU,Wii U,Nintendo,1,action,2012,Ubisoft,Ubisoft Montpellier,6.9,0.84,0.35,0.37,0.05,0.07
Star Wars The Clone Wars: Republic Heroes,Wii,Nintendo,5,action,2009,LucasArts,Krome Studios,4.8,0.8,0.43,0.3,0,0.07
MadWorld,Wii,Nintendo,1,action,2009,Sega,PlatinumGames,8.1,0.78,0.45,0.24,0.02,0.07
Star Wars: The Force Unleashed II,Wii,Nintendo,5,action,2010,LucasArts,LucasArts,7.5,0.78,0.53,0.19,0,0.06
Tom Clancy's Splinter Cell: Double Agent,Xbox 360,Microsoft,3,action,2006,Ubisoft,Ubisoft Shanghai,8.5,0.78,0.67,0.04,0.01,0.06
James Cameron's Avatar: The Game,Xbox 360,Microsoft,6,action,2009,Ubisoft,Ubisoft Montreal,6,0.77,0.34,0.35,0,0.08
Toy Story 3: The Video Game,Xbox 360,Microsoft,2,action,2010,Disney Interactive Studios,Avalanche Software,7.5,0.76,0.41,0.27,0,0.07
Harry Potter and the Half-Blood Prince,Wii,Nintendo,5,action,2009,Electronic Arts,Bright Light Productions,6,0.76,0.28,0.4,0,0.08
Indiana Jones and the Staff of Kings,Wii,Nintendo,2,action,2009,LucasArts,Artificial Mind and Movement,5.1,0.72,0.36,0.29,0,0.07
James Cameron's Avatar: The Game,Wii,Nintendo,6,action,2009,Ubisoft,Ubisoft Montreal,5.9,0.72,0.32,0.32,0,0.07
F-14 Tomcat,Game Boy Advance,Nintendo,1,action,2001,Majesco,Virtucraft,6.9,0.7,0.5,0.19,0,0.01
X-Men Origins: Wolverine - Uncaged Edition,Xbox 360,Microsoft,2,action,2009,Activision,Raven Software,7.1,0.69,0.42,0.21,0,0.06
The Lord of the Rings: The Return of the King,GameCube,Nintendo,4,action,2003,Electronic Arts,"Hypnos Entertainment, Inc.",8.7,0.69,0.53,0.14,0,0.02
Castlevania: Lords of Shadow,Xbox 360,Microsoft,2,action,2010,Konami,Mercury Steam,7.9,0.66,0.42,0.17,0.01,0.05
Real Heroes: Firefighter,Wii,Nintendo,1,action,2009,Conspiracy Entertainment,Epicenter Studios,7.4,0.64,0.56,0.04,0,0.05
LEGO Star Wars II: The Original Trilogy,Xbox 360,Microsoft,8,action,2006,LucasArts,Traveller's Tales,8.2,0.63,0.55,0.03,0,0.05
The Lord of the Rings: Conquest,Xbox 360,Microsoft,4,action,2009,Electronic Arts,Pandemic Studios,5.9,0.63,0.37,0.2,0,0.06
LEGO Pirates of the Caribbean: The Video Game,3DS,Nintendo,7,action,2011,Disney Interactive Studios,TT Fusion,7,0.63,0.29,0.28,0,0.06
Transformers: Revenge of the Fallen,Xbox 360,Microsoft,4,action,2009,Activision,Luxoflux Corp.,6.1,0.63,0.34,0.23,0,0.06
Ghostbusters: The Video Game,Xbox 360,Microsoft,5,action,2009,Atari,Terminal Reality,7.7,0.62,0.43,0.14,0,0.06
Metal Gear Solid 2: Substance,Xbox,Microsoft,2,action,2002,Konami,Konami Computer Entertainment Japan,8.7,0.62,0.38,0.22,0,0.03
Viewtiful Joe,GameCube,Nintendo,2,action,2003,Capcom,Clover Studio,9.4,0.62,0.38,0.1,0.12,0.02
Prince of Persia: The Forgotten Sands,Xbox 360,Microsoft,5,action,2010,Ubisoft,Ubisoft Montreal,7.5,0.62,0.3,0.26,0,0.06
Dragon Ball Z: Buu's Fury,Game Boy Advance,Nintendo,1,action,2004,Atari,Webfoot Technologies,5.9,0.61,0.44,0.16,0,0.01
Transformers: The Game,Xbox 360,Microsoft,5,action,2007,Activision,Traveller's Tales,5.2,0.6,0.51,0.04,0,0.05
Transformers: War for Cybertron,Xbox 360,Microsoft,2,action,2010,Activision,High Moon Studios,7.3,0.59,0.39,0.15,0,0.05
Naruto: The Broken Bond,Xbox 360,Microsoft,1,action,2008,Ubisoft,Ubisoft Montreal,7.6,0.59,0.24,0.28,0,0.06
Tom Clancy's HAWX,Xbox 360,Microsoft,3,action,2009,Ubisoft,Ubisoft Romania,6.9,0.58,0.31,0.19,0.02,0.06
Disney Universe,Xbox 360,Microsoft,3,action,2011,Disney Interactive Studios,Disney Interactive Studios,6.7,0.57,0.37,0.14,0,0.05
True Crime: Streets of LA,GameCube,Nintendo,3,action,2003,Activision,EXAKT Entertainment,8.1,0.56,0.44,0.11,0,0.02
No More Heroes,Wii,Nintendo,1,action,2008,Ubisoft,Grasshopper Manufacture,8.2,0.56,0.29,0.17,0.04,0.05
Enslaved: Odyssey to the West,Xbox 360,Microsoft,2,action,2010,Namco Bandai,Ninja Theory,8,0.54,0.3,0.19,0,0.05
Manhunt 2,Wii,Nintendo,2,action,2007,Rockstar Games,Rockstar Toronto,5.8,0.54,0.25,0.23,0,0.06
G-Force,DS,Nintendo,5,action,2009,Disney Interactive Studios,Keen Games,7,0.53,0.26,0.22,0,0.05
The Saboteur,Xbox 360,Microsoft,3,action,2009,Electronic Arts,Pandemic Studios,7.2,0.51,0.26,0.2,0,0.05
Bully: Scholarship Edition,Wii,Nintendo,3,action,2008,Rockstar Games,Rockstar Toronto,8.4,0.5,0.17,0.28,0,0.06
Super Monkey Ball 3D,3DS,Nintendo,1,action,2011,Sega,Sega,5.7,0.5,0.26,0.15,0.05,0.04
Spider-Man 2,DS,Nintendo,6,action,2004,Activision,Vicarious Visions,6.1,0.5,0.41,0.02,0.03,0.04
Steel Diver,3DS,Nintendo,1,action,2011,Nintendo,Nintendo EAD,5.6,0.5,0.31,0.1,0.05,0.04
Ace Combat: Assault Horizon,Xbox 360,Microsoft,2,action,2011,Namco Bandai,Project ACES,7,0.49,0.3,0.12,0.03,0.04
James Bond 007: Blood Stone,Xbox 360,Microsoft,4,action,2010,Activision,Bizarre Creations,6.2,0.47,0.2,0.23,0,0.05
Rise of Nightmares,Xbox 360,Microsoft,1,action,2011,Sega,Sega,5.5,0.47,0.28,0.13,0.01,0.04
FlingSmash,Wii,Nintendo,1,action,2010,Nintendo,Artoon,3.8,0.47,0.37,0.01,0.07,0.02
Spider-Man: Friend or Foe,DS,Nintendo,6,action,2007,Activision,Artificial Mind and Movement,5.3,0.47,0.43,0,0,0.04
Metal Gear Solid: The Twin Snakes,GameCube,Nintendo,1,action,2004,Konami,Silicon Knights,8.1,0.47,0.3,0.08,0.07,0.01
Enter the Matrix,GameCube,Nintendo,3,action,2003,Atari,Shiny Entertainment,6.5,0.45,0.34,0.09,0.02,0.01
Scooby-Doo! and the Spooky Swamp,Wii,Nintendo,1,action,2010,Warner Bros. Interactive,Torus Games,7.6,0.45,0.29,0.13,0,0.04
Lego Batman 3: Beyond Gotham,Wii U,Nintendo,1,action,2014,Warner Bros. Interactive Entertainment,Traveller's Tales,7.4,0.45,0.21,0.21,0,0.04
Bee Movie Game,DS,Nintendo,4,action,2007,Activision,Vicarious Visions,6,0.45,0.41,0,0,0.03
Silent Hill: Homecoming,Xbox 360,Microsoft,2,action,2008,Konami,Double Helix Games,7.6,0.45,0.25,0.15,0,0.04
LEGO Star Wars II: The Original Trilogy,Xbox,Microsoft,8,action,2006,LucasArts,Traveller's Tales,8.3,0.44,0.33,0.1,0,0.02
Viking: Battle for Asgard,Xbox 360,Microsoft,2,action,2008,Sega,The Creative Assembly,6.2,0.44,0.16,0.23,0,0.05
G-Force,Wii,Nintendo,5,action,2009,Disney Interactive Studios,Eurocom Entertainment Software,7.5,0.44,0.19,0.2,0,0.05
Samurai Warriors 3,Wii,Nintendo,1,action,2010,Nintendo,Omega Force,5.1,0.44,0.09,0.02,0.32,0.01
Battlebots: Design & Destroy,Game Boy Advance,Nintendo,1,action,2003,Majesco,Cave Barn,4,0.44,0.31,0.12,0,0.01
How to Train Your Dragon,Wii,Nintendo,4,action,2010,Activision,Etranges Libellules,6.6,0.42,0.23,0.15,0,0.04
Condemned: Criminal Origins,Xbox 360,Microsoft,1,action,2005,Sega,Monolith Productions,8.2,0.41,0.36,0.02,0,0.03
Mortal Kombat: Deadly Alliance,GameCube,Nintendo,4,action,2002,Midway Games,Midway,8.6,0.41,0.31,0.08,0,0.01
Naughty Bear,Xbox 360,Microsoft,2,action,2010,505 Games,Artificial Mind and Movement,4.4,0.41,0.21,0.15,0,0.04
Spider-Man: Web of Shadows,Xbox 360,Microsoft,6,action,2008,Activision,Shaba Games / Treyarch,6.6,0.4,0.36,0.02,0,0.03
Beowulf: The Game,Xbox 360,Microsoft,2,action,2007,Ubisoft,Ubisoft,4.9,0.4,0.36,0.01,0,0.03
Power Rangers: Dino Thunder,GameCube,Nintendo,1,action,2004,THQ,Pacific Coast Power & Light,5.3,0.4,0.31,0.08,0,0.01
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,Nintendo,1,action,2009,Konami,Konami,7.5,0.4,0.27,0.01,0.09,0.03
James Cameron's Avatar: The Game,DS,Nintendo,6,action,2009,Ubisoft,Ubisoft Montreal,6.4,0.4,0.18,0.18,0,0.04
Star Wars The Clone Wars: Republic Heroes,DS,Nintendo,5,action,2009,LucasArts,Krome Studios,5.9,0.4,0.22,0.14,0,0.04
No More Heroes 2: Desperate Struggle,Wii,Nintendo,1,action,2010,Ubisoft,Grasshopper Manufacture,8.5,0.4,0.2,0.11,0.04,0.03
Tomb Raider: Anniversary,Xbox 360,Microsoft,4,action,2007,Eidos Interactive,Crystal Dynamics,7.9,0.39,0.12,0.22,0,0.05
Super Monkey Ball: Step & Roll,Wii,Nintendo,1,action,2010,Sega,Sega,6,0.39,0.15,0.19,0,0.04
Samurai Warriors Chronicles,3DS,Nintendo,1,action,2011,Tecmo Koei,Omega Force,5.4,0.39,0.12,0.05,0.2,0.01
Hitman: Blood Money,Xbox 360,Microsoft,4,action,2006,Eidos Interactive,IO Interactive,8.1,0.39,0.29,0.06,0.01,0.03
Metal Gear Solid HD Collection,Xbox 360,Microsoft,6,action,2011,Konami,Bluepoint Games,9.2,0.38,0.25,0.1,0,0.03
Ice Age,Game Boy Advance,Nintendo,1,action,2002,Ubisoft,A2M,4.2,0.38,0.27,0.1,0,0.01
Hunter: The Reckoning,Xbox,Microsoft,2,action,2002,Interplay,High Voltage Software,7.8,0.38,0.28,0.08,0,0.01
Batman: Arkham City Armored Edition,Wii U,Nintendo,1,action,2012,Warner Bros. Interactive Entertainment,Rocksteady Studios,8.6,0.37,0.16,0.18,0,0.03
Tomb Raider: Legend,Xbox 360,Microsoft,7,action,2006,Eidos Interactive,Crystal Dynamics,8.1,0.37,0.27,0.07,0.01,0.03
Mini Ninjas,Wii,Nintendo,5,action,2009,Eidos Interactive,IO Interactive,7.6,0.37,0.16,0.17,0,0.04
Hamtaro: Ham-Ham Heartbreak,Game Boy Advance,Nintendo,1,action,2003,Nintendo,Nintendo,8,0.36,0.26,0.1,0,0.01
The Wonderful 101,Wii U,Nintendo,1,action,2013,Nintendo,PlatinumGames,8,0.36,0.15,0.11,0.08,0.02
Spider-Man: Shattered Dimensions,Xbox 360,Microsoft,4,action,2010,Activision,Beenox Studios,8.2,0.36,0.24,0.09,0,0.03
Disney's Tarzan: Return to the Jungle,Game Boy Advance,Nintendo,1,action,2002,Activision,Digital Eclipse,6.9,0.35,0.25,0.09,0,0.01
Chicken Shoot,Wii,Nintendo,1,action,2007,"Destination Software, Inc",Destination Software,3,0.35,0.32,0,0,0.02
Def Jam Icon,Xbox 360,Microsoft,2,action,2007,Electronic Arts,Unknown,6.3,0.35,0.3,0.01,0,0.03
Driver 2 Advance,Game Boy Advance,Nintendo,1,action,2002,Atari,Sennari Interactive,6.8,0.34,0.25,0.09,0,0.01
Tenchu Z,Xbox 360,Microsoft,1,action,2007,Microsoft,K2 LLC,5.7,0.34,0.27,0.02,0.02,0.03
Harry Potter and the Deathly Hallows - Part 2,Xbox 360,Microsoft,2,action,2011,Electronic Arts,EA Bright Light,4.8,0.33,0.19,0.11,0,0.03
Ninja Blade,Xbox 360,Microsoft,1,action,2009,Microsoft,From Software,6.7,0.33,0.14,0.14,0.02,0.03
Naruto: Rise of a Ninja,Xbox 360,Microsoft,1,action,2007,Ubisoft,Ubisoft Montreal,7.8,0.33,0.29,0.01,0,0.03
Ultimate NES Remix,3DS,Nintendo,1,action,2014,Nintendo,Nintendo,7,0.33,0.19,0.11,0,0.03
Teen Titans,GameCube,Nintendo,3,action,2006,THQ,A2M,6.3,0.33,0.25,0.07,0,0.01
Golden Axe: Beast Rider,Xbox 360,Microsoft,2,action,2008,Sega,Secret Level,4,0.33,0.19,0.11,0,0.03
Elebits,Wii,Nintendo,1,action,2006,Konami,Konami,7.3,0.32,0.22,0.01,0.08,0.02
Fortress,Game Boy Advance,Nintendo,1,action,2001,Majesco,Pipe Dream Interactive,6.6,0.32,0.23,0.08,0,0.01
Crash of the Titans,Xbox 360,Microsoft,5,action,2007,Sierra Entertainment,Radical Entertainment,6.6,0.32,0.27,0.02,0,0.02
The Matrix: Path of Neo,Xbox,Microsoft,2,action,2005,Atari,Shiny Entertainment,6.7,0.31,0.23,0.07,0,0.01
Dark Void,Xbox 360,Microsoft,3,action,2010,Capcom,Airtight Games,6.1,0.31,0.19,0.09,0,0.03
Star Wars Episode III: Revenge of the Sith,DS,Nintendo,4,action,2005,Ubisoft,Ubisoft Montreal,7.3,0.31,0.25,0.03,0,0.02
Tom Clancy's Splinter Cell 3D,3DS,Nintendo,1,action,2011,Ubisoft,Gameloft,8,0.3,0.14,0.07,0.07,0.02
Looney Tunes: Duck Amuck,DS,Nintendo,1,action,2007,Warner Bros. Interactive,WayForward Technologies,6.4,0.3,0.28,0,0,0.02
Resident Evil Archives: Resident Evil,Wii,Nintendo,1,action,2009,Capcom,Capcom Production Studio 4,7.6,0.3,0.16,0.04,0.08,0.02
Dynasty Warriors 6,Xbox 360,Microsoft,3,action,2008,KOEI,Omega Force,6.2,0.3,0.15,0.06,0.06,0.02
Finding Nemo: The Continuing Adventures,Game Boy Advance,Nintendo,1,action,2004,THQ,Altron,8,0.3,0.21,0.08,0,0.01
Batman: The Brave and the Bold the Videogame,DS,Nintendo,2,action,2010,Warner Bros. Interactive,WayForward Technologies,7.5,0.3,0.23,0.04,0,0.02
N3: Ninety-Nine Nights,Xbox 360,Microsoft,1,action,2006,Microsoft Game Studios,Q Entertainment / Phantagram,6.3,0.3,0.2,0.03,0.05,0.02
MySims SkyHeroes,Wii,Nintendo,3,action,2010,Electronic Arts,The Sims Studio,6.4,0.3,0.16,0.1,0,0.03
Spider-Man: Friend or Foe,Xbox 360,Microsoft,6,action,2007,Activision,Next Level Games,5.9,0.29,0.26,0.01,0,0.02
Prince of Persia: Rival Swords,Wii,Nintendo,1,action,2007,Ubisoft,Ubisoft Montreal,7,0.29,0.24,0.03,0,0.02
Sengoku Basara: Samurai Heroes,Wii,Nintendo,2,action,2010,Capcom,Capcom,6,0.29,0.06,0.02,0.2,0.01
Dead Rising: Chop Till You Drop,Wii,Nintendo,1,action,2009,Capcom,Capcom Production Studio 1 / TOSE Software,6.7,0.29,0.15,0.07,0.05,0.02
Dragon Ball GT: Transformation,Game Boy Advance,Nintendo,1,action,2005,Atari,Webfoot Technologies,7.7,0.28,0.2,0.08,0,0.01
SAW,Xbox 360,Microsoft,2,action,2009,Konami,Zombie Studios,6.2,0.28,0.13,0.12,0,0.03
Transformers: Dark of the Moon,Xbox 360,Microsoft,4,action,2011,Activision,High Moon Studios,6.5,0.28,0.13,0.12,0,0.03
Batman: The Brave and the Bold the Videogame,Wii,Nintendo,2,action,2010,Warner Bros. Interactive,WayForward Technologies,7.5,0.28,0.2,0.05,0,0.02
